,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
635,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.375,2.5,0.484375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,2.0,0,1,1,0
636,1,0.0,16.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,0,3.0,0.4,2.0,2.0,0.5,3.0,4.0,1.4285714285714286,5.0,0.0,5.0,1,0,1,0
637,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.8,0.5599999999999999,2.75,2.5,0.6875,3.7142857142857135,4.0,0.489795918367347,4.2,0.1599999999999999,3.0,1,0,1,0
638,1,0.0,17.0,0.0,2,0,1.0,0.0,1.0,0.0,0.0,0,2.6,0.24,2.125,2.0,0.859375,3.0,3.0,0.5714285714285714,4.0,0.4,2.0,0,1,0,1
639,1,0.0,17.0,0.0,4,2,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.625,3.0,1.234375,3.2857142857142856,4.0,0.7755102040816327,4.6,0.6399999999999999,1.0,0,1,0,1
640,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,2.375,2.0,0.734375,3.142857142857143,3.0,0.4081632653061224,4.8,0.1599999999999999,2.0,1,0,1,0
641,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.6,0.64,2.125,2.0,1.109375,3.4285714285714284,4.0,0.816326530612245,5.0,0.0,4.0,1,0,1,0
642,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.125,2.0,0.609375,3.571428571428572,4.0,0.2448979591836734,3.8,0.1599999999999999,3.0,1,0,1,0
643,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.125,2.0,1.359375,3.7142857142857135,4.0,0.2040816326530612,4.8,0.1599999999999999,1.0,0,1,1,0
644,1,0.0,16.0,1.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.4,0.24,2.75,3.0,0.9375,3.613544389929449,4.0,0.2074080481906637,5.0,0.0,1.0,1,0,1,0
