pc,operador,umbral,constante,target,β_PAÍS,β_ETNIA.BN,β_EDAD,β_FUGAS.BN,β_ABUSOSUBS1,β_ABUSOSUBS2,β_CONVIVEN.1,β_CONVIVEN.2,β_CONVIVEN.3,β_CONVIVEN.4,β_CONVIVEN_H,β_CONVIVEN_0,β_AUTOEFIC.MEAN,β_AUTOEFIC.VAR,β_IMPULS.MEAN,β_IMPULS.MEDIAN,β_IMPULS.VAR,β_APOYO.MEAN,β_APOYO.MEDIAN,β_APOYO.VAR,β_MORAL.MEAN,β_MORAL.VAR,β_PORNO.T,β_GENERO.BN0,β_ORIENTSEX.BN0,β_GENERO.BN1,β_ORIENTSEX.BN1
PC8,>,0.37,0.7921673556028345,,0.03163312347943909,-0.07847315160741355,0.132792550136905,-0.45733583152308205,-0.006476756409069445,-0.009109012647617001,0.10872981241715945,-0.025356494241185086,-0.08723124953108702,-0.049384094325171005,-0.00985060715585546,-0.18304556701096805,-0.047419479762862274,0.017269694505800303,0.01813159317612314,0.027542658665524036,-0.002825997862350895,-0.12829874106673603,-0.15347257318089563,0.1731739799446561,-0.007356935980280331,-0.007224752216507015,-0.016676736544676225,0.013138898988729173,0.10497308991898495,-0.013138898988729247,-0.10497308991898498
PC7,<=,-0.38,-3.533879468563927,,0.17639820821588562,-0.2559894426074373,-0.17056075853838565,0.537956907245937,-0.007123277528966347,0.002994939629972478,-0.0210127848209458,0.0620818728502759,0.046271508535383005,0.02597623727998586,0.0092386743486449,-0.02359844772425646,-0.047673620577130156,0.016806130686097615,0.009511427292547617,0.013355961198823634,-0.005639226439020885,-0.09557216364801502,-0.11402289231726588,0.12884715518764212,-0.02671717368242039,0.013425284572106278,-0.003368582391247338,-0.0006577617969465016,0.11047235475101738,0.0006577617969464218,-0.11047235475101738
PC7,>,-0.38,3.533879468563927,,-0.17639820821588562,0.2559894426074373,0.17056075853838565,-0.537956907245937,0.007123277528966347,-0.002994939629972478,0.0210127848209458,-0.0620818728502759,-0.046271508535383005,-0.02597623727998586,-0.0092386743486449,0.02359844772425646,0.047673620577130156,-0.016806130686097615,-0.009511427292547617,-0.013355961198823634,0.005639226439020885,0.09557216364801502,0.11402289231726588,-0.12884715518764212,0.02671717368242039,-0.013425284572106278,0.003368582391247338,0.0006577617969465016,-0.11047235475101738,-0.0006577617969464218,0.11047235475101738
PC18,>,0.02,-0.8304572888207544,,0.00833455408520542,0.0032828220689652436,0.0033851566556977243,-0.027370213472645514,0.0064387738452382996,0.001747242930018762,0.014127680785916601,0.02596428156283996,-0.008361288057699508,0.03724895358965486,0.011512231564188069,0.005685753025743677,-0.10008618160439488,0.1673738620542364,-0.043122470678435304,-0.10043124713694168,0.21887692201054376,-0.010901134363850658,-0.11370948300269182,-0.24499710350753523,-0.0014131952420223589,0.029602085371607155,0.00460709484523072,0.02237978445393676,0.02481910904777893,-0.022379784453936877,-0.024819109047778617
PC11,<=,0.06,-0.03507401368787341,,-0.04216194712669064,-0.02046346996332135,-0.039975664506474176,0.028168556644434708,-0.00019073423422492222,0.0030161075500532365,0.6759294516318619,-0.23080452056928352,-0.5136530220331453,-0.300238778498931,-0.0278773223948047,0.27883654577870987,-0.009940140867786256,-7.619933719216383e-05,0.006336026498480044,0.010508732383883966,0.0005693299339521459,0.0038283706038281596,0.009477078009210271,-0.008511816200727844,-0.004454745048374034,0.010021877984529817,0.04416094205655276,-0.037451270090405796,0.014020949380246712,0.037451270090406046,-0.014020949380246698
PC15,<=,0.55,1.2500121269124773,,0.0338251328899312,-0.05176896845591579,0.013368097524789355,-0.018484855818176618,0.00493257477549133,-0.0054282243624743515,0.008617574624339808,0.012360314734972204,-0.017279343107395317,-0.018569402388361828,0.013595091802378818,-0.01811542675306196,0.04156388439789665,0.14004852258834266,-0.06644944886451398,-0.1153272442521486,0.16721628944197298,0.03038156179092587,0.11748603001917529,0.25559085118146296,-0.03397590207069086,0.08815121490935611,-0.004818139849483547,0.002822579961185728,-0.007542747757308388,-0.002822579961185992,0.007542747757308277
PC15,>,0.55,-1.2500121269124773,,-0.0338251328899312,0.05176896845591579,-0.013368097524789355,0.018484855818176618,-0.00493257477549133,0.0054282243624743515,-0.008617574624339808,-0.012360314734972204,0.017279343107395317,0.018569402388361828,-0.013595091802378818,0.01811542675306196,-0.04156388439789665,-0.14004852258834266,0.06644944886451398,0.1153272442521486,-0.16721628944197298,-0.03038156179092587,-0.11748603001917529,-0.25559085118146296,0.03397590207069086,-0.08815121490935611,0.004818139849483547,-0.002822579961185728,0.007542747757308388,0.002822579961185992,-0.007542747757308277
PC11,>,0.06,0.03507401368787341,,0.04216194712669064,0.02046346996332135,0.039975664506474176,-0.028168556644434708,0.00019073423422492222,-0.0030161075500532365,-0.6759294516318619,0.23080452056928352,0.5136530220331453,0.300238778498931,0.0278773223948047,-0.27883654577870987,0.009940140867786256,7.619933719216383e-05,-0.006336026498480044,-0.010508732383883966,-0.0005693299339521459,-0.0038283706038281596,-0.009477078009210271,0.008511816200727844,0.004454745048374034,-0.010021877984529817,-0.04416094205655276,0.037451270090405796,-0.014020949380246712,-0.037451270090406046,0.014020949380246698
PC11,<=,0.07,-0.025074013687873403,,-0.04216194712669064,-0.02046346996332135,-0.039975664506474176,0.028168556644434708,-0.00019073423422492222,0.0030161075500532365,0.6759294516318619,-0.23080452056928352,-0.5136530220331453,-0.300238778498931,-0.0278773223948047,0.27883654577870987,-0.009940140867786256,-7.619933719216383e-05,0.006336026498480044,0.010508732383883966,0.0005693299339521459,0.0038283706038281596,0.009477078009210271,-0.008511816200727844,-0.004454745048374034,0.010021877984529817,0.04416094205655276,-0.037451270090405796,0.014020949380246712,0.037451270090406046,-0.014020949380246698
PC11,>,0.07,0.025074013687873403,,0.04216194712669064,0.02046346996332135,0.039975664506474176,-0.028168556644434708,0.00019073423422492222,-0.0030161075500532365,-0.6759294516318619,0.23080452056928352,0.5136530220331453,0.300238778498931,0.0278773223948047,-0.27883654577870987,0.009940140867786256,7.619933719216383e-05,-0.006336026498480044,-0.010508732383883966,-0.0005693299339521459,-0.0038283706038281596,-0.009477078009210271,0.008511816200727844,0.004454745048374034,-0.010021877984529817,-0.04416094205655276,0.037451270090405796,-0.014020949380246712,-0.037451270090406046,0.014020949380246698
PC15,<=,0.22,0.9200121269124772,,0.0338251328899312,-0.05176896845591579,0.013368097524789355,-0.018484855818176618,0.00493257477549133,-0.0054282243624743515,0.008617574624339808,0.012360314734972204,-0.017279343107395317,-0.018569402388361828,0.013595091802378818,-0.01811542675306196,0.04156388439789665,0.14004852258834266,-0.06644944886451398,-0.1153272442521486,0.16721628944197298,0.03038156179092587,0.11748603001917529,0.25559085118146296,-0.03397590207069086,0.08815121490935611,-0.004818139849483547,0.002822579961185728,-0.007542747757308388,-0.002822579961185992,0.007542747757308277
PC15,>,0.22,-0.9200121269124772,,-0.0338251328899312,0.05176896845591579,-0.013368097524789355,0.018484855818176618,-0.00493257477549133,0.0054282243624743515,-0.008617574624339808,-0.012360314734972204,0.017279343107395317,0.018569402388361828,-0.013595091802378818,0.01811542675306196,-0.04156388439789665,-0.14004852258834266,0.06644944886451398,0.1153272442521486,-0.16721628944197298,-0.03038156179092587,-0.11748603001917529,-0.25559085118146296,0.03397590207069086,-0.08815121490935611,0.004818139849483547,-0.002822579961185728,0.007542747757308388,0.002822579961185992,-0.007542747757308277
PC10,>,0.6,0.8242648623038559,,-0.042182185912241106,-0.09128650047463327,0.12148451545602953,0.3696419544020941,-0.03638332395319099,-0.02037670869367812,0.026922416496533885,-0.02582468348483695,-0.1611631579679636,-0.06416708225952138,0.039008202548279816,0.17112502059137513,0.01418476633574524,-0.017541602437559634,0.006089827421569299,0.009179046168934283,0.021110423641996397,0.005377761983003109,-0.00333059728093464,-0.025991168312910477,-0.007409037276771147,0.004098966543340269,-0.18526852781862402,0.16033248888110346,-0.036724506289962475,-0.16033248888110468,0.036724506289962516
PC13,>,0.33,-0.5284067131176362,,-0.8077397541574136,-0.36729505145547475,0.015220701399237662,0.08889446092665945,-0.013462139992040885,-0.03302265695450802,0.17039905843268782,0.1251986173076776,0.2782947224001668,0.012101615908086703,-0.0510444981619807,0.018790063748346898,-0.010033222087398944,0.00609593857644667,-0.0004891887683065714,-0.002517785190295386,0.02751435167601446,-0.0015564041391926049,0.00019129315188809215,0.02398936715242111,0.029881456455524785,-0.021993873930206936,0.028717424914109883,-0.027435729879402352,0.02913911026006381,0.02743572987940288,-0.02913911026006386
