outcome,subgroup_variable,level,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,sexual_orientation_dummy,ORIENTSEX.BN_2=1,127,32,95,30,71,24,2,0.9375,0.25263157894736843,0.297029702970297,0.9230769230769231,0.5950657894736842,0.4511278195488721,0.4251968503937008,0.7473684210526316,0.0625
perpetration,age_group,14-15,498,120,378,109,233,145,11,0.9083333333333333,0.3835978835978836,0.31871345029239767,0.9294871794871795,0.6459656084656085,0.4718614718614718,0.5100401606425703,0.6164021164021164,0.09166666666666666
perpetration,age_group,16-17,444,101,343,93,271,72,8,0.9207920792079208,0.2099125364431487,0.2554945054945055,0.9,0.5653523078255348,0.4,0.3716216216216216,0.7900874635568513,0.07920792079207921
perpetration,country_raw,1,865,201,664,182,452,212,19,0.9054726368159204,0.3192771084337349,0.2870662460567823,0.9177489177489178,0.6123748726248277,0.43592814371257477,0.4554913294797688,0.6807228915662651,0.0945273631840796
perpetration,country_raw,2,77,20,57,20,52,5,0,1.0,0.08771929824561403,0.2777777777777778,1.0,0.543859649122807,0.4347826086956522,0.3246753246753247,0.9122807017543859,0.0
perpetration,ethnic_minority_raw,0.0,756,161,595,143,391,204,18,0.8881987577639752,0.34285714285714286,0.26779026217228463,0.918918918918919,0.6155279503105591,0.4115107913669065,0.458994708994709,0.6571428571428571,0.11180124223602485
perpetration,ethnic_minority_raw,1.0,186,60,126,59,113,13,1,0.9833333333333333,0.10317460317460317,0.3430232558139535,0.9285714285714286,0.5432539682539682,0.5086206896551724,0.3870967741935484,0.8968253968253969,0.016666666666666666
perpetration,gender_dummy,GENERO_BIN_1=1,473,99,374,90,277,97,9,0.9090909090909091,0.25935828877005346,0.2452316076294278,0.9150943396226415,0.5842245989304813,0.3862660944206009,0.3953488372093023,0.7406417112299465,0.09090909090909091
perpetration,overall,overall,942,221,721,202,504,217,19,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.6074990115538373,0.43581445523193096,0.4447983014861996,0.6990291262135923,0.08597285067873303
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_1=1,824,195,629,176,419,210,19,0.9025641025641026,0.3338632750397456,0.2957983193277311,0.9170305676855895,0.6182136888019241,0.4455696202531646,0.4684466019417476,0.6661367249602543,0.09743589743589744
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_2=1,118,26,92,26,85,7,0,1.0,0.07608695652173914,0.23423423423423423,1.0,0.5380434782608696,0.3795620437956204,0.2796610169491525,0.9239130434782609,0.0
victimization,age_group,14-15,495,234,261,194,156,105,40,0.8290598290598291,0.40229885057471265,0.5542857142857143,0.7241379310344828,0.6156793398172709,0.6643835616438356,0.604040404040404,0.5977011494252874,0.17094017094017094
victimization,age_group,16-17,447,231,216,211,173,43,20,0.9134199134199135,0.19907407407407407,0.5494791666666666,0.6825396825396826,0.5562469937469938,0.6861788617886179,0.5682326621923938,0.8009259259259259,0.08658008658008658
victimization,country_raw,1,863,416,447,357,299,148,59,0.8581730769230769,0.33109619686800895,0.5442073170731707,0.714975845410628,0.5946346368955429,0.6660447761194029,0.5851680185399768,0.668903803131991,0.14182692307692307
victimization,country_raw,2,79,49,30,48,30,0,1,0.9795918367346939,0.0,0.6153846153846154,0.0,0.4897959183673469,0.7559055118110237,0.6075949367088608,1.0,0.02040816326530612
victimization,ethnic_minority_raw,0.0,759,359,400,299,252,148,60,0.8328690807799443,0.37,0.542649727767695,0.7115384615384616,0.6014345403899721,0.6571428571428571,0.5889328063241107,0.63,0.1671309192200557
victimization,ethnic_minority_raw,1.0,183,106,77,106,77,0,0,1.0,0.0,0.5792349726775956,,0.5,0.7335640138408305,0.5792349726775956,1.0,0.0
victimization,gender_dummy,GENERO_BIN_1=1,504,276,228,237,136,92,39,0.8586956521739131,0.40350877192982454,0.6353887399463807,0.7022900763358778,0.6311022120518688,0.7303543913713405,0.6527777777777778,0.5964912280701754,0.14130434782608695
