idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
3576,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
3189,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
3574,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
655,0,1,0.5456885456885456,16.0,True,False,True,True,True,False
1529,0,1,0.5456885456885456,17.0,False,True,False,False,False,True
1675,1,1,0.5456885456885456,14.0,False,True,True,True,False,True
1000,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2051,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
3364,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
552,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
221,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
847,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
2887,1,1,0.5456885456885456,14.0,False,True,True,False,False,True
2318,1,1,0.5456885456885456,17.0,True,False,True,False,False,True
1072,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
1539,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
29,1,1,0.5456885456885456,17.0,True,False,True,False,False,True
139,1,1,0.5456885456885456,17.0,False,True,True,False,False,True
2563,1,1,0.5456885456885456,17.0,False,True,True,False,False,True
2256,1,1,0.5456885456885456,14.0,True,False,True,True,True,False
1148,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
1257,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
3069,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
170,1,1,0.5456885456885456,16.0,False,True,False,True,True,False
2644,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
1276,1,1,0.5456885456885456,17.0,True,False,True,True,True,False
1233,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
950,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
2355,0,1,0.5456885456885456,16.0,False,True,True,False,False,True
3582,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
678,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
3515,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
233,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
2098,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
44,1,1,0.5456885456885456,14.0,True,False,False,True,True,False
2094,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
502,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
3748,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
1386,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
1841,0,1,0.5456885456885456,14.0,True,False,False,True,True,False
3617,0,1,0.5456885456885456,16.0,True,False,False,False,True,False
2014,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
3765,0,1,0.5456885456885456,14.0,False,True,False,False,True,False
3763,1,1,0.5456885456885456,14.0,False,True,False,False,True,False
1541,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1009,1,1,0.5456885456885456,16.0,True,False,True,True,True,False
2322,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
1052,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
1293,0,1,0.5456885456885456,14.0,True,False,False,True,True,False
293,1,1,0.5456885456885456,16.0,False,True,True,False,False,True
3241,1,0,0.25101214574898784,16.0,True,False,True,False,True,False
2800,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
605,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
731,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
2822,1,0,0.25101214574898784,15.0,True,False,True,False,True,False
475,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
1665,1,0,0.25101214574898784,14.0,False,True,True,False,True,False
2230,1,1,0.5456885456885456,14.0,False,True,True,True,True,False
2900,1,1,0.5456885456885456,14.0,True,False,False,True,False,True
2788,1,1,0.5456885456885456,14.0,False,True,True,False,False,True
3567,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
82,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
