u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,relu,0.3,16,relu,0.0,0.35,0.5169851380042463,0.654825283840226,0.8764044943820225,0.43324607329842935,0.26485568760611206,0.9376770538243626,0.4067796610169492,0.7709337715960721,156,433,331,22,3
64,relu,0.2,8,tanh,0.1,0.35,0.5084925690021231,0.6495896817459851,0.8764044943820225,0.42277486910994766,0.2613065326633166,0.936231884057971,0.40258064516129033,0.7695317356829444,156,441,323,22,3
32,relu,0.2,16,tanh,0.1,0.35,0.5042462845010616,0.6469718806988647,0.8764044943820225,0.4175392670157068,0.259567387687188,0.9354838709677419,0.40051347881899874,0.7688342609759075,156,445,319,22,3
32,relu,0.2,8,tanh,0.0,0.35,0.5031847133757962,0.6463174304370846,0.8764044943820225,0.4162303664921466,0.2591362126245847,0.9352941176470588,0.4,0.768660253417291,156,446,318,22,3
64,relu,0.2,16,tanh,0.0,0.35,0.5222929936305732,0.6559429966468616,0.8707865168539326,0.4410994764397906,0.2663230240549828,0.9361111111111111,0.40789473684210525,0.7673714635326234,155,427,337,23,3
64,relu,0.2,16,relu,0.1,0.35,0.5318471337579618,0.6596785105006177,0.8651685393258427,0.45418848167539266,0.26970227670753066,0.9353099730458221,0.411214953271028,0.7645239072989665,154,417,347,24,3
32,tanh,0.3,8,relu,0.1,0.4,0.5042462845010616,0.6448173421965998,0.8707865168539326,0.418848167539267,0.2587646076794658,0.9329446064139941,0.398970398970399,0.7643904910050193,155,444,320,23,3
64,relu,0.2,16,tanh,0.1,0.35,0.5,0.6421995411494794,0.8707865168539326,0.41361256544502617,0.2570480928689884,0.9321533923303835,0.3969270166453265,0.7636952793145476,155,448,316,23,3
64,relu,0.3,8,tanh,0.1,0.35,0.5201698513800425,0.6524795576210365,0.8651685393258427,0.4397905759162304,0.2646048109965636,0.9333333333333333,0.4052631578947368,0.7625743701519535,154,428,336,24,3
32,tanh,0.2,8,tanh,0.0,0.4,0.5169851380042463,0.6505162068356962,0.8651685393258427,0.43586387434554974,0.26324786324786326,0.9327731092436975,0.4036697247706422,0.7620460052200154,154,431,333,24,3
64,tanh,0.3,16,tanh,0.0,0.4,0.5382165605095541,0.6614506735690335,0.8595505617977528,0.46335078534031415,0.27175843694493784,0.9340369393139841,0.41295546558704455,0.7611513716667274,153,410,354,25,3
64,relu,0.2,8,relu,0.0,0.35,0.5329087048832272,0.658178422260133,0.8595505617977528,0.4568062827225131,0.26936619718309857,0.9331550802139037,0.4101876675603217,0.7602576974287634,153,415,349,25,3
64,tanh,0.3,16,tanh,0.1,0.4,0.5636942675159236,0.6728484028472264,0.848314606741573,0.4973821989528796,0.2822429906542056,0.9336609336609336,0.423562412342216,0.7566142043539669,151,384,380,27,3
32,relu,0.3,16,relu,0.0,0.4,0.5084925690021231,0.6431260662391906,0.8595505617977528,0.42670157068062825,0.25888324873096447,0.9287749287749287,0.39791937581274384,0.7561989313793616,153,438,326,25,3
64,relu,0.3,8,relu,0.0,0.35,0.5318471337579618,0.655369433496088,0.8539325842696629,0.4568062827225131,0.26807760141093473,0.9306666666666666,0.4080536912751678,0.7556344558290751,152,415,349,26,3
32,tanh,0.2,8,relu,0.0,0.45,0.5743099787685775,0.6772383669627625,0.8426966292134831,0.5117801047120419,0.28680688336520077,0.9331742243436754,0.42796005706134094,0.7540160021785106,150,373,391,28,3
64,relu,0.2,16,relu,0.0,0.35,0.5456475583864119,0.6617227483969645,0.848314606741573,0.47513089005235604,0.27355072463768115,0.9307692307692308,0.4136986301369863,0.753519846862262,151,401,363,27,3
32,tanh,0.3,8,tanh,0.0,0.4,0.4872611464968153,0.6300370610035885,0.8595505617977528,0.4005235602094241,0.25040916530278234,0.9244712990936556,0.38783269961977185,0.752733721989423,153,458,306,25,3
32,tanh,0.2,8,relu,0.1,0.4,0.5562632696390658,0.6661127125125007,0.8426966292134831,0.4895287958115183,0.2777777777777778,0.9303482587064676,0.4178272980501393,0.750887960729716,150,390,374,28,3
64,relu,0.2,8,relu,0.1,0.35,0.5191082802547771,0.6432069533501971,0.8426966292134831,0.443717277486911,0.2608695652173913,0.9237057220708447,0.398406374501992,0.7446159876412166,150,425,339,28,3
32,relu,0.3,8,tanh,0.0,0.4,0.5753715498938429,0.6714292017177481,0.8258426966292135,0.5170157068062827,0.28488372093023256,0.9272300469483568,0.42363112391930835,0.7408641000770223,147,369,395,31,3
32,tanh,0.2,16,relu,0.1,0.4,0.5859872611464968,0.6758191658332844,0.8202247191011236,0.5314136125654451,0.2896825396825397,0.9269406392694064,0.4281524926686217,0.7382893905056974,146,358,406,32,3
64,tanh,0.3,16,relu,0.0,0.4,0.5690021231422505,0.6631934231425378,0.8146067415730337,0.5117801047120419,0.2799227799227799,0.9221698113207547,0.4166666666666667,0.7308556817219092,145,373,391,33,3
32,relu,0.2,8,tanh,0.1,0.4,0.6178343949044586,0.688989058179893,0.8033707865168539,0.574607329842932,0.3055555555555556,0.9261603375527426,0.44272445820433437,0.7307129177533318,143,325,439,35,3
