outcome,fold_id,model_label,threshold,n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,epochs_ran,positive_class_weight
victimization,11,pruned_decision_tree_inner_alpha,0.5,18,0.950634335992483,3013,754,0.49419183538001993,0.493368700265252,213,100,282,159,0.5725806451612904,0.7382198952879581,0.6805111821086262,0.6394557823129252,0.6554002702246242,0.621897810218978,0.656498673740053,0.7072425828970331,0.6947240013475389,372,382,754,0.003280914229168379,,,
victimization,12,pruned_decision_tree_inner_alpha,0.5,18,0.9507208067953841,3013,754,0.4938599402588782,0.4946949602122016,227,143,238,146,0.6085790884718498,0.6246719160104987,0.6135135135135135,0.6197916666666666,0.6166255022411742,0.611036339165545,0.616710875331565,0.671356596511227,0.6453002548870562,373,381,754,0.002691704678524299,,,
victimization,13,pruned_decision_tree_inner_alpha,0.5,18,0.9505570409451543,3014,753,0.4940278699402787,0.4940239043824701,239,141,240,133,0.6424731182795699,0.6299212598425197,0.6289473684210526,0.6434316353887399,0.6361971890610447,0.6356382978723404,0.6361221779548473,0.6640137724719892,0.623497964504557,372,381,753,0.001315813776664977,,,
victimization,14,pruned_decision_tree_inner_alpha,0.5,18,0.9503530481415882,3014,753,0.4940278699402787,0.4940239043824701,212,103,278,160,0.5698924731182796,0.7296587926509186,0.6730158730158731,0.634703196347032,0.6497756328845992,0.6171761280931586,0.650730411686587,0.7003464284706348,0.6725512773590373,372,381,753,0.003069058159624846,,,
victimization,15,pruned_decision_tree_inner_alpha,0.5,18,0.9502199422764417,3014,753,0.4940278699402787,0.4940239043824701,129,53,328,243,0.3467741935483871,0.8608923884514436,0.7087912087912088,0.574430823117338,0.6038332909999153,0.4657039711191336,0.6069057104913679,0.6435561482234076,0.5970242291388846,372,381,753,0.005291606868578894,,,
victimization,16,pruned_decision_tree_inner_alpha,0.5,18,0.9509412419922428,3013,754,0.49419183538001993,0.493368700265252,111,47,335,261,0.29838709677419356,0.8769633507853403,0.7025316455696202,0.5620805369127517,0.5876752237797669,0.4188679245283019,0.5915119363395226,0.6412064403535439,0.626053302066021,372,382,754,0.006366820392757112,,,
victimization,17,pruned_decision_tree_inner_alpha,0.5,18,0.9505860344808201,3013,754,0.4938599402588782,0.4946949602122016,228,134,247,145,0.6112600536193029,0.6482939632545932,0.6298342541436464,0.6301020408163265,0.6297770084369481,0.6204081632653061,0.629973474801061,0.6879736547676849,0.6733125842847796,373,381,754,0.001678350687458114,,,
victimization,18,pruned_decision_tree_inner_alpha,0.5,18,0.9502120256804306,3014,753,0.4940278699402787,0.4940239043824701,219,135,246,153,0.5887096774193549,0.6456692913385826,0.6186440677966102,0.6165413533834586,0.6171894843789687,0.6033057851239669,0.6175298804780877,0.6750910168487004,0.6180840156237732,372,381,753,0.0013490078611279042,,,
victimization,19,pruned_decision_tree_inner_alpha,0.5,18,0.9505371904198827,3014,753,0.4940278699402787,0.4940239043824701,278,167,214,94,0.7473118279569892,0.5616797900262467,0.6247191011235955,0.6948051948051948,0.654495808991618,0.6805385556915544,0.6533864541832669,0.6975877007309569,0.6721982954619734,372,381,753,0.0027354742352965096,,,
victimization,20,pruned_decision_tree_inner_alpha,0.5,18,0.9500484757450265,3014,753,0.4940278699402787,0.4940239043824701,227,154,227,145,0.6102150537634409,0.5958005249343832,0.5958005249343832,0.6102150537634409,0.6030077893489121,0.602921646746348,0.602921646746348,0.5958075805040499,0.5559923854880124,372,381,753,0.0009021217174324951,,,
