outcome,fold_id,ccp_alpha,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support
victimization,2,0.0007700162327988564,164,114,191,134,0.5503355704697986,0.6262295081967213,0.5899280575539568,0.5876923076923077,0.58828253933326,0.5694444444444444,0.5887230514096186,0.5850753658268235,0.5546371584020969,298,305,603
victimization,2,0.0007788248672320143,163,113,192,135,0.5469798657718121,0.6295081967213115,0.5905797101449275,0.5871559633027523,0.5882440312465618,0.5679442508710801,0.5887230514096186,0.5844537352844097,0.5564972522596409,298,305,603
victimization,2,0.0007896317981845969,163,111,194,135,0.5469798657718121,0.6360655737704918,0.5948905109489051,0.5896656534954408,0.5915227197711519,0.56993006993007,0.5920398009950248,0.5884695786115084,0.5607928883593298,298,305,603
victimization,2,0.000798509927140633,163,108,197,135,0.5469798657718121,0.6459016393442623,0.6014760147601476,0.5933734939759037,0.5964407525580372,0.5729349736379614,0.5970149253731343,0.5898063593354604,0.5639853075017546,298,305,603
victimization,2,0.0008646852181530324,164,107,198,134,0.5503355704697986,0.6491803278688525,0.6051660516605166,0.5963855421686747,0.5997579491693256,0.5764499121265377,0.6003316749585407,0.592694465837826,0.5680530586751391,298,305,603
victimization,2,0.0009287794468588767,162,102,203,136,0.5436241610738255,0.6655737704918033,0.6136363636363636,0.5988200589970502,0.6045989657828144,0.5765124555160143,0.6053067993366501,0.5974914732093739,0.5749015520153347,298,305,603
victimization,2,0.0009484291641967989,165,103,202,133,0.5536912751677853,0.6622950819672131,0.6156716417910447,0.6029850746268657,0.6079931785674992,0.5830388692579506,0.6086235489220564,0.6016173396413246,0.5814822245524379,298,305,603
victimization,2,0.0009685674062155983,165,102,203,133,0.5536912751677853,0.6655737704918033,0.6179775280898876,0.6041666666666666,0.6096325228297943,0.584070796460177,0.6102819237147595,0.6043514137968974,0.5826699892531289,298,305,603
victimization,2,0.0009968542511518206,162,99,206,136,0.5436241610738255,0.6754098360655738,0.6206896551724138,0.6023391812865497,0.6095169985696997,0.5796064400715564,0.6102819237147595,0.6039388271537023,0.5822406034286866,298,305,603
victimization,2,0.001029777375361252,163,100,205,135,0.5469798657718121,0.6721311475409836,0.6197718631178707,0.6029411764705882,0.6095555066563978,0.5811051693404634,0.6102819237147595,0.6026405545164484,0.5789806623929171,298,305,603
victimization,2,0.0010478226378270608,162,100,205,136,0.5436241610738255,0.6721311475409836,0.6183206106870229,0.6011730205278593,0.6078776543074045,0.5785714285714285,0.6086235489220564,0.6070799867972274,0.5855541494115004,298,305,603
victimization,2,0.001071537223201208,162,101,204,136,0.5436241610738255,0.6688524590163935,0.6159695817490495,0.6,0.6062383100451094,0.5775401069518717,0.6069651741293532,0.6094729893277588,0.5926576369054254,298,305,603
victimization,2,0.0011035129659907373,162,108,197,136,0.5436241610738255,0.6459016393442623,0.6,0.5915915915915916,0.5947629002090439,0.5704225352112676,0.5953565505804311,0.6044669380569919,0.5846072237022063,298,305,603
victimization,2,0.0011190245971308317,163,105,200,135,0.5469798657718121,0.6557377049180327,0.6082089552238806,0.5970149253731343,0.6013587853449225,0.5759717314487633,0.6019900497512438,0.6040048410166134,0.5850213139000796,298,305,603
victimization,2,0.0011300608763560752,162,104,201,136,0.5436241610738255,0.659016393442623,0.6090225563909775,0.5964391691394659,0.6013202772582242,0.574468085106383,0.6019900497512438,0.6025745406535372,0.5853692274515346,298,305,603
victimization,2,0.0011631612797474186,158,101,204,140,0.5302013422818792,0.6688524590163935,0.61003861003861,0.5930232558139535,0.5995269006491364,0.5673249551166966,0.6003316749585407,0.5937781934206183,0.5794283719772946,298,305,603
victimization,2,0.0011980571718906898,165,102,203,133,0.5536912751677853,0.6655737704918033,0.6179775280898876,0.6041666666666666,0.6096325228297943,0.584070796460177,0.6102819237147595,0.6130377379249643,0.5935872588858112,298,305,603
victimization,2,0.0012157213076533088,164,102,203,134,0.5503355704697986,0.6655737704918033,0.6165413533834586,0.6023738872403561,0.607954670480801,0.5815602836879433,0.6086235489220564,0.6081747166905049,0.57985376741285,298,305,603
victimization,2,0.0012451104049394375,168,104,201,130,0.5637583892617449,0.659016393442623,0.6176470588235294,0.6072507552870091,0.6113873913521839,0.5894736842105263,0.6119402985074627,0.6167290130927494,0.5864126907862893,298,305,603
victimization,2,0.001279220709132309,171,105,200,127,0.5738255033557047,0.6557377049180327,0.6195652173913043,0.6116207951070336,0.6147816041368688,0.5958188153310104,0.615257048092869,0.6258774342611949,0.5904161730597974,298,305,603
victimization,2,0.0013269529366252786,168,103,202,130,0.5637583892617449,0.6622950819672131,0.6199261992619927,0.608433734939759,0.613026735614479,0.5905096660808435,0.6135986733001658,0.6266255913741886,0.5914719489957551,298,305,603
victimization,2,0.0013344201361815047,170,106,199,128,0.5704697986577181,0.6524590163934426,0.6159420289855072,0.6085626911314985,0.6114644075255804,0.5923344947735192,0.6119402985074627,0.6299922983826605,0.6079867219837324,298,305,603
victimization,2,0.0013950402073296547,158,93,212,140,0.5302013422818792,0.6950819672131148,0.6294820717131474,0.6022727272727273,0.612641654747497,0.575591985428051,0.6135986733001658,0.6360325668390362,0.6063894993768703,298,305,603
victimization,2,0.0014416662784121769,162,87,218,136,0.5436241610738255,0.7147540983606557,0.6506024096385542,0.615819209039548,0.6291891297172406,0.5923217550274223,0.6301824212271974,0.6507756628892066,0.6089503644369287,298,305,603
victimization,2,0.0015316358718640076,160,85,220,138,0.5369127516778524,0.7213114754098361,0.6530612244897959,0.6145251396648045,0.6291121135438442,0.5893186003683241,0.6301824212271974,0.6483221476510067,0.6064993175549604,298,305,603
victimization,2,0.001606623659033757,160,86,219,138,0.5369127516778524,0.7180327868852459,0.6504065040650406,0.6134453781512605,0.6274727692815492,0.5882352941176471,0.6285240464344942,0.6449884475739905,0.601327880887023,298,305,603
victimization,2,0.001655686340926412,156,81,224,142,0.5234899328859061,0.7344262295081967,0.6582278481012658,0.6120218579234973,0.6289580811970514,0.5831775700934579,0.6301824212271974,0.6544339311255364,0.6277370087971029,298,305,603
victimization,2,0.0017828136171735562,154,69,236,144,0.5167785234899329,0.7737704918032787,0.6905829596412556,0.6210526315789474,0.6452745076466058,0.5911708253358926,0.6467661691542289,0.6757674111563429,0.6569157450134139,298,305,603
victimization,2,0.0018638773379804933,168,84,221,130,0.5637583892617449,0.7245901639344262,0.6666666666666666,0.6296296296296297,0.6441742765980856,0.6109090909090908,0.6451077943615257,0.6937946968863462,0.6822136691892513,298,305,603
victimization,2,0.002157322126637651,159,79,226,139,0.5335570469798657,0.740983606557377,0.6680672268907563,0.6191780821917808,0.6372703267686214,0.5932835820895522,0.6384742951907131,0.6859445483551546,0.6702694618245205,298,305,603
victimization,2,0.0022900528930858517,163,88,217,135,0.5469798657718121,0.7114754098360656,0.649402390438247,0.6164772727272727,0.6292276378039389,0.5938069216757741,0.6301824212271974,0.6845252503025635,0.6690283700547468,298,305,603
victimization,2,0.0024968316963202204,212,138,167,86,0.7114093959731543,0.5475409836065573,0.6057142857142858,0.6600790513833992,0.6294751897898558,0.654320987654321,0.6285240464344942,0.6888711629442184,0.6780080350888631,298,305,603
victimization,2,0.003085329800961679,214,146,159,84,0.7181208053691275,0.521311475409836,0.5944444444444444,0.654320987654321,0.6197161403894818,0.6504559270516718,0.6185737976782753,0.6888931675651886,0.6753738538440665,298,305,603
victimization,2,0.005894646989398956,203,127,178,95,0.6812080536912751,0.5836065573770491,0.6151515151515151,0.652014652014652,0.6324073055341621,0.6464968152866242,0.6318407960199005,0.6724117064583564,0.6550293844604571,298,305,603
victimization,2,0.029137559518174205,0,0,305,298,0.0,1.0,,0.5058043117744611,0.5,,0.5058043117744611,0.5,0.494195688225539,298,305,603
victimization,3,0.0,169,129,176,129,0.5671140939597316,0.5770491803278689,0.5671140939597316,0.5770491803278689,0.5720816371438002,0.5671140939597316,0.572139303482587,0.5720816371438002,0.5355487438264737,298,305,603
victimization,3,0.0003810848155222154,168,127,178,130,0.5637583892617449,0.5836065573770491,0.5694915254237288,0.577922077922078,0.573682473319397,0.566610455311973,0.5737976782752903,0.569974694685884,0.5345636853759635,298,305,603
victimization,3,0.0003883308317239206,169,127,178,129,0.5671140939597316,0.5836065573770491,0.5709459459459459,0.5798045602605864,0.5753603256683903,0.569023569023569,0.5754560530679934,0.5779183628561997,0.5369838888299665,298,305,603
victimization,3,0.00039418127644708193,168,125,180,130,0.5637583892617449,0.5901639344262295,0.5733788395904437,0.5806451612903226,0.5769611618439872,0.5685279187817258,0.5771144278606966,0.574551655847728,0.5400224042261421,298,305,603
victimization,3,0.00039927133012396975,169,125,180,129,0.5671140939597316,0.5901639344262295,0.5748299319727891,0.5825242718446602,0.5786390141929805,0.5709459459459459,0.5787728026533997,0.5803113653867312,0.5413349262275202,298,305,603
victimization,3,0.0004031240712095117,169,125,180,129,0.5671140939597316,0.5901639344262295,0.5748299319727891,0.5825242718446602,0.5786390141929805,0.5709459459459459,0.5787728026533997,0.5829574210584223,0.5502991606245229,298,305,603
victimization,3,0.0005014365762895784,171,125,180,127,0.5738255033557047,0.5901639344262295,0.5777027027027027,0.5863192182410424,0.5819947188909671,0.5757575757575757,0.582089552238806,0.5738310045109473,0.5365328870904861,298,305,603
victimization,3,0.0005871780483242658,171,127,178,127,0.5738255033557047,0.5836065573770491,0.5738255033557047,0.5836065573770491,0.578716030366377,0.5738255033557047,0.5787728026533997,0.5665639784354715,0.5411140072497111,298,305,603
victimization,3,0.0006468399717030567,172,129,176,126,0.5771812080536913,0.5770491803278689,0.5714285714285714,0.5827814569536424,0.5771151941907802,0.5742904841402338,0.5771144278606966,0.568720431290571,0.5420066497279461,298,305,603
victimization,3,0.0006656361546146009,169,128,177,129,0.5671140939597316,0.580327868852459,0.569023569023569,0.5784313725490197,0.5737209814060953,0.5680672268907563,0.5737976782752903,0.5685443943228079,0.5424207088315183,298,305,603
victimization,3,0.0006912760956726118,169,127,178,129,0.5671140939597316,0.5836065573770491,0.5709459459459459,0.5798045602605864,0.5753603256683903,0.569023569023569,0.5754560530679934,0.5669435581472109,0.5431259525347959,298,305,603
victimization,3,0.0007197894959971357,171,129,176,127,0.5738255033557047,0.5770491803278689,0.57,0.5808580858085809,0.5754373418417869,0.57190635451505,0.5754560530679934,0.5687259324458136,0.5436600794013627,298,305,603
victimization,3,0.000733709770372963,171,128,177,127,0.5738255033557047,0.580327868852459,0.5719063545150501,0.5822368421052632,0.5770766861040819,0.5728643216080401,0.5771144278606966,0.5684343712179558,0.5434697715580541,298,305,603
victimization,3,0.0007390923616725423,174,130,175,124,0.5838926174496645,0.5737704918032787,0.5723684210526315,0.5852842809364549,0.5788315546264715,0.5780730897009967,0.5787728026533997,0.574194080756959,0.552779505965227,298,305,603
victimization,3,0.0007519647503056877,175,131,174,123,0.587248322147651,0.5704918032786885,0.5718954248366013,0.5858585858585859,0.5788700627131698,0.5794701986754967,0.5787728026533997,0.5794751897898558,0.5561698423276237,298,305,603
victimization,3,0.0007675815664710101,172,128,177,126,0.5771812080536913,0.580327868852459,0.5733333333333334,0.5841584158415841,0.5787545384530752,0.5752508361204013,0.5787728026533997,0.5789800858180217,0.5534504116961342,298,305,603
victimization,3,0.0007764009541576646,172,127,178,126,0.5771812080536913,0.5836065573770491,0.5752508361204013,0.5855263157894737,0.5803938827153703,0.576214405360134,0.5804311774461028,0.5823467928264936,0.5572567287292578,298,305,603
