outcome,model_name,predictor,predictor_domain,features,repeat,random_state,n_test,threshold,baseline_balanced_accuracy,permuted_balanced_accuracy,delta_balanced_accuracy,delta_balanced_accuracy_pp,baseline_roc_auc,permuted_roc_auc,delta_roc_auc,delta_roc_auc_pp,baseline_pr_auc_average_precision,permuted_pr_auc_average_precision,delta_pr_auc_average_precision,delta_pr_auc_average_precision_pp,baseline_recall_sensitivity,permuted_recall_sensitivity,delta_recall_sensitivity,delta_recall_sensitivity_pp,baseline_specificity,permuted_specificity,delta_specificity,delta_specificity_pp,baseline_precision_ppv,permuted_precision_ppv,delta_precision_ppv,delta_precision_ppv_pp,baseline_npv,permuted_npv,delta_npv,delta_npv_pp,baseline_f1_positive,permuted_f1_positive,delta_f1_positive,delta_f1_positive_pp,baseline_accuracy,permuted_accuracy,delta_accuracy,delta_accuracy_pp
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,17,304139,942,0.523164,0.6721645390905348,0.6589946467439262,0.013169892346608592,1.3169892346608592,0.7536252132478382,0.734102006000353,0.01952320724748513,1.952320724748513,0.4335309108027502,0.3567755455447245,0.07675536525802568,7.675536525802568,0.8089887640449438,0.8258426966292135,-0.016853932584269704,-1.6853932584269704,0.5353403141361257,0.49214659685863876,0.04319371727748694,4.3193717277486945,0.28857715430861725,0.27476635514018694,0.01381079916843031,1.381079916843031,0.9232505643340858,0.9238329238329238,-0.0005823594988380032,-0.05823594988380032,0.4254062038404727,0.4123422159887798,0.013063987851692882,1.3063987851692882,0.5870488322717622,0.5552016985138004,0.031847133757961776,3.1847133757961776
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,18,304140,942,0.523164,0.6721645390905348,0.6458762280134125,0.02628831107712226,2.628831107712226,0.7536252132478382,0.7116815695040885,0.0419436437437497,4.19436437437497,0.4335309108027502,0.3652731539202662,0.06825775688248398,6.825775688248398,0.8089887640449438,0.7865168539325843,0.022471910112359494,2.2471910112359494,0.5353403141361257,0.5052356020942408,0.030104712041884918,3.010471204188492,0.28857715430861725,0.2702702702702703,0.01830688403834696,1.830688403834696,0.9232505643340858,0.910377358490566,0.012873205843519808,1.2873205843519808,0.4254062038404727,0.40229885057471265,0.023107353265760022,2.310735326576002,0.5870488322717622,0.5583864118895966,0.0286624203821656,2.86624203821656
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,19,304141,942,0.523164,0.6721645390905348,0.6571121830695923,0.015052356020942459,1.505235602094246,0.7536252132478382,0.7319768809929995,0.021648332254838643,2.1648332254838643,0.4335309108027502,0.36210492807523725,0.07142598272751294,7.142598272751294,0.8089887640449438,0.8089887640449438,0.0,0.0,0.5353403141361257,0.5052356020942408,0.030104712041884918,3.010471204188492,0.28857715430861725,0.27586206896551724,0.012715085343100008,1.2715085343100008,0.9232505643340858,0.919047619047619,0.004202945286466808,0.4202945286466808,0.4254062038404727,0.4114285714285714,0.013977632411901253,1.3977632411901253,0.5870488322717622,0.5626326963906582,0.02441613588110403,2.441613588110403
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,20,304142,942,0.523164,0.6721645390905348,0.6542223071945409,0.017942231895993865,1.7942231895993865,0.7536252132478382,0.729969409965292,0.02365580328254613,2.365580328254613,0.4335309108027502,0.37257298160761676,0.06095792919513343,6.095792919513343,0.8089887640449438,0.8202247191011236,-0.011235955056179803,-1.1235955056179803,0.5353403141361257,0.4882198952879581,0.04712041884816759,4.712041884816759,0.28857715430861725,0.2718808193668529,0.016696334941764368,1.6696334941764368,0.9232505643340858,0.9209876543209876,0.002262910013098196,0.2262910013098196,0.4254062038404727,0.4083916083916084,0.0170145954488643,1.70145954488643,0.5870488322717622,0.5509554140127388,0.03609341825902335,3.6093418259023347
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,21,304143,942,0.523164,0.6721645390905348,0.639140537678687,0.0330240014118478,3.3024001411847803,0.7536252132478382,0.711152126595682,0.0424730866521561,4.24730866521561,0.4335309108027502,0.3568340715726782,0.07669683923007198,7.669683923007198,0.8089887640449438,0.7808988764044944,0.028089887640449396,2.8089887640449396,0.5353403141361257,0.4973821989528796,0.0379581151832461,3.79581151832461,0.28857715430861725,0.26577437858508607,0.022802775723531177,2.2802775723531177,0.9232505643340858,0.9069212410501193,0.016329323283966524,1.6329323283966524,0.4254062038404727,0.39657631954350925,0.028829884296963426,2.8829884296963426,0.5870488322717622,0.5509554140127388,0.03609341825902335,3.6093418259023347
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,22,304144,942,0.523164,0.6721645390905348,0.6543031943055473,0.017861344784987465,1.7861344784987465,0.7536252132478382,0.7287413965527384,0.02488381669509976,2.488381669509976,0.4335309108027502,0.37999558646371695,0.05353532433903324,5.353532433903324,0.8089887640449438,0.8033707865168539,0.005617977528089901,0.5617977528089901,0.5353403141361257,0.5052356020942408,0.030104712041884918,3.010471204188492,0.28857715430861725,0.2744721689059501,0.014104985402667136,1.4104985402667136,0.9232505643340858,0.9168646080760094,0.006385956258076364,0.6385956258076364,0.4254062038404727,0.40915593705293274,0.016250266787539935,1.6250266787539935,0.5870488322717622,0.5615711252653928,0.02547770700636942,2.547770700636942
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,23,304145,942,0.523164,0.6721645390905348,0.6592667215718572,0.012897817518677579,1.289781751867758,0.7536252132478382,0.7259471145361491,0.027678098711689025,2.7678098711689025,0.4335309108027502,0.3927712037783203,0.04075970702442988,4.075970702442988,0.8089887640449438,0.8146067415730337,-0.005617977528089901,-0.5617977528089901,0.5353403141361257,0.5039267015706806,0.03141361256544506,3.141361256544506,0.28857715430861725,0.2767175572519084,0.01185959705670886,1.185959705670886,0.9232505643340858,0.9210526315789473,0.0021979327551384653,0.21979327551384653,0.4254062038404727,0.4131054131054131,0.012300790735059575,1.2300790735059575,0.5870488322717622,0.5626326963906582,0.02441613588110403,2.441613588110403
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,24,304146,942,0.523164,0.6721645390905348,0.651303017824578,0.02086152126595675,2.086152126595675,0.7536252132478382,0.724094064356727,0.029531148891111192,2.953114889111119,0.4335309108027502,0.367138868665979,0.06639204213677119,6.639204213677119,0.8089887640449438,0.7921348314606742,0.016853932584269593,1.6853932584269593,0.5353403141361257,0.5104712041884817,0.02486910994764402,2.486910994764402,0.28857715430861725,0.2737864077669903,0.014790746541626931,1.4790746541626931,0.9232505643340858,0.9133489461358314,0.009901618198254414,0.9901618198254414,0.4254062038404727,0.4069264069264069,0.01847979691406576,1.847979691406576,0.5870488322717622,0.5636942675159236,0.023354564755838636,2.3354564755838636
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,25,304147,942,0.523164,0.6721645390905348,0.6452217777516325,0.026942761338902277,2.6942761338902277,0.7536252132478382,0.7132331313606683,0.040392081887169806,4.03920818871698,0.4335309108027502,0.37664277486005004,0.056888135942700147,5.688813594270014,0.8089887640449438,0.7865168539325843,0.022471910112359494,2.2471910112359494,0.5353403141361257,0.5039267015706806,0.03141361256544506,3.141361256544506,0.28857715430861725,0.2697495183044316,0.018827636004185633,1.8827636004185633,0.9232505643340858,0.9101654846335697,0.013085079700516089,1.308507970051609,0.4254062038404727,0.4017216642754663,0.02368453956500638,2.368453956500638,0.5870488322717622,0.5573248407643312,0.02972399150743099,2.972399150743099
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,26,304148,942,0.523164,0.6721645390905348,0.645412965468557,0.026751573621977776,2.6751573621977776,0.7536252132478382,0.7281898935231484,0.02543531972468971,2.543531972468971,0.4335309108027502,0.37936098586749817,0.05416992493525202,5.4169924935252025,0.8089887640449438,0.7921348314606742,0.016853932584269593,1.6853932584269593,0.5353403141361257,0.4986910994764398,0.0366492146596859,3.6649214659685905,0.28857715430861725,0.26908396946564883,0.019493184842968414,1.9493184842968414,0.9232505643340858,0.9114832535885168,0.011767310745569026,1.1767310745569026,0.4254062038404727,0.4017094017094017,0.02369680213107095,2.369680213107095,0.5870488322717622,0.554140127388535,0.03290870488322717,3.290870488322717
