outcome,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,balanced_accuracy_drop_p2_5_pp,balanced_accuracy_drop_p97_5_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,roc_auc_drop_p2_5_pp,roc_auc_drop_p97_5_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,pr_auc_average_precision_drop_p2_5_pp,pr_auc_average_precision_drop_p97_5_pp,recall_sensitivity_drop_mean_pp,recall_sensitivity_drop_sd_pp,recall_sensitivity_drop_p2_5_pp,recall_sensitivity_drop_p97_5_pp,specificity_drop_mean_pp,specificity_drop_sd_pp,specificity_drop_p2_5_pp,specificity_drop_p97_5_pp,precision_ppv_drop_mean_pp,precision_ppv_drop_sd_pp,precision_ppv_drop_p2_5_pp,precision_ppv_drop_p97_5_pp,npv_drop_mean_pp,npv_drop_sd_pp,npv_drop_p2_5_pp,npv_drop_p97_5_pp,f1_positive_drop_mean_pp,f1_positive_drop_sd_pp,f1_positive_drop_p2_5_pp,f1_positive_drop_p97_5_pp,accuracy_drop_mean_pp,accuracy_drop_sd_pp,accuracy_drop_p2_5_pp,accuracy_drop_p97_5_pp
overlap,CONVIVEN.4,CONVIVEN.4,CONVIVEN.4,30,-0.051449104849305614,0.08358488106328596,-0.2808988764044895,0.13089005235602524,0.016299978430111366,0.023914420856026405,-0.03044296723334977,0.050002941349494845,0.10335490207910783,0.04962645606021209,0.03961357599389703,0.21972401164026237,-0.03745318352059934,0.1425326582598107,-0.5617977528089901,0.0,-0.06544502617800523,0.11270076718887605,-0.13089005235601414,0.2617801047120505,-0.03851323935416021,0.05663637124132639,-0.14228456913827348,0.11520046080184532,-0.022550016290174096,0.05275428219403669,-0.2088802181751337,0.03480700030200623,-0.046990947342620736,0.07338364961724228,-0.232240972884884,0.1253037419265024,-0.06015569709837224,0.09112100176885084,-0.10615711252653925,0.2123142250530785
overlap,CONVIVEN.5,CONVIVEN.5,CONVIVEN.5,30,0.1259878032041125,0.22403000274771964,-0.20400097064532466,0.5132287193364341,0.003823754338494837,0.05904888410539333,-0.12123874933818612,0.09785502088358014,0.2186463423477954,0.10309205849897297,0.019062017627364404,0.37818137278100444,0.11235955056179803,0.4013394548648925,-0.5617977528089901,0.5617977528089901,0.13961605584642658,0.2955580440773088,-0.3926701570680535,0.6904450261780188,0.08967062960457514,0.1478865604764758,-0.13930275036995524,0.3663566528368058,0.06010686435745686,0.1465565988700067,-0.18891083521444696,0.2715076030943794,0.1131905204977703,0.1950005075140831,-0.1726243229936007,0.4538727916000519,0.1344656758669497,0.2364450295584518,-0.2123142250530785,0.6369426751592355
overlap,CONVIVEN.6,CONVIVEN.6,CONVIVEN.6,30,0.3148959742730002,0.4264278940294841,-0.5090924466145071,0.9208813753750219,0.48664627331020033,0.18357983156811972,0.04794399670569133,0.7128176657450479,0.6622635781681503,0.3323599590341805,0.046538831430814206,1.1885094730258354,0.5992509363295888,0.765668974675349,-1.1235955056179803,1.6853932584269593,0.030541012216409962,0.33623335070668764,-0.5955497382198895,0.5955497382199003,0.16559073352083195,0.25071601627165985,-0.2672564557852379,0.5453937521515507,0.22541567669712753,0.289647840636454,-0.4022162938641438,0.5859608151808087,0.26305783537429217,0.36331749833119,-0.42407677077905226,0.7833027139542644,0.13800424628450106,0.3155908487154337,-0.4538216560509553,0.6953290870488318
overlap,EDAD,EDAD,EDAD,30,-0.13380689060140594,0.9337984071308493,-2.0769420260015274,1.6240845049708768,0.5585377571229712,0.4680053492804322,-0.3930745926230919,1.2721152714865542,1.6453777417811817,0.7133418592223983,0.3802443415905493,2.758799872169905,-0.14981273408239854,1.7761520315780073,-3.3707865168539297,2.963483146067411,-0.1178010471204131,0.7765272485824797,-1.344895287958112,1.3089005235602191,-0.09108673905652102,0.5423977935604946,-1.3210525023900364,0.8724509025151729,-0.07513400273003512,0.6567979138368563,-1.2056939444151518,1.1288776591036338,-0.11810947912487249,0.7941131664211816,-1.8227919890987112,1.3698857149519426,-0.1238499646142958,0.6840587442060166,-1.6215498938428872,0.9368365180467084
overlap,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,0.385267760848678,0.5373363092112764,-0.4841277428083984,1.2970248249897072,0.501451065748969,0.2632004819771103,-0.025111771280660326,0.8269787928701733,0.0632471282470426,0.41448892065050497,-0.690610616557174,0.8048440594158104,0.9363295880149798,0.9134489678293664,-0.7162921348314624,2.2471910112359494,-0.1657940663176224,0.5178116133841199,-1.096204188481672,0.7264397905759256,0.16424444116578027,0.3361270973862655,-0.4966190572220867,0.7246830442790213,0.3228329633484772,0.34736777503886396,-0.29776192470389873,0.8771864782516304,0.30877653948485373,0.4652752731715481,-0.46459131601737236,1.0983966102647558,0.0424628450106157,0.4628120977181046,-0.9846072186836515,0.7059447983014852
overlap,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.9301135360903594,0.773222795795032,0.7037730160597725,3.071026236837464,2.7911935996235107,0.8298882106565697,1.3270082063650868,4.208924054356146,6.249695357632663,1.632516039887294,2.857458375156391,8.968997671306328,0.5617977528089865,1.3918454046250328,-1.8398876404494426,2.401685393258421,3.298429319371732,0.7916339261681639,1.7015706806282727,4.748036649214664,1.524124370272037,0.44945768596846447,0.7147094784807728,2.2698938025433946,0.6802669123652837,0.5479822258843771,-0.26778233905171167,1.4442461140541107,1.7526424086707775,0.6399750857603397,0.7008034504088259,2.716232270758068,2.781316348195328,0.6745147563069677,1.4570063694267512,3.7553078556263255
overlap,GENERO_BIN_0,GENERO_BIN_0,GENERO_BIN_0,30,0.46863050767692294,0.7067442149673331,-0.8329717924583724,1.8256772457203354,1.3562072278761548,0.27008732031618804,0.7214762633096148,1.7308738749338304,1.4955531537626643,0.5216889680766049,0.6008581832961054,2.3734489842626307,1.1423220973782748,1.1473973842667013,-0.8707865168539346,3.1179775280898827,-0.20506108202442738,0.5507081142884562,-1.263089005235593,0.6904450261780188,0.19946590957868476,0.43509032746706616,-0.5616591588469046,0.9835911946091787,0.39329651347335204,0.4493365230196062,-0.42517032396103127,1.2221152569379947,0.37564814474455666,0.6119958692565812,-0.747193125723465,1.5504025182589425,0.049539985845718316,0.5517728918317351,-1.0429936305732481,0.9368365180467084
overlap,GENERO_BIN_1,GENERO_BIN_1,GENERO_BIN_1,30,0.10897699864698167,0.5480126180803854,-0.6876139772927805,0.9586041825989817,-0.18677569268780056,0.19561480193803432,-0.5292039237602222,0.2140199423495639,-0.333512868105573,0.34696288576350237,-0.8833633810788486,0.2806530585241237,-0.13108614232209806,0.9862085841014342,-1.8398876404494426,1.2780898876404487,0.34904013961606023,0.4297822095584314,-0.42866492146596047,1.119109947643982,0.11985629436573442,0.3192372059841095,-0.34228456913827365,0.6899863969909584,-0.003322499363637895,0.37630439292840406,-0.6310013126395683,0.5551659001404784,0.11280005439497585,0.46421788747833104,-0.549457619341195,0.8630599589555692,0.2583156404812455,0.40368912684469743,-0.34766454352441606,1.0138004246284495
overlap,IMPULS.MEAN,IMPULS.MEAN,IMPULS.MEAN,30,-0.17699570562974037,0.293903680169264,-0.7899913230189967,0.3168936408023963,-0.030418455987600845,0.061975216539121435,-0.12609197599858318,0.10112727219248212,0.05585888931852393,0.13633589997333354,-0.17307992728975208,0.29609650602348836,-0.3932584269662931,0.4926442636904287,-1.2780898876404525,0.5617977528089901,0.039267015706810904,0.30191911201678173,-0.42866492146596047,0.4646596858638781,-0.08268202829436633,0.18631009306653007,-0.4086281575074571,0.19590268185773935,-0.14112922417564824,0.18926322994321265,-0.5195469808884653,0.2177483334534216,-0.1439883600648945,0.2546629442274199,-0.6552353836146692,0.2672484757196068,-0.0424628450106157,0.2653561728905838,-0.4830148619957536,0.31847133757961776
overlap,IMPULS.MEDIAN,IMPULS.MEDIAN,IMPULS.MEDIAN,30,0.021373806302332765,0.4786491395719461,-1.0697688099299976,0.753059003470796,-0.05573857285722239,0.1911232811499281,-0.44342681922465654,0.23361668333431693,0.018093678775169913,0.3422048973526204,-0.6778569320895328,0.5282931574622768,0.24344569288389498,0.9056713980941403,-1.2780898876404525,1.8398876404494309,-0.20069808027922875,0.36334067437774353,-0.7984293193717256,0.4286649214659714,-0.02710782072775364,0.27488636136198985,-0.6605691056910572,0.34388413827794867,0.062484101650926625,0.3343181983748574,-0.5950087785302202,0.6298528184260005,0.00468176030819963,0.4067844713739725,-0.9289446416367211,0.6067972471691969,-0.11677282377919318,0.3326165325545692,-0.782908704883227,0.3476645435244159
