outcome,rank,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,specificity_drop_mean_pp,precision_ppv_drop_mean_pp,npv_drop_mean_pp
perpetration,7,ABUSOSUBS2,ABUSOSUBS2,ABUSOSUBS2,30,0.8563081692721863,0.5751536173830492,0.11323722917098783,0.4129439570375467,1.0312843146705581,0.3041816376178816,2.08969024503005,0.5143340200716672,0.20089612930355275
perpetration,8,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.8266234051499596,0.469298711826925,0.5706524581453255,0.18836239394640084,0.21585892257119602,0.25957285192772567,0.9292649098474338,0.4300113093774937,0.8646806586372582
perpetration,9,AUTOEFIC.MEAN,AUTOEFIC.MEAN,AUTOEFIC.MEAN,30,0.7210950100727351,0.4302565517297535,0.04874242452769684,0.10758529953277188,0.09262872399122637,0.06553903884385918,0.29588534442903364,0.342212937377565,1.0580382537159232
perpetration,10,MORAL.MEAN,MORAL.MEAN,MORAL.MEAN,30,0.7173085813862501,0.5106000289985304,0.6985437939178726,0.24748112519649568,0.5777764175457184,0.23880686484612118,0.15256588072122046,0.3319396435896535,1.1272184547338004
victimization,1,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,2.5285498523477807,0.843009852799135,1.6467167106241996,0.739381160393327,0.9273649828381604,0.45694707978318144,7.092941998602379,1.8543517530376519,1.8310553103346925
victimization,2,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.391357273280584,0.48452975878082993,4.658934649805011,0.9597400280818851,4.369532832828918,0.7319133822535098,2.7253668763102756,0.976463338354531,2.0088606337458494
victimization,3,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,1.271725163995401,0.6804007871499502,0.8065267539805997,0.7614377022302063,0.44773399147262793,0.5937790263557039,2.830188679245286,0.9138767390896486,1.5240090479570156
victimization,4,Sexual-orientation dummy contrast,Sexual-orientation dummy contrast,ORIENTSEX.BN0|ORIENTSEX.BN1,30,1.1470435743107668,0.5102674021347181,0.5893990968042515,0.47990221512193537,0.022775326799239215,0.3602790425658481,1.1041229909154455,0.7330405944015802,2.621245870703687
victimization,5,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,1.144203241586076,0.35461978451374276,1.547515460276671,0.5588065712885295,1.2255251822902404,0.523056240158081,1.8798043326345242,0.7826807705550176,1.9508608149010194
victimization,6,CONVIVEN_H,CONVIVEN_H,CONVIVEN_H,30,0.7231126439890885,0.8172418697211765,0.5952375585161158,0.7599748166849615,0.5497069988040152,0.5063264926053265,3.4032145352900094,0.6392621381624246,-0.9754425263539143
victimization,7,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.6113027208584106,0.3019716179322965,0.873019093347763,0.40299255446382254,0.6387344541829977,0.3918024484935669,0.9573724668064305,0.4166202402380127,1.0693637465481747
victimization,8,PAÍS,PAÍS,PAÍS,30,0.48544893036676123,0.33267601360730836,0.16685827641396694,0.3354280423547621,0.01159187728208407,0.27670893178403383,1.5443745632424908,0.38516853054870587,0.11710349234893926
victimization,9,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,0.4014787764026947,0.4040639118155724,0.3213558456001178,0.39563723452785954,0.1810636597878468,0.2847651371286912,0.5520614954577234,0.26847888572157624,0.7666310005181571
victimization,10,APOYO.VAR,APOYO.VAR,APOYO.VAR,30,0.3745632424877691,0.37127976139197116,0.6725051283785322,0.4776938554555298,0.60702905656496,0.45198880710989736,0.9713487071977656,0.2828865712706759,0.2949873435690157
