outcome,rank,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,specificity_drop_mean_pp,precision_ppv_drop_mean_pp,npv_drop_mean_pp
perpetration,1,PORNO.T,PORNO.T,PORNO.T,30,2.1906791095825953,0.8375122565507142,3.996000192459365,0.9675494118296182,3.5584827528831147,1.172951505666839,1.1234396671289872,1.0539477506351589,3.0920129318114515
perpetration,2,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.66576712835993,0.53148514271351,2.8175631716465572,0.6397560738362995,3.193168640674268,1.0620885623219134,2.8941285251964852,0.9166340761486658,1.191752474811699
perpetration,3,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,2.588201822924837,0.8086470760410884,1.1072898165987906,0.5903078947394499,0.8715728876978494,0.4438699777744018,3.4720295885344408,1.3535063622148331,2.5504583664596168
perpetration,4,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,1.2334029952533643,0.43101517510167897,0.7259274135345006,0.2316727872903977,0.38560914827832066,0.28160523248017794,1.1696717521960236,0.6264184475811475,1.436954024343656
perpetration,5,MORAL.MEAN,MORAL.MEAN,MORAL.MEAN,30,0.7173085813862501,0.5106000289985304,0.6985437939178726,0.24748112519649568,0.5777764175457184,0.23880686484612118,0.15256588072122046,0.3319396435896535,1.1272184547338004
perpetration,6,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,1.1759057618566446,0.677601571901907,0.637270591582419,0.291327453973666,-0.1167823689467177,0.48897903335808335,1.50716597318539,0.6200748904864776,1.1453417239116737
perpetration,7,APOYO.VAR,APOYO.VAR,APOYO.VAR,30,0.6382015091324038,0.5387308396091289,0.5843861069446529,0.4155522154644004,0.5518172163196479,0.4198477077313436,0.8691631992602863,0.3419673083274294,0.5736769700937897
perpetration,8,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.8266234051499596,0.469298711826925,0.5706524581453255,0.18836239394640084,0.21585892257119602,0.25957285192772567,0.9292649098474338,0.4300113093774937,0.8646806586372582
perpetration,9,EDAD,EDAD,EDAD,30,0.03920313457720481,0.5461393802631732,0.5200586582654022,0.27438468923611975,0.4912504885719271,0.25684135428240845,-0.7813222376329184,-0.03672751129021564,0.5275613582057559
perpetration,10,MORAL.VAR,MORAL.VAR,MORAL.VAR,30,0.5088353489267236,0.46782090073244925,0.35579877955663786,0.2046994439978871,0.5552141042823586,0.24802267608488499,0.26352288488210807,0.24545936999089765,0.7086456436100285
victimization,1,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.391357273280584,0.48452975878082993,4.658934649805011,0.9597400280818851,4.369532832828918,0.7319133822535098,2.7253668763102756,0.976463338354531,2.0088606337458494
victimization,2,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,2.5285498523477807,0.843009852799135,1.6467167106241996,0.739381160393327,0.9273649828381604,0.45694707978318144,7.092941998602379,1.8543517530376519,1.8310553103346925
victimization,3,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,1.144203241586076,0.35461978451374276,1.547515460276671,0.5588065712885295,1.2255251822902404,0.523056240158081,1.8798043326345242,0.7826807705550176,1.9508608149010194
victimization,4,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.6113027208584106,0.3019716179322965,0.873019093347763,0.40299255446382254,0.6387344541829977,0.3918024484935669,0.9573724668064305,0.4166202402380127,1.0693637465481747
victimization,5,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,1.271725163995401,0.6804007871499502,0.8065267539805997,0.7614377022302063,0.44773399147262793,0.5937790263557039,2.830188679245286,0.9138767390896486,1.5240090479570156
victimization,6,APOYO.VAR,APOYO.VAR,APOYO.VAR,30,0.3745632424877691,0.37127976139197116,0.6725051283785322,0.4776938554555298,0.60702905656496,0.45198880710989736,0.9713487071977656,0.2828865712706759,0.2949873435690157
victimization,7,CONVIVEN_H,CONVIVEN_H,CONVIVEN_H,30,0.7231126439890885,0.8172418697211765,0.5952375585161158,0.7599748166849615,0.5497069988040152,0.5063264926053265,3.4032145352900094,0.6392621381624246,-0.9754425263539143
victimization,8,Sexual-orientation dummy contrast,Sexual-orientation dummy contrast,ORIENTSEX.BN0|ORIENTSEX.BN1,30,1.1470435743107668,0.5102674021347181,0.5893990968042515,0.47990221512193537,0.022775326799239215,0.3602790425658481,1.1041229909154455,0.7330405944015802,2.621245870703687
victimization,9,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,0.4014787764026947,0.4040639118155724,0.3213558456001178,0.39563723452785954,0.1810636597878468,0.2847651371286912,0.5520614954577234,0.26847888572157624,0.7666310005181571
victimization,10,CONVIVEN_0,CONVIVEN_0,CONVIVEN_0,30,0.2590112937039261,0.3174511687121182,0.28377027869825727,0.2886626161533382,0.21378415842820664,0.17722944908471092,0.4821802935010499,0.18244276605518786,0.3764383089334396
