model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,tp,fp,tn,fn,roc_auc,auc_pr
HistGradientBoosting,0.2,0.9596774193548387,0.5173913043478261,0.12827225130890052,0.765625,0.672316384180791,0.5439748353318696,357,333,49,15,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.25,0.9301075268817204,0.5389408099688473,0.225130890052356,0.7678571428571429,0.6824457593688363,0.5776192084670382,346,296,86,26,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.3,0.8924731182795699,0.5542570951585977,0.3010471204188482,0.7419354838709677,0.6838311019567456,0.596760119349209,332,267,115,40,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.35,0.8225806451612904,0.5698324022346368,0.39528795811518325,0.695852534562212,0.6732673267326733,0.6089343016382368,306,231,151,66,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.4,0.7634408602150538,0.6081370449678801,0.5209424083769634,0.6933797909407665,0.6769964243146603,0.6421916342960086,284,183,199,88,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.45,0.7096774193548387,0.630071599045346,0.5942408376963351,0.6776119402985075,0.6675094816687737,0.6519591285255869,264,155,227,108,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.5,0.6612903225806451,0.6525198938992043,0.6570680628272252,0.6657824933687002,0.6568758344459279,0.6591791927039352,246,131,251,126,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.55,0.5967741935483871,0.7025316455696202,0.7539267015706806,0.6575342465753424,0.6453488372093024,0.6753504475595339,222,94,288,150,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.6,0.5241935483870968,0.7358490566037735,0.8167539267015707,0.6380368098159509,0.6122448979591837,0.6704737375443337,195,70,312,177,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.65,0.4543010752688172,0.757847533632287,0.8586387434554974,0.6177024482109228,0.5680672268907563,0.6564699093621573,169,54,328,203,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.7,0.3467741935483871,0.7724550898203593,0.900523560209424,0.58603066439523,0.47866419294990725,0.6236488768789056,129,38,344,243,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.75,0.27956989247311825,0.832,0.9450261780104712,0.5739268680445151,0.41851106639839036,0.6122980352417947,104,21,361,268,0.719846028260992,0.7262400280751159
HistGradientBoosting,0.8,0.19623655913978494,0.8488372093023255,0.9659685863874345,0.5523952095808383,0.31877729257641924,0.5811025727636098,73,13,369,299,0.719846028260992,0.7262400280751159
