threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.341,0.37685774946921446,0.596446849814695,0.22623828647925034,0.949438202247191,0.24345549738219896,0.9538461538461539,0.36540540540540545,169,578,186,9,942
0.342,0.37791932059447986,0.5971013000764751,0.22654155495978553,0.949438202247191,0.24476439790575916,0.9540816326530612,0.3658008658008658,169,577,187,9,942
0.343,0.37898089171974525,0.5977557503382552,0.22684563758389262,0.949438202247191,0.24607329842931938,0.9543147208121827,0.3661971830985916,169,576,188,9,942
0.344,0.38110403397027603,0.5990646508618154,0.2274562584118439,0.949438202247191,0.2486910994764398,0.9547738693467337,0.36699239956568946,169,574,190,9,942
0.345,0.3842887473460722,0.6010280016471556,0.22837837837837838,0.949438202247191,0.2526178010471204,0.9554455445544554,0.3681917211328976,169,571,193,9,942
0.346,0.3842887473460722,0.6010280016471556,0.22837837837837838,0.949438202247191,0.2526178010471204,0.9554455445544554,0.3681917211328976,169,571,193,9,942
0.347,0.3853503184713376,0.6016824519089359,0.22868741542625168,0.949438202247191,0.25392670157068065,0.9556650246305419,0.3685932388222464,169,570,194,9,942
0.348,0.3853503184713376,0.599527913406671,0.22795115332428764,0.9438202247191011,0.25523560209424084,0.9512195121951219,0.36721311475409835,168,569,195,10,942
0.349,0.3885350318471338,0.6014912641920113,0.22888283378746593,0.9438202247191011,0.2591623036649215,0.9519230769230769,0.368421052631579,168,566,198,10,942
0.35,0.3885350318471338,0.6014912641920113,0.22888283378746593,0.9438202247191011,0.2591623036649215,0.9519230769230769,0.368421052631579,168,566,198,10,942
0.351,0.3885350318471338,0.6014912641920113,0.22888283378746593,0.9438202247191011,0.2591623036649215,0.9519230769230769,0.368421052631579,168,566,198,10,942
0.352,0.39171974522292996,0.6034546149773516,0.22982216142270862,0.9438202247191011,0.2630890052356021,0.95260663507109,0.3696369636963696,168,563,201,10,942
0.353,0.39171974522292996,0.6034546149773516,0.22982216142270862,0.9438202247191011,0.2630890052356021,0.95260663507109,0.3696369636963696,168,563,201,10,942
