outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
overlap,0.36,0.18895966029723993,-0.15187101910828024,-0.26725053078556266,0.0,0.11537951167728241,-0.15187101910828024,-0.8037219101123594
overlap,0.37,0.18895966029723993,-0.15901661443062717,-0.28736561857580967,0.0,0.1283490041451825,-0.15901661443062717,-0.841537364009274
overlap,0.38,0.18895966029723993,-0.1635846859804123,-0.3081295801657421,0.0,0.14454489418532981,-0.1635846859804123,-0.8657122145704964
overlap,0.39,0.18895966029723993,-0.16835473878389198,-0.32957432738157394,0.0,0.16121958859768196,-0.16835473878389198,-0.890955977159698
overlap,0.4,0.18895966029723993,-0.17586694975230013,-0.35173389950460027,0.0,0.17586694975230013,-0.17586694975230013,-0.9307116104868917
overlap,0.41,0.18895966029723993,-0.18498326676022878,-0.374644643564,0.0,0.18966137680377124,-0.18498326676022878,-0.9789563892591882
overlap,0.42,0.18895966029723993,-0.1876052419650047,-0.39834541328062073,0.0,0.21074017131561604,-0.1876052419650047,-0.992832235567609
overlap,0.43,0.18895966029723993,-0.19398815510112857,-0.42287778895221056,0.0,0.228889633851082,-0.19398815510112857,-1.026611472501478
overlap,0.44,0.18895966029723993,-0.20139520776463452,-0.4482863208977859,0.0,0.2468911131331514,-0.20139520776463452,-1.0658105939004814
overlap,0.45,0.18895966029723993,-0.20459370777842115,-0.4746187994595638,0.0,0.27002509168114264,-0.20459370777842115,-1.0827374872318691
overlap,0.46,0.18895966029723993,-0.2090901942281985,-0.5019265550051113,0.0,0.2928363607769128,-0.2090901942281985,-1.1065334997919267
overlap,0.47,0.18895966029723993,-0.21425710050875293,-0.530264791892,0.0,0.31600769138324714,-0.21425710050875293,-1.133877464490142
overlap,0.48,0.18895966029723993,-0.21901028907398332,-0.5596929609668464,0.0,0.34068267189286305,-0.21901028907398332,-1.159031979256698
