model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,accuracy,tp,fp,tn,fn,auc_pr,auc_roc
GradientBoosting,0.6,0.09954751131221719,0.6111111111111112,0.9805825242718447,0.7803532008830022,0.17120622568093385,0.540065017792031,0.7738853503184714,22,14,707,199,0.40930510594367936,0.6919248655399427
GradientBoosting,0.65,0.07692307692307693,0.6296296296296297,0.986130374479889,0.7770491803278688,0.13709677419354838,0.531526725701483,0.772823779193206,17,10,711,204,0.40930510594367936,0.6919248655399427
GradientBoosting,0.7,0.04524886877828054,0.5882352941176471,0.9902912621359223,0.7718918918918919,0.08403361344537816,0.5177700654571015,0.7685774946921444,10,7,714,211,0.40930510594367936,0.6919248655399427
GradientBoosting,0.75,0.04072398190045249,0.6923076923076923,0.9944521497919556,0.7717976318622174,0.07692307692307693,0.5175880658462041,0.7707006369426752,9,4,717,212,0.40930510594367936,0.6919248655399427
GradientBoosting,0.8,0.01809954751131222,0.5714285714285714,0.9958391123439667,0.7679144385026738,0.03508771929824561,0.5069693299276394,0.7664543524416136,4,3,718,217,0.40930510594367936,0.6919248655399427
HistGradientBoosting,0.15,0.755656108597285,0.3069852941176471,0.47711511789181693,0.864321608040201,0.4366013071895425,0.616385613244551,0.5424628450106157,167,377,344,54,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.2,0.6108597285067874,0.32926829268292684,0.6185852981969486,0.8383458646616542,0.42789223454833597,0.614722513351868,0.6167728237791932,135,275,446,86,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.25,0.4841628959276018,0.3566666666666667,0.7323162274618585,0.822429906542056,0.4107485604606526,0.6082395616947301,0.6740976645435244,107,193,528,114,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.3,0.4117647058823529,0.3922413793103448,0.8044382801664355,0.8169014084507042,0.40176600441501104,0.6081014930243942,0.7123142250530785,91,141,580,130,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.35,0.34841628959276016,0.42777777777777776,0.8571428571428571,0.8110236220472441,0.38403990024937656,0.6027795733678086,0.7377919320594479,77,103,618,144,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.4,0.3076923076923077,0.48226950354609927,0.8987517337031901,0.8089887640449438,0.3756906077348066,0.6032220206977489,0.7600849256900213,68,73,648,153,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.45,0.21266968325791855,0.47,0.926490984743412,0.7933491686460807,0.29283489096573206,0.5695803340006652,0.7590233545647559,47,53,668,174,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.5,0.18552036199095023,0.5,0.9431345353675451,0.7906976744186046,0.2706270627062706,0.5643274486792477,0.7653927813163482,41,41,680,180,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.55,0.11764705882352941,0.4727272727272727,0.9597780859916782,0.7801578354002254,0.18840579710144928,0.5387125724076038,0.7622080679405521,26,29,692,195,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.6,0.08144796380090498,0.46153846153846156,0.970873786407767,0.7751937984496124,0.13846153846153847,0.526160875104336,0.7622080679405521,18,21,700,203,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.65,0.06334841628959276,0.45161290322580644,0.9764216366158114,0.7727771679473107,0.1111111111111111,0.5198850264527021,0.7622080679405521,14,17,704,207,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.7,0.027149321266968326,0.375,0.986130374479889,0.7678185745140389,0.05063291139240506,0.5066398478734286,0.7611464968152867,6,10,711,215,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.75,0.013574660633484163,0.375,0.9930651872399445,0.7665952890792291,0.026200873362445413,0.5033199239367143,0.7632696390658175,3,5,716,218,0.3770498496218382,0.6772456555437709
HistGradientBoosting,0.8,0.004524886877828055,0.3333333333333333,0.9972260748959778,0.7657082002129926,0.008928571428571428,0.5008754808869029,0.7643312101910829,1,2,719,220,0.3770498496218382,0.6772456555437709
NeuralNetwork_current,0.15,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.2,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
