outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent,retained_component,retained_n_components,retained_variance_percent_total
perpetration,PC20,20,0.0097898410651301,0.9789841065130168,0.9736466673150962,97.36466673150962,True,22,99.0877488909471
perpetration,PC21,21,0.009250447119773,0.9250447119773056,0.9828971144348692,98.28971144348692,True,22,99.0877488909471
perpetration,PC22,22,0.0079803744746015,0.7980374474601553,0.9908774889094708,99.08774889094708,True,22,99.0877488909471
overlap,PC1,1,0.219532355005484,21.95323550054841,0.219532355005484,21.95323550054841,True,18,95.00386779682754
overlap,PC2,2,0.1085409660305671,10.854096603056712,0.3280733210360511,32.80733210360511,True,18,95.00386779682754
overlap,PC3,3,0.0903271871563101,9.032718715631018,0.4184005081923613,41.84005081923613,True,18,95.00386779682754
overlap,PC4,4,0.0832988129466532,8.329881294665324,0.5016993211390145,50.16993211390145,True,18,95.00386779682754
overlap,PC5,5,0.0682113209408058,6.821132094080581,0.5699106420798203,56.991064207982035,True,18,95.00386779682754
overlap,PC6,6,0.0589640664568404,5.896406645684041,0.6288747085366607,62.88747085366607,True,18,95.00386779682754
overlap,PC7,7,0.0468790980613777,4.687909806137774,0.6757538065980384,67.57538065980384,True,18,95.00386779682754
overlap,PC8,8,0.0407583711213823,4.075837112138233,0.7165121777194208,71.65121777194207,True,18,95.00386779682754
overlap,PC9,9,0.034136789474835,3.4136789474835014,0.7506489671942558,75.06489671942558,True,18,95.00386779682754
overlap,PC10,10,0.0317381476058911,3.173814760589113,0.7823871148001469,78.23871148001469,True,18,95.00386779682754
overlap,PC11,11,0.0296100363624749,2.961003636247498,0.8119971511626218,81.19971511626218,True,18,95.00386779682754
overlap,PC12,12,0.0255245099287509,2.552450992875094,0.8375216610913728,83.75216610913728,True,18,95.00386779682754
overlap,PC13,13,0.0224557643429507,2.2455764342950757,0.8599774254343235,85.99774254343235,True,18,95.00386779682754
overlap,PC14,14,0.0208802458187525,2.0880245818752567,0.8808576712530761,88.08576712530761,True,18,95.00386779682754
overlap,PC15,15,0.0204913761042978,2.04913761042979,0.901349047357374,90.1349047357374,True,18,95.00386779682754
overlap,PC16,16,0.0177452429514311,1.7745242951431106,0.9190942903088052,91.9094290308805,True,18,95.00386779682754
overlap,PC17,17,0.0165385789281134,1.653857892811341,0.9356328692369184,93.56328692369183,True,18,95.00386779682754
overlap,PC18,18,0.0144058087313565,1.4405808731356562,0.950038677968275,95.0038677968275,True,18,95.00386779682754
