TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support
204,501,225,12,0.9444444444444444,0.30991735537190085,0.28936170212765955,0.9493670886075949,0.6271808999081726,0.4429967426710097,0.4554140127388535,942,216,726
197,489,234,22,0.8995433789954338,0.3236514522821577,0.28717201166180756,0.9140625,0.6115974156387958,0.4353591160220994,0.4575371549893843,942,219,723
189,497,226,30,0.863013698630137,0.31258644536652835,0.2755102040816326,0.8828125,0.5878000719983327,0.4176795580110497,0.440552016985138,942,219,723
189,516,220,17,0.9174757281553398,0.29891304347826086,0.2680851063829787,0.9282700421940928,0.6081943858168004,0.4149286498353457,0.43418259023354566,942,206,736
217,490,220,15,0.9353448275862069,0.30985915492957744,0.3069306930693069,0.9361702127659575,0.6226019912578922,0.4621938232161874,0.46390658174097665,942,232,710
206,499,213,24,0.8956521739130435,0.2991573033707865,0.29219858156028367,0.8987341772151899,0.597404738641915,0.44064171122994655,0.4447983014861996,942,230,712
178,524,221,19,0.9035532994923858,0.2966442953020134,0.2535612535612536,0.9208333333333333,0.6000987973971996,0.395995550611791,0.42356687898089174,942,197,745
206,496,220,20,0.911504424778761,0.30726256983240224,0.2934472934472934,0.9166666666666666,0.6093834973055816,0.4439655172413792,0.45222929936305734,942,226,716
204,505,217,16,0.9272727272727272,0.30055401662049863,0.28772919605077574,0.9313304721030042,0.613913371946613,0.43918191603875134,0.4469214437367304,942,220,722
214,505,205,18,0.9224137931034483,0.2887323943661972,0.29763560500695413,0.9192825112107623,0.6055730937348227,0.4500525762355416,0.4447983014861996,942,232,710
184,525,212,21,0.8975609756097561,0.2876526458616011,0.25952045133991536,0.9098712446351931,0.5926068107356786,0.40262582056892776,0.42038216560509556,942,205,737
183,514,224,21,0.8970588235294118,0.3035230352303523,0.26255380200860834,0.9142857142857143,0.600290929379882,0.40621531631520535,0.4320594479830149,942,204,738
215,498,211,18,0.9227467811158798,0.29760225669957685,0.3015427769985975,0.9213973799126638,0.6101745189077283,0.4545454545454546,0.45222929936305734,942,233,709
209,490,227,16,0.9288888888888889,0.31659693165969316,0.2989985693848355,0.934156378600823,0.622742910274291,0.45238095238095244,0.46284501061571126,942,225,717
191,523,216,12,0.9408866995073891,0.2922868741542625,0.26750700280112044,0.9473684210526315,0.6165867868308258,0.41657579062159206,0.4320594479830149,942,203,739
196,500,227,19,0.9116279069767442,0.312242090784044,0.28160919540229884,0.9227642276422764,0.6119349988803942,0.43029637760702527,0.44904458598726116,942,215,727
216,486,216,24,0.9,0.3076923076923077,0.3076923076923077,0.9,0.6038461538461539,0.45859872611464964,0.4585987261146497,942,240,702
