idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1428,0,0,0.3996026909044332,1,0.0,17.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1,3.0,1.2,2.375,2.5,1.484375,2.4285714285714284,3.0,1.673469387755102,3.4,2.24,3.0,1,0,0,1,0,0
1429,0,0,0.4004346789117103,1,1.0,14.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.5,2.5,0.25,2.2857142857142856,3.0,0.7755102040816327,3.4,0.24,3.0,0,1,0,1,0,0
1430,0,1,0.6677619333308904,1,0.0,14.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,0,1.6,0.64,2.375,2.0,1.984375,3.2857142857142856,4.0,0.7755102040816327,3.6,3.04,3.0,0,0,1,0,1,0
1431,0,1,0.6790896071244418,1,0.0,14.0,1.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.2,0.1599999999999999,2.625,3.0,1.234375,2.3171888406918795,2.0,1.6434275658666313,4.4,0.6399999999999999,1.0,0,1,0,0,1,0
1434,1,1,0.9039171599625192,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.625,2.5,0.984375,3.5714285714285716,4.0,1.1020408163265307,1.8,2.5600000000000005,4.0,1,0,0,1,0,0
1435,0,1,0.7132994876020506,1,0.0,15.0,1.0,4,4,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.125,2.0,1.359375,3.857142857142857,4.0,0.1224489795918367,4.0,1.2,5.0,1,0,0,1,0,0
1439,1,1,0.8341426713055999,1,0.0,14.0,1.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.5599999999999999,2.375,2.0,1.984375,2.142857142857143,2.0,1.2653061224489797,2.8,1.36,1.0,0,1,0,1,0,0
1442,0,0,0.3780536312769173,1,1.0,15.0,0.0,3,0,1.0,0.0,0.0,0.0,0.0,0,3.8,0.1599999999999999,2.25,2.0,1.4375,2.857142857142857,3.0,1.5510204081632657,4.0,0.8,5.0,1,0,0,1,0,0
1448,0,1,0.7698425966514608,1,0.0,17.0,1.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.6,0.24,2.3501628664495113,2.0,0.2573210325839001,3.0,3.0,0.2857142857142857,4.2,0.1599999999999999,3.0,1,0,0,0,1,0
1449,1,1,0.5645604354228947,1,0.0,17.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,0,2.8,0.96,2.25,2.0,1.1875,2.7142857142857144,3.0,1.6326530612244896,4.2,0.5599999999999999,5.0,1,0,0,1,0,0
1450,0,1,0.6997635393725886,1,0.0,17.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.6,0.24,4.0,4.0,0.0,1.0,1.0,0.0,3.4,1.8400000000000003,1.0,1,0,0,1,0,0
1451,0,1,0.890517187826305,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.375,2.0,1.234375,3.7142857142857144,4.0,0.489795918367347,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
1455,0,1,0.8134859313036221,1,1.0,17.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,2.125,1.5,1.609375,3.5714285714285716,4.0,1.1020408163265307,3.8,0.96,5.0,0,0,1,1,0,0
1466,0,1,0.5106237998305484,1,1.0,14.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.0,0.8,2.375,2.5,0.984375,3.261904393338928,3.344008006004503,0.1709657741508746,3.4,1.84,4.0,1,0,0,1,0,0
1470,0,0,0.4371762227720289,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.4,0.24,3.0,3.0,0.5,3.6768290503591983,4.0,0.3255918066053331,3.4,0.24,1.0,0,1,0,0,0,1
1471,0,1,0.7959272097738557,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.2,0.5599999999999999,2.625,3.0,0.734375,3.2857142857142856,3.0,0.489795918367347,3.8,0.96,1.0,1,0,0,0,0,1
1477,1,1,0.5457144834100074,1,0.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.6,1.04,2.25,2.0,0.9375,4.0,4.0,0.0,3.0,0.0,1.0,0,1,0,1,0,0
1481,0,0,0.4377459410690588,1,1.0,17.0,0.0,4,4,1.0,1.0,0.0,0.0,0.0,0,3.4,1.4400000000000002,2.5,2.0,1.0,2.2857142857142856,1.0,2.2040816326530615,5.0,0.0,4.0,0,1,0,0,1,0
