idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
3226,0,1,0.509393451422437,1,0.0,14.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.0,1.5,1.25,3.2857142857142856,3.0,0.489795918367347,3.4,2.24,1.0,0,1,0,1,0,0
3644,1,1,0.7824773413897281,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,2.4,0.24,2.625,3.0,0.734375,3.7142857142857144,4.0,0.2040816326530612,3.8,0.1599999999999999,1.0,0,1,0,0,1,0
128,1,1,0.509393451422437,1,1.0,14.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0,4.0,0.0,1.375,1.0,0.484375,4.0,4.0,0.0,2.2,2.56,5.0,1,0,0,1,0,0
1082,1,1,0.509393451422437,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,3.0,1.2,1.875,2.0,0.609375,2.4285714285714284,2.0,1.9591836734693877,3.0,1.6,2.0,1,0,0,1,0,0
1387,0,1,0.509393451422437,2,1.0,15.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,1,3.2,0.5599999999999999,2.875,3.0,1.359375,3.4285714285714284,4.0,0.5306122448979592,3.8,0.5599999999999999,1.0,0,1,0,1,0,0
2728,0,1,0.509393451422437,1,0.0,17.0,0.0,4,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.75,3.0,0.6875,2.0,2.0,0.8571428571428571,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
2255,1,1,0.509393451422437,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,2.2,2.16,2.5,2.5,1.25,3.4285714285714284,3.0,0.2448979591836734,3.6,0.24,2.0,1,0,0,1,0,0
2269,0,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,1.04,2.75,2.5,0.6875,3.7142857142857144,4.0,0.489795918367347,4.6,0.24,4.0,1,0,0,1,0,0
1267,1,1,0.509393451422437,1,0.0,15.0,1.0,2,0,1.0,1.0,0.0,0.0,1.0,0,1.4,0.24,3.0,3.0,0.75,2.5714285714285716,2.0,0.5306122448979593,4.4,0.64,5.0,0,0,1,0,1,0
3116,0,0,0.2979397781299525,1,1.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,2.75,3.0,0.6875,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
851,1,1,0.7824773413897281,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.1520482533299825,0.092474685362794,2.25,2.0,0.4375,4.0,4.0,0.0,4.0,0.8,5.0,0,1,0,0,1,0
2572,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.25,2.0,0.4375,3.4285714285714284,4.0,0.5306122448979593,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
285,0,1,0.509393451422437,1,1.0,17.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.5599999999999999,2.5,3.0,1.0,3.5714285714285716,4.0,0.5306122448979592,4.6,0.24,4.0,0,1,0,1,0,0
3724,0,1,0.7824773413897281,2,1.0,15.0,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.375,2.5,1.484375,4.0,4.0,0.0,4.0,0.4,1.0,0,1,0,1,0,0
3268,1,1,0.509393451422437,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,1.8,0.56,1.875,2.0,0.359375,3.857142857142857,4.0,0.1224489795918367,4.2,2.56,1.0,0,1,0,0,0,1
