PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
-0.826737,0.42962897,-0.27397734,-0.053389676,0.28626528,0.04580891,0.013346088,-0.27626055,0.124312826,0.15515144,0.042100407,-0.086621985,0.014683808,0.0056404327,0.15432285,-0.008775926,-0.3601493,0.1860917,-0.06530576,0.04338494,0.020323565,-0.09867033
0.61976516,-0.683596,0.8930555,0.33611354,-0.58934903,-0.18538347,-0.15525268,0.22373095,-0.31458497,0.2680016,0.23549744,-0.031489223,-0.46805108,0.01730408,0.3224302,0.21505542,0.1825721,-0.05686805,0.3549518,-0.011671252,0.05724787,-0.117152356
-0.5156142,0.013168051,-1.3729792,-0.015886411,-0.2965499,-0.224253,-0.3338292,0.055991303,-0.10347591,-0.15048337,-0.08833051,-0.16423127,-0.047325816,-0.022731934,0.10552624,-0.3478477,-0.39153528,-0.015894054,-0.23099512,0.16680074,0.0147660775,0.0006820441
0.681415,-0.79010254,0.76405036,-0.15857598,-0.044516165,-0.8632898,0.20089094,0.3370185,0.29567927,0.46685547,-1.1081543,0.22454683,0.21438573,0.08954501,0.07710693,0.10946497,0.057550333,-0.057369247,0.03315577,-0.26774362,0.59743875,-0.044170994
0.7049385,0.59835994,0.105494194,-0.0624896,0.0361479,-0.07995416,0.08580615,-0.04798542,0.01446226,0.05231309,0.0314114,0.0925041,0.01822337,-0.020825459,-0.003164801,0.042644706,-0.18806817,0.17050673,-0.2649431,-0.07476205,-0.0031655687,0.069915175
0.64885503,0.45227477,0.028467026,0.20077622,-0.31513098,-0.17052029,0.6233856,-0.32299066,0.16973726,0.2317581,0.13920954,-0.16215405,-0.0064669405,-0.1313017,0.8013077,-0.08056013,-0.14736243,-0.30212426,-0.0074023143,0.164782,-0.0722051,0.21032824
-0.74553525,-0.06546765,0.21322913,-0.5214107,-0.67511404,-0.14069925,0.32373816,-0.0045680543,-0.07468468,0.0028408903,0.08530007,0.07015493,0.030806659,0.025484014,0.10435287,-0.11211857,-0.2643101,0.19204555,0.12520309,0.023778377,0.059461415,-0.21065496
0.39550456,-0.08175789,-0.049952883,0.55807644,0.27361134,0.4572583,0.33627272,-0.4873475,1.5534801,0.031926967,-0.11416043,-0.3046076,0.6673156,-0.6609362,-0.1784329,0.08536904,0.5257678,-0.108644135,-0.06120899,0.15075636,-0.17174241,-0.05177061
-0.89794654,0.41890356,-0.31018585,-0.09738998,0.43548074,0.12857482,-0.06271264,-0.15208638,0.1949957,0.3493522,0.105967686,-0.09050326,0.029932914,-0.011096417,0.18847457,0.06974485,-0.18322457,0.10112559,-0.042537615,-0.05700967,-0.012341928,-0.030954197
-0.63417524,-0.8676436,0.56107426,0.41431105,-0.5702908,-0.20198582,-0.06702133,-0.32953382,-0.40031782,-0.090104364,0.078873225,0.02411479,-0.428626,0.20173575,0.42623863,0.57604957,-0.36593753,-0.6538913,0.058395933,0.0529282,-0.0284746,0.22266015
0.9492698,0.08850726,-1.0914135,0.11517442,-0.6480258,-0.31770906,0.18323961,0.021936662,-0.04199863,0.006522124,0.03694533,0.056063484,-0.025085649,-0.08233326,0.07901325,0.010320722,-0.107879855,0.28559572,0.23453677,0.1426792,-0.066933766,0.22573142
0.67831427,-0.16235031,0.31238827,-0.49666572,-0.37175122,0.18177222,0.27162305,-0.6478111,-0.03019871,-0.10917877,-0.01604412,-0.19991274,0.075935945,0.12631615,-0.25841764,0.022429802,0.18793681,-0.20438153,-0.0882132,0.10403616,0.0461386,-0.23777035
-0.64613515,-0.64106345,0.4002773,-0.27770802,-0.15939277,-0.59946924,0.051387526,-0.24962752,-0.31497994,-0.19450724,0.16937456,0.19018109,-0.08278664,-0.100224465,0.0015661957,0.16889364,0.03557151,-0.14418158,0.07832734,-0.3744791,0.08108084,-0.08176932
0.648477,-0.036263276,0.42238945,-0.7938177,0.08442412,0.29818225,-0.43281275,-0.07079758,-0.1014603,-0.14461221,-0.0635593,-0.047076352,0.053496804,0.11098503,-0.030547991,-0.17497784,-0.16161786,-0.040423464,0.2202029,0.08462119,-0.036921125,0.086827345
-0.89955986,0.33681345,-0.30520552,-0.01301693,0.51980996,0.24438456,0.5182103,0.5619161,-0.15146953,0.11543272,0.066887714,-0.42128888,0.0988579,-0.019267216,-0.07264485,0.07043595,-0.097121626,0.12204821,-0.12744065,-0.4012977,-0.008145744,0.07140064
0.7122535,0.3162438,-0.013902483,0.0074048676,0.64003444,0.41232887,0.5574749,0.16379425,-0.297478,-0.34520856,-0.04760899,-0.042569924,0.020251578,-0.038414128,-0.07489413,-0.015653297,0.1206756,-0.12422633,-0.17029168,-0.0896811,0.019546164,-0.15591887
-0.651785,0.15094735,0.21182348,0.1950666,0.071861625,-0.9316284,-0.25492027,0.15247688,-0.39453524,-0.2960238,0.07000232,0.024847487,-0.16965918,-0.20531982,-0.18639655,0.040620167,-0.10917256,0.12337452,0.2968341,0.030811252,0.007951335,0.07757385
0.6634372,-1.0845243,0.723843,0.8125764,-0.44160104,0.28631952,0.0022603294,-0.9113246,-0.1899382,0.009282975,0.23228377,-0.1372317,0.36834055,-0.18579932,-0.25740093,0.15750796,-0.034748323,-0.25603142,-0.32385185,0.12814668,0.094912395,-0.101283684
-0.6780616,0.3288375,-0.26633263,0.0010349874,0.3755617,0.15188451,0.19786896,-0.5335072,0.055836488,-0.08596195,0.030598246,0.50923735,-0.04150955,-0.045640368,0.4266744,0.1336213,-0.10713235,-0.12544028,-0.111181416,-0.020178685,-0.0097589865,0.049988575
0.67804426,0.5720814,0.10733489,-0.07718683,0.11569432,0.0048987577,-0.2432058,-0.3383555,-0.07197608,-0.28032568,-0.15208706,-0.35571846,0.017797714,0.013563022,0.31975842,-0.09380944,-0.11499923,0.1919032,0.26483363,0.15125073,-0.023501677,0.06623083
-0.8237578,-0.93467647,0.43354136,0.41776985,-0.30483535,0.013171442,-0.09504228,-0.6088117,-0.23942573,0.10787947,0.1184426,-0.22453324,-0.4419394,0.18251312,-0.2554635,0.14323466,0.047342286,0.01352874,-0.02367066,0.029713437,0.0071330746,0.09403099
0.68052334,0.6538383,0.1513829,-0.10913034,0.0023725636,-0.09922185,-0.20933175,-0.0007871907,-0.11156706,-0.13941398,-0.085983686,-0.21852227,0.012506869,0.003621731,-0.06741511,0.04220648,0.1122872,0.008784896,-0.16570468,0.13809362,0.025616273,-0.13700776
-0.89811385,-0.37873748,-0.018102102,0.5601173,0.37493303,-0.9630516,0.38081455,-0.20522399,0.5053407,0.6081891,-1.1388488,-0.2533044,0.14023532,0.013714755,-0.5154423,-0.24725541,0.102664284,-0.14264853,0.098069154,0.12629063,0.5451055,0.0038859341
0.6720389,0.6282248,0.14351784,-0.1744338,0.25337827,0.023427863,-0.27761763,0.1042344,-0.068741895,-0.05282071,-0.03285506,0.10096889,-0.021816235,-0.04118171,-0.032830257,-0.029082306,0.11760469,-0.030900238,-0.15880075,0.11455729,-0.040753942,0.15905939
-0.7503684,-0.34042996,0.084588185,-0.6092644,0.33370546,0.5457762,0.44451687,0.2652039,-0.40283105,-0.41634652,-0.03889935,0.12672205,0.041800573,0.068345636,-0.13990864,0.028647494,0.08637476,-0.04879166,0.3603529,0.029142847,-0.05222698,0.100101426
