seed,pos_weight_multiplier,u1,a1,d1,u2,a2,d2,threshold,recall_0,recall_1,specificity,precision_ppv,npv,f1_positive,accuracy,balanced_accuracy,TP,FP,TN,FN,epochs_ran,tier,epochs_fit_total,base_pos_weight,effective_pos_weight
2292,2.5,64,sigmoid,0.3,16,linear,0.0,0.5,0.18030513176144244,0.9547511312217195,0.18030513176144244,0.2630922693266833,0.9285714285714286,0.4125122189638319,0.3619957537154989,0.567528131491581,211,591,130,10,25,1,25,3.2545180722891565,8.136295180722891
2342,3.0,64,sigmoid,0.3,16,linear,0.0,0.5,0.04854368932038835,0.995475113122172,0.04854368932038835,0.24282560706401765,0.9722222222222222,0.3904170363797693,0.27070063694267515,0.5220094012212801,220,686,35,1,25,1,25,3.2545180722891565,9.763554216867469
2392,3.5,64,sigmoid,0.3,16,linear,0.0,0.5,0.047156726768377254,1.0,0.047156726768377254,0.2433920704845815,1.0,0.39149689991142606,0.27070063694267515,0.5235783633841886,221,687,34,0,33,1,33,3.2545180722891565,11.390813253012048
2442,4.0,64,sigmoid,0.3,16,linear,0.0,0.5,0.0027739251040221915,1.0,0.0027739251040221915,0.2351063829787234,1.0,0.3807062876830319,0.2367303609341826,0.5013869625520111,221,719,2,0,25,1,26,3.2545180722891565,13.018072289156626
3142,1.0,64,linear,0.2,4,relu,0.1,0.5,0.7004160887656034,0.6289592760180995,0.7004160887656034,0.39154929577464787,0.8603066439522998,0.4826388888888889,0.6836518046709129,0.6646876823918515,139,216,505,82,4,0,17,3.2545180722891565,3.2545180722891565
3192,1.5,64,linear,0.2,4,relu,0.1,0.5,0.21220527045769763,0.9004524886877828,0.21220527045769763,0.25945241199478486,0.8742857142857143,0.402834008097166,0.37367303609341823,0.5563288795727402,199,568,153,22,3,3,7,3.2545180722891565,4.8817771084337345
3242,2.0,64,linear,0.2,4,relu,0.1,0.5,0.0,1.0,0.0,0.2346072186836518,,0.38005159071367156,0.2346072186836518,0.5,221,721,0,0,1,1,7,3.2545180722891565,6.509036144578313
3292,2.5,64,linear,0.2,4,relu,0.1,0.5,0.18307905686546463,0.9547511312217195,0.18307905686546463,0.26375,0.9295774647887324,0.41332027424094026,0.3641188959660297,0.5689150940435921,211,589,132,10,7,1,7,3.2545180722891565,8.136295180722891
3342,3.0,64,linear,0.2,4,relu,0.1,0.5,0.361997226074896,0.8597285067873304,0.361997226074896,0.2923076923076923,0.8938356164383562,0.4362801377726751,0.47876857749469215,0.6108628664311132,190,460,261,31,1,2,7,3.2545180722891565,9.763554216867469
3392,3.5,64,linear,0.2,4,relu,0.1,0.5,0.1317614424410541,0.9728506787330317,0.1317614424410541,0.2556480380499406,0.9405940594059405,0.4048964218455744,0.32908704883227174,0.5523060605870429,215,626,95,6,2,1,7,3.2545180722891565,11.390813253012048
3442,4.0,64,linear,0.2,4,relu,0.1,0.5,0.09153952843273232,0.9773755656108597,0.09153952843273232,0.24799081515499427,0.9295774647887324,0.3956043956043956,0.29936305732484075,0.534457547021796,216,655,66,5,2,1,7,3.2545180722891565,13.018072289156626
4142,1.0,64,linear,0.3,4,relu,0.05,0.5,0.6740638002773925,0.5882352941176471,0.6740638002773925,0.3561643835616438,0.8422876949740035,0.44368600682593856,0.6539278131634819,0.6311495471975198,130,235,486,91,3,0,14,3.2545180722891565,3.2545180722891565
4192,1.5,64,linear,0.3,4,relu,0.05,0.5,0.2926490984743412,0.9140271493212669,0.2926490984743412,0.28370786516853935,0.9173913043478261,0.4330117899249732,0.43842887473460723,0.6033381238978041,202,510,211,19,5,3,8,3.2545180722891565,4.8817771084337345
4242,2.0,64,linear,0.3,4,relu,0.05,0.5,0.29958391123439665,0.918552036199095,0.29958391123439665,0.2867231638418079,0.9230769230769231,0.4370290635091496,0.4447983014861996,0.6090679737167458,203,505,216,18,7,3,7,3.2545180722891565,6.509036144578313
4292,2.5,64,linear,0.3,4,relu,0.05,0.5,0.15672676837725383,0.9728506787330317,0.15672676837725383,0.26123936816524906,0.9495798319327731,0.4118773946360153,0.3481953290870488,0.5647887235551428,215,608,113,6,7,1,7,3.2545180722891565,8.136295180722891
4342,3.0,64,linear,0.3,4,relu,0.05,0.5,0.015256588072122053,0.9909502262443439,0.015256588072122053,0.2357373519913886,0.8461538461538461,0.3808695652173913,0.24416135881104034,0.503103407158233,219,710,11,2,1,1,7,3.2545180722891565,9.763554216867469
