u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,TP,FP,TN,FN
64,relu,0.3,8,relu,0.1,0.35,0.5222929936305732,0.6494793811400671,0.8539325842696629,0.44502617801047123,0.2638888888888889,0.9289617486338798,0.40318302387267907,152,424,340,26
64,relu,0.3,8,relu,0.1,0.4,0.564755838641189,0.6584210835931525,0.8089887640449438,0.5078534031413613,0.27692307692307694,0.919431279620853,0.41260744985673353,144,376,388,34
64,relu,0.3,8,relu,0.1,0.5,0.6836518046709129,0.6929378198717571,0.7078651685393258,0.6780104712041884,0.3387096774193548,0.9087719298245615,0.4581818181818182,126,246,518,52
64,relu,0.3,8,relu,0.05,0.15,0.208067940552017,0.5117801047120419,1.0,0.02356020942408377,0.19264069264069264,1.0,0.32304900181488205,178,746,18,0
64,relu,0.3,8,relu,0.05,0.2,0.27176220806794055,0.5467380434143185,0.9887640449438202,0.10471204188481675,0.20465116279069767,0.975609756097561,0.33911368015414256,176,684,80,2
64,relu,0.3,8,relu,0.05,0.25,0.35774946921443734,0.5932848991117124,0.9719101123595506,0.21465968586387435,0.2238033635187581,0.9704142011834319,0.3638275499474238,173,600,164,5
64,relu,0.3,8,relu,0.05,0.3,0.4416135881104034,0.6320592387787517,0.9382022471910112,0.32591623036649214,0.24486803519061584,0.9576923076923077,0.3883720930232558,167,515,249,11
64,relu,0.3,8,relu,0.05,0.35,0.4978768577494692,0.6365815636213895,0.8595505617977528,0.41361256544502617,0.2545757071547421,0.9266862170087976,0.392811296534018,153,448,316,25
64,relu,0.3,8,relu,0.05,0.4,0.5679405520169851,0.6560753573739632,0.797752808988764,0.5143979057591623,0.27680311890838205,0.916083916083916,0.4109985528219971,142,371,393,36
64,relu,0.3,8,relu,0.05,0.5,0.6868365180467091,0.6905920936525678,0.6966292134831461,0.6845549738219895,0.33972602739726027,0.9064124783362218,0.4567219152854512,124,241,523,54
64,relu,0.3,8,relu,0.0,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,relu,0.0,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,relu,0.0,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,relu,0.0,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,relu,0.0,0.35,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,relu,0.0,0.4,0.1921443736730361,0.5019633507853403,1.0,0.003926701570680628,0.18956336528221512,1.0,0.3187108325872874,178,761,3,0
64,relu,0.3,8,relu,0.0,0.5,0.5498938428874734,0.636331548914642,0.7752808988764045,0.4973821989528796,0.26436781609195403,0.9047619047619048,0.3942857142857143,138,384,380,40
64,relu,0.3,8,linear,0.1,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.1,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.1,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.1,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.1,0.35,0.19002123142250532,0.5006544502617801,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.31814119749776587,178,763,1,0
64,relu,0.3,8,linear,0.1,0.4,0.24416135881104034,0.5275677981057709,0.9831460674157303,0.07198952879581152,0.19796380090497737,0.9482758620689655,0.3295668549905838,175,709,55,3
64,relu,0.3,8,linear,0.1,0.5,0.5743099787685775,0.6233749044061416,0.702247191011236,0.5445026178010471,0.2642706131078224,0.8869936034115139,0.38402457757296465,125,348,416,53
64,relu,0.3,8,linear,0.05,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.05,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.05,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.05,0.3,0.19002123142250532,0.5006544502617801,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.31814119749776587,178,763,1,0
64,relu,0.3,8,linear,0.05,0.35,0.21019108280254778,0.5109344667333372,0.9943820224719101,0.0274869109947644,0.1923913043478261,0.9545454545454546,0.3224043715846995,177,743,21,1
64,relu,0.3,8,linear,0.05,0.4,0.2898089171974522,0.5557091593623154,0.9831460674157303,0.12827225130890052,0.2080856123662307,0.9702970297029703,0.3434739941118744,175,666,98,3
64,relu,0.3,8,linear,0.05,0.5,0.643312101910828,0.6809959409377022,0.7415730337078652,0.6204188481675392,0.3127962085308057,0.9115384615384615,0.44,132,290,474,46
64,relu,0.3,8,linear,0.0,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.0,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.0,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.0,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,linear,0.0,0.35,0.2091295116772824,0.512434554973822,1.0,0.024869109947643978,0.19284940411700974,1.0,0.32334241598546776,178,745,19,0
64,relu,0.3,8,linear,0.0,0.4,0.3333333333333333,0.5717689275839756,0.9550561797752809,0.18848167539267016,0.21518987341772153,0.9473684210526315,0.3512396694214876,170,620,144,8
64,relu,0.3,8,linear,0.0,0.5,0.6507430997876857,0.6661862462497794,0.6910112359550562,0.6413612565445026,0.30982367758186397,0.8990825688073395,0.42782608695652175,123,274,490,55
64,relu,0.3,8,tanh,0.1,0.15,0.23142250530785563,0.5261780104712042,1.0,0.05235602094240838,0.1973392461197339,1.0,0.3296296296296296,178,724,40,0
64,relu,0.3,8,tanh,0.1,0.2,0.291932059447983,0.5548635213836107,0.9775280898876404,0.13219895287958114,0.2078853046594982,0.9619047619047619,0.34285714285714286,174,663,101,4
64,relu,0.3,8,tanh,0.1,0.25,0.3832271762208068,0.6003735513853756,0.949438202247191,0.2513089005235602,0.22807017543859648,0.9552238805970149,0.367791077257889,169,572,192,9
64,relu,0.3,8,tanh,0.1,0.3,0.45116772823779194,0.6357947526325077,0.9325842696629213,0.3390052356020942,0.2473919523099851,0.955719557195572,0.3910482921083628,166,505,259,12
64,relu,0.3,8,tanh,0.1,0.35,0.5116772823779193,0.6515530325313253,0.8764044943820225,0.42670157068062825,0.26262626262626265,0.9367816091954023,0.40414507772020725,156,438,326,22
64,relu,0.3,8,tanh,0.1,0.4,0.578556263269639,0.6712380140008236,0.8202247191011236,0.5222513089005235,0.2857142857142857,0.925754060324826,0.42380261248185774,146,365,399,32
64,relu,0.3,8,tanh,0.1,0.5,0.6836518046709129,0.6843196658626978,0.6853932584269663,0.6832460732984293,0.33516483516483514,0.903114186851211,0.45018450184501846,122,242,522,56
