,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN_H,CONVIVEN_0,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO.BN0,ORIENTSEX.BN0,GENERO.BN1,ORIENTSEX.BN1
540,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.64,2.25,2.0,0.9375,3.2857142857142856,4.0,0.7755102040816327,4.4,0.6399999999999999,4.0,False,True,True,False
541,True,False,16.0,False,2,2,1.0,0.0,0.0,0.0,False,False,3.0,0.4,2.125,2.0,0.359375,3.0,3.0,0.8571428571428571,4.4,0.64,2.0,True,True,False,False
542,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,False,False,3.4,0.24,2.75,3.0,1.4375,3.4285714285714284,4.0,0.816326530612245,5.0,0.0,1.0,False,True,True,False
543,True,False,15.0,False,2,0,1.0,1.0,0.0,0.0,True,False,3.8,0.1599999999999999,2.0,2.0,0.75,3.5714285714285716,4.0,0.5306122448979592,5.0,0.0,5.0,True,False,False,True
544,True,False,16.0,False,3,3,1.0,1.0,0.0,0.0,True,False,2.2,0.5599999999999999,2.0,1.5,1.25,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,False,True,True,False
545,True,False,16.0,False,4,3,1.0,1.0,0.0,0.0,True,False,3.8,0.1599999999999999,2.375,2.5,0.484375,4.0,4.0,0.0,5.0,0.0,1.0,False,True,True,False
546,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,False,False,3.2,0.1599999999999999,2.75,3.0,0.6875,3.857142857142857,4.0,0.1224489795918367,3.6,0.24,5.0,True,True,False,False
547,True,False,17.0,False,2,2,1.0,1.0,0.0,0.0,True,False,3.0,0.4,2.75,3.0,0.9375,3.2857142857142856,4.0,0.7755102040816327,4.2,0.5599999999999999,1.0,False,False,True,True
548,True,False,15.0,False,3,2,1.0,1.0,0.0,0.0,False,False,3.6,0.24,2.5,3.0,1.5,3.857142857142857,4.0,0.1224489795918367,4.2,0.5599999999999999,2.0,False,True,True,False
549,True,False,16.0,False,2,2,1.0,1.0,0.0,0.0,True,False,3.6,0.64,2.25,2.0,0.9375,3.5714285714285716,4.0,0.2448979591836734,4.0,0.4,1.0,False,True,True,False
550,True,False,16.0,False,3,0,1.0,1.0,0.0,0.0,False,False,3.0,0.4,2.25,2.5,0.6875,3.142857142857143,3.0,0.6938775510204082,4.6,0.24,1.0,False,True,True,False
551,True,False,16.0,False,4,4,1.0,1.0,0.0,0.0,True,False,2.8,0.1599999999999999,2.375,2.5,0.484375,3.2857142857142856,3.0,0.2040816326530612,3.2,0.5599999999999999,5.0,True,True,False,False
552,True,False,15.0,False,3,2,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.5,2.0,0.5,3.857142857142857,4.0,0.1224489795918367,3.8,0.96,1.0,False,True,True,False
553,True,False,17.0,False,0,1,0.0,1.0,0.0,1.0,True,False,2.8,0.5599999999999999,2.375,2.0,1.734375,4.0,4.0,0.0,4.4,0.6399999999999999,2.0,True,True,False,False
554,True,False,16.0,False,3,0,1.0,0.0,0.0,0.0,False,False,2.6,0.24,2.375,2.5,0.984375,3.4285714285714284,4.0,0.5306122448979592,4.6,0.24,1.0,False,True,True,False
555,True,False,16.0,True,4,4,1.0,1.0,0.0,0.0,True,False,3.0,0.4,2.125,2.0,0.609375,3.0,3.0,1.1428571428571428,4.4,0.64,1.0,False,True,True,False
556,True,False,16.0,False,4,4,1.0,0.0,0.0,0.0,False,False,2.8,2.16,2.0,2.0,0.0,2.7142857142857144,4.0,2.2040816326530615,2.4,3.04,4.0,True,True,False,False
557,True,False,15.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.8,0.1599999999999999,2.75,3.0,0.4375,3.7142857142857144,4.0,0.2040816326530612,4.2,0.5599999999999999,2.0,False,True,True,False
558,True,False,16.0,False,2,2,1.0,1.0,0.0,0.0,False,False,2.4,0.64,2.25,2.0,0.4375,2.5714285714285716,3.0,0.5306122448979592,4.0,0.4,4.0,True,True,False,False
559,True,False,17.0,True,4,2,1.0,1.0,0.0,1.0,True,True,3.0,0.4,2.625,3.0,0.234375,3.857142857142857,4.0,0.1224489795918367,4.6,0.24,1.0,False,True,True,False
560,True,False,16.0,False,4,4,1.0,1.0,0.0,0.0,True,False,3.8,0.1599999999999999,2.625,3.0,0.984375,3.0,4.0,1.4285714285714286,4.8,0.1599999999999999,4.0,True,True,False,False
561,True,False,15.0,True,4,4,1.0,1.0,0.0,0.0,False,False,2.8,0.96,2.625,3.0,0.734375,3.0,4.0,1.7142857142857142,4.4,0.24,3.0,True,True,False,False
562,True,False,17.0,False,4,3,1.0,1.0,0.0,0.0,True,False,3.0,0.4,2.25,2.5,0.6875,4.0,4.0,0.0,5.0,0.0,5.0,True,True,False,False
563,True,True,17.0,True,4,4,1.0,1.0,1.0,1.0,True,True,3.6,0.24,2.5,2.5,1.25,3.5714285714285716,4.0,0.5306122448979593,4.6,0.24,4.0,True,True,False,False
564,True,False,15.0,False,3,3,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.5,2.0,0.5,3.142857142857143,4.0,1.2653061224489797,4.8,0.1599999999999999,1.0,False,False,True,True
565,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.125,2.0,0.609375,2.857142857142857,3.0,0.4081632653061224,4.0,0.4,3.0,True,True,False,False
566,True,False,16.0,True,4,3,1.0,1.0,0.0,0.0,True,False,2.2,0.1599999999999999,2.0,1.0,1.75,3.0,4.0,1.7142857142857142,4.8,0.1599999999999999,1.0,False,False,True,True
567,True,False,16.0,False,3,3,1.0,1.0,0.0,0.0,False,False,3.4,0.24,2.75,3.0,0.1875,3.7142857142857144,4.0,0.2040816326530612,4.0,0.0,3.0,True,True,False,False
568,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,False,False,2.6,0.24,2.125,2.0,0.609375,3.857142857142857,4.0,0.1224489795918367,3.4,0.64,1.0,False,True,True,False
569,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.8,0.5599999999999999,2.625,3.0,1.984375,3.4285714285714284,4.0,0.5306122448979592,5.0,0.0,5.0,True,True,False,False
570,True,True,17.0,False,2,0,1.0,1.0,0.0,0.0,False,False,4.0,0.0,2.519218710810133,2.0768748432405317,0.9833668011062916,4.0,4.0,0.0,4.6,0.6399999999999999,1.0,False,True,True,False
571,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,True,False,2.0,0.4,2.125,2.0,0.859375,3.4285714285714284,4.0,1.1020408163265307,2.6,1.04,1.0,False,True,True,False
