,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN_H,CONVIVEN_0,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO.BN0,ORIENTSEX.BN0,GENERO.BN1,ORIENTSEX.BN1
PC11,-0.03990071097368612,-0.012445340901660693,-0.1293108175888592,-4.9197262810679886e-05,0.024169086053794395,0.03581262651100697,0.6853884212728931,-0.21624821256459925,-0.4575246865013647,-0.3028279120819401,-0.02412800305882434,0.35969192542176026,-0.016135939118573348,-0.018907863086658677,0.01071934990516328,0.01770458396024982,-0.00828177629336712,0.0015739009872317586,0.013888882246636858,-0.007087489402283444,-0.007291165662243578,0.018649612797838805,0.1667064797184474,-0.034228060573572354,0.011289257059881591,0.03422806057357386,-0.011289257059881506
PC12,-0.12929511825180126,0.025958879814461287,-0.2915033237738643,-0.24491312030951973,0.5705818215571715,0.4282860441312711,0.09734849306513274,0.04500061391116201,0.0832661697321654,0.002729934433222362,-0.008512742210974988,0.00285944414167164,0.03328189991892007,-0.02425087604310321,-0.01741164674007788,-0.04285671661772272,-0.043782121375843336,0.004498594611198024,0.010798708498405963,0.021687120265568065,-0.11714540359049085,0.0810538518775892,-0.5014515808740302,0.11609205028403534,-0.05037708755548882,-0.11609205028404142,0.05037708755548957
PC13,0.8333425398877311,0.34080351692971905,-0.029338233743858105,-0.07166172057149826,0.012584048966391231,0.11840050833690999,-0.19392737286891595,-0.11143293973273001,-0.29783904332948186,-0.02981113155184363,0.055326480214432636,0.019577338233947812,0.023201475377798497,0.019686416037714927,-0.021302816115445287,-0.03470673931878732,-0.06234757392839434,0.00038045477338807956,0.015289864879315664,-0.00907057522960337,-0.08661365651131721,0.0646653013328836,-0.07128417600787025,0.022811475207830684,-0.027932471494839958,-0.022811475207832162,0.02793247149484019
PC14,0.3048414856908798,0.13065223074329468,0.14824075632624983,0.01665370106307726,-0.02642286998470353,-0.09092513714452741,0.42648957768685014,0.20742405147250562,0.6118822615556874,0.08815484775193624,-0.09763902565553184,0.29306834013000693,0.023167457202034038,0.13884169090634355,-0.057598637080581855,-0.09915370237569025,0.13039773676503072,0.018838152544871672,0.15987985007575783,0.26261531159831825,0.009047097697650964,0.09640422008800392,-0.039231288360067805,0.014583830224856821,0.0064041262565669495,-0.01458383022485645,-0.006404126256567273
PC15,-0.12377920405170588,-0.13409189570524696,0.004146549446591962,-0.008691458022851234,0.007902299023326325,-0.020890322243513993,-0.178071050969598,-0.06028823749593925,-0.27548209390615247,-0.06729500896987058,0.055450394072519935,-0.09455161308652456,0.09795905322263722,0.31192504503799395,-0.16753719038821918,-0.29637155019266204,0.37886055460791845,0.10202363842393997,0.3345970289540268,0.5052117323796066,-0.0811963056693167,0.2958597044600154,0.014701958505003564,-0.0048091606204205455,-0.001470545683985423,0.004809160620422806,0.0014705456839853165
PC16,0.03633072115388557,0.03583513849610949,-0.06542768779220934,0.04740653499659386,0.04976182421176833,0.06680830463629461,-0.021606455187860737,-0.02712736887515134,-0.049767450669192706,0.01668396334672365,-0.0032060400477642603,0.051191820576656215,0.1434985970726806,-0.16031401662968292,-0.2512176106788223,-0.4125186729934651,0.11662804274774538,-0.06847538527465885,-0.11695024035322156,0.13127870768874217,0.6433279808503651,-0.4782140481157707,-0.04851096104641842,0.04252067939789911,0.0041045794779392165,-0.04252067939789366,-0.004104579477939054
PC17,0.007710834041208761,0.08297671355692586,-0.05127694807063057,0.012399516846103692,0.06804751606242136,0.04749883630314906,-0.03875377411243407,-0.0005377332760211512,-0.06395386515976512,-0.004295319767713738,0.0037149270490916307,-0.006238745643308499,-0.4301538355628807,0.39642665964016044,0.2843880301227737,0.46429359824388017,0.06280603918377926,0.10094328223432622,0.27003107753423794,0.15434350837365615,0.38345095213059444,-0.26620244049837255,-0.0746556313075422,0.04851273480012171,0.004424316291917775,-0.04851273480011888,-0.004424316291917882
PC18,-0.0034254102859738434,0.0006256930273574038,0.012048049142912527,-0.03070773425101002,0.0008527288834781271,0.015198174542440178,0.03584760795439546,0.03439503087467058,0.003410997492468357,0.03140720256122609,0.0071786758693971895,0.021192662489201135,-0.44357684544928644,0.49963882576407787,-0.18629606703748566,-0.3689231501722102,0.19653657172574326,-0.008638751236425265,-0.2755015079767828,-0.4988698174395107,0.006175999457845591,0.10592922084147188,-0.001916003224435143,0.02947070479121528,0.02256200823799509,-0.029470704791214972,-0.022562008237995045
PC19,0.05914036331461755,0.03618886457081246,-0.02354149400285719,0.008655687599714081,0.041182478442635076,0.08620235759736325,0.01957549103848358,-0.004498458958458546,0.004733423144313621,0.05987820280672013,0.009007903471954518,-0.001550972882356192,0.24423650454374068,-0.14110506969046416,0.2263351896276113,0.261510442141329,0.8410338385409426,-0.03936038185041153,-0.18847917411947793,-0.19192569739695428,0.0014266890524804127,0.008008871349587944,0.02850804898508807,0.0016623158986886577,0.004071030072953153,-0.0016623158986814673,-0.004071030072953292
PC20,-0.03740392150086384,-0.01519432700056042,0.018536924218628736,-0.022396417312883,-0.13639237507411758,0.1602117678890532,0.20321650723262769,-0.056899884160562075,-0.24907890764676077,0.9111085437883356,-0.0244116669724813,0.014899766538487017,-0.04599309285437509,-0.030646385604220373,-0.005967964597491792,-0.022762852766139003,-0.031229944253153577,0.011392174457610399,0.06273747447193227,0.047600128490383066,-0.0626128755869137,-0.025644866416123145,0.003083846369947966,-0.0095250687468283,-0.005405255337133265,0.00952506874682788,0.00540525533713322
