,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
958,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.5,2.0,1.0,3.2857142857142856,4.0,1.3469387755102038,4.6,0.24,5.0,1,0,0,1,0,0
959,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,1.6,0.24,2.5,2.5,0.75,2.7142857142857144,3.0,0.489795918367347,4.6,0.24,1.0,0,1,0,1,0,0
960,1,0.0,15.0,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0,2.8,0.5599999999999999,2.625,2.5,0.984375,2.857142857142857,3.0,0.6938775510204082,4.6,0.24,1.0,0,1,0,1,0,0
961,1,1.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.6,0.24,1.75,2.0,0.4375,3.142857142857143,4.0,1.2653061224489797,4.0,0.8,2.0,1,0,0,1,0,0
962,1,0.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.5,2.5,1.25,3.5714285714285716,4.0,0.2448979591836734,4.0,0.4,3.0,1,0,0,0,1,0
963,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.625,3.0,1.234375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
964,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.8,2.0,2.0,0.5,2.857142857142857,3.0,1.5510204081632657,4.4,0.64,1.0,1,0,0,1,0,0
965,1,0.0,15.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.0,0.4,2.25,2.0,0.4375,3.5714285714285716,4.0,0.5306122448979592,4.6,0.24,1.0,0,1,0,1,0,0
966,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,2.375,2.0,0.234375,3.7142857142857144,4.0,0.2040816326530612,5.0,0.0,1.0,0,1,0,1,0,0
967,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,1.0,1.0,0,3.0,0.4,2.375,2.0,1.234375,3.857142857142857,4.0,0.1224489795918367,4.4,0.6399999999999999,1.0,0,1,0,1,0,0
968,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.25,2.0,0.1875,2.7142857142857144,3.0,0.489795918367347,3.8,0.1599999999999999,2.0,1,0,0,1,0,0
969,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,2.625,2.5,0.484375,3.7142857142857144,4.0,0.2040816326530612,4.4,0.24,3.0,1,0,0,1,0,0
970,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0,1.625,2.0,0.234375,3.0,3.0,0.5714285714285714,3.8,0.5599999999999999,5.0,1,0,0,1,0,0
971,1,0.0,14.0,0.0,3,2,1.0,0.0,0.0,0.0,1.0,0,3.0,0.4,2.3439612015018776,2.0,0.2023203509627961,3.5714285714285716,4.0,0.2448979591836734,3.813563563563563,0.1661613064515967,2.0,1,0,0,0,0,1
972,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.144218710810133,2.0,0.3571558342138914,3.857142857142857,4.0,0.1224489795918367,4.2,0.1599999999999999,1.0,1,0,0,1,0,0
973,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.25,2.0,0.9375,4.0,4.0,0.0,2.2,0.5599999999999999,5.0,1,0,0,1,0,0
974,1,0.0,14.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.875,3.0,0.359375,3.5714285714285716,4.0,0.5306122448979592,4.0,0.8,2.0,0,1,0,0,1,0
975,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.625,2.5,0.484375,3.0,3.0,0.8571428571428571,3.6,2.24,1.0,1,0,0,1,0,0
