outcome,fold_id,model_label,selected_threshold,target_recall,threshold_status,n_components,target_n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,tune_class_weight_positive,epochs_ran,tune_epochs_ran,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support,positive_class_weight,tune_positive_class_weight
victimization,18,pruned_decision_tree_screening_threshold_fold_internal,0.306,0.85,not_applicable,18,18,0.9502120256804306,3014,753,0.4940278699402787,0.4940239043824701,317,208,173,55,0.8521505376344086,0.4540682414698163,0.6038095238095238,0.7587719298245614,0.6531093895521125,0.7068004459308808,0.650730411686587,0.7130993706431856,0.6801384669060804,372,381,753,0.0017484017358490715,,,,,,,,,,,,,,,,,,,,,,
victimization,19,pruned_decision_tree_screening_threshold_fold_internal,0.357,0.85,not_applicable,18,18,0.9505371904198827,3014,753,0.4940278699402787,0.4940239043824701,307,212,169,65,0.8252688172043011,0.4435695538057743,0.5915221579961464,0.7222222222222222,0.6344191855050377,0.6891133557800224,0.6321381142098274,0.6966175599017865,0.6695154715564606,372,381,753,0.0029887807917982874,,,,,,,,,,,,,,,,,,,,,,
victimization,20,pruned_decision_tree_screening_threshold_fold_internal,0.21,0.85,not_applicable,18,18,0.9500484757450265,3014,753,0.4940278699402787,0.4940239043824701,350,310,71,22,0.9408602150537635,0.18635170603674542,0.5303030303030303,0.7634408602150538,0.5636059605452545,0.6782945736434108,0.5590969455511288,0.6781954675020461,0.6288237011674708,372,381,753,0.0018561741290151403,,,,,,,,,,,,,,,,,,,,,,
victimization,21,pruned_decision_tree_screening_threshold_fold_internal,0.291,0.85,not_applicable,18,18,0.9506358692884502,3013,754,0.49419183538001993,0.493368700265252,314,251,131,58,0.8440860215053764,0.34293193717277487,0.5557522123893806,0.6931216931216931,0.5935089793390756,0.6702241195304164,0.5901856763925729,0.6952302538985531,0.6749893611782226,372,382,754,0.0027127423022814856,,,,,,,,,,,,,,,,,,,,,,
victimization,22,pruned_decision_tree_screening_threshold_fold_internal,0.28300000000000003,0.85,not_applicable,18,18,0.9510684484800797,3013,754,0.4938599402588782,0.4946949602122016,329,265,116,44,0.8820375335120644,0.30446194225721784,0.5538720538720538,0.725,0.5932497378846411,0.6804550155118924,0.5901856763925729,0.6595842744857965,0.6416862991642878,373,381,754,0.002501228002775946,,,,,,,,,,,,,,,,,,,,,,
victimization,23,pruned_decision_tree_screening_threshold_fold_internal,0.401,0.85,not_applicable,18,18,0.9501711356653691,3014,753,0.4940278699402787,0.4940239043824701,234,141,240,138,0.6290322580645161,0.6299212598425197,0.624,0.6349206349206349,0.629476758953518,0.6265060240963856,0.6294820717131474,0.7017152089859736,0.6748479652904105,372,381,753,0.0037667256691551678,,,,,,,,,,,,,,,,,,,,,,
victimization,24,pruned_decision_tree_screening_threshold_fold_internal,0.34400000000000003,0.85,not_applicable,18,18,0.9502603757525141,3014,753,0.4940278699402787,0.4940239043824701,277,194,187,95,0.7446236559139785,0.49081364829396323,0.5881104033970276,0.6631205673758865,0.6177186521039708,0.6571767497034401,0.6162018592297477,0.6802521660598877,0.6531922604970509,372,381,753,0.0019093606958209153,,,,,,,,,,,,,,,,,,,,,,
victimization,25,pruned_decision_tree_screening_threshold_fold_internal,0.38,0.85,not_applicable,18,18,0.9502234438602528,3014,753,0.4940278699402787,0.4940239043824701,277,211,170,95,0.7446236559139785,0.4461942257217848,0.5676229508196722,0.6415094339622641,0.5954089408178816,0.6441860465116279,0.5936254980079682,0.6493346597804307,0.62864099881963,372,381,753,0.0021687856320658947,,,,,,,,,,,,,,,,,,,,,,
perpetration,1,compact_dnn_screening_threshold_fold_internal,0.489,0.9,target_met,22,22,0.9909350771275617,3013,754,0.23498174576833722,0.23474801061007958,120,189,388,57,0.6779661016949152,0.6724436741767764,0.3883495145631068,0.8719101123595505,0.6752048879358459,0.49382716049382713,0.6737400530503979,0.7204907518922147,0.446575048775368,177,577,754,,3.255649717514124,3.2579505300353353,25.0,17.0,128.0,370.0,91.0,14.0,0.9014084507042254,0.19739696312364424,0.2570281124497992,0.8666666666666667,0.5494027069139348,0.39999999999999997,0.36318407960199006,0.6215361583819621,0.3572803952480068,142.0,461.0,603.0,,
perpetration,2,compact_dnn_screening_threshold_fold_internal,0.498,0.9,target_met,22,22,0.9907996773388421,3013,754,0.23498174576833722,0.23474801061007958,109,190,387,68,0.615819209039548,0.6707105719237435,0.36454849498327757,0.8505494505494505,0.6432648904816458,0.4579831932773109,0.6578249336870027,0.7080261238237915,0.417096224523396,177,577,754,,3.255649717514124,3.2579505300353353,24.0,16.0,128.0,397.0,64.0,14.0,0.9014084507042254,0.13882863340563992,0.2438095238095238,0.8205128205128205,0.5201185420549327,0.38380809595202403,0.31840796019900497,0.5933060401454279,0.3115687159553918,142.0,461.0,603.0,,
