outcome,fold_id,ccp_alpha,selected_threshold,threshold_status,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support
victimization,2,0.000748294535480695,0.001,target_not_met_nonzero_specificity,235.0,220.0,85.0,63.0,0.7885906040268457,0.2786885245901639,0.5164835164835165,0.5743243243243243,0.5336395643085048,0.6241699867197876,0.5306799336650083,0.5927549785454945,0.5609720895418961,298.0,305.0,603.0
victimization,2,0.0007561756137346794,0.001,target_not_met_nonzero_specificity,236.0,220.0,85.0,62.0,0.7919463087248322,0.2786885245901639,0.5175438596491229,0.5782312925170068,0.5353174166574981,0.6259946949602122,0.5323383084577115,0.5958246231708659,0.5631554029333556,298.0,305.0,603.0
victimization,2,0.000763514329869207,0.001,target_not_met_nonzero_specificity,241.0,228.0,77.0,57.0,0.8087248322147651,0.25245901639344265,0.5138592750533049,0.5746268656716418,0.5305919243041038,0.6284224250325945,0.527363184079602,0.5967653207173506,0.5661230314375263,298.0,305.0,603.0
victimization,2,0.0007751198095104137,0.001,target_not_met_nonzero_specificity,242.0,230.0,75.0,56.0,0.8120805369127517,0.2459016393442623,0.5127118644067796,0.5725190839694656,0.528991088128507,0.6285714285714286,0.5257048092868989,0.5953515238200022,0.5620268183964127,298.0,305.0,603.0
victimization,2,0.0007883482530082152,0.001,target_not_met_nonzero_specificity,244.0,235.0,70.0,54.0,0.8187919463087249,0.22950819672131148,0.5093945720250522,0.5645161290322581,0.5241500715150181,0.6280566280566281,0.5207296849087893,0.5948234129167125,0.5620704276494877,298.0,305.0,603.0
victimization,2,0.0007981476793328128,0.001,target_not_met_nonzero_specificity,249.0,253.0,52.0,49.0,0.8355704697986577,0.17049180327868851,0.4960159362549801,0.5148514851485149,0.503031136538673,0.6224999999999999,0.49917081260364843,0.5926889646825833,0.5629823103828363,298.0,305.0,603.0
victimization,2,0.0008002371072910495,0.001,target_not_met_nonzero_specificity,253.0,261.0,44.0,45.0,0.8489932885906041,0.14426229508196722,0.49221789883268485,0.4943820224719101,0.49662779183628564,0.623152709359606,0.4925373134328358,0.5912146550775663,0.5602768221761578,298.0,305.0,603.0
victimization,2,0.0008297508228676145,0.035,target_met,255.0,263.0,42.0,43.0,0.8557046979865772,0.1377049180327869,0.4922779922779923,0.49411764705882355,0.4967048080096821,0.625,0.4925373134328358,0.5996809329959292,0.566928583156071,298.0,305.0,603.0
victimization,2,0.0008466216616868401,0.035,target_met,255.0,265.0,40.0,43.0,0.8557046979865772,0.13114754098360656,0.49038461538461536,0.4819277108433735,0.4934261194850919,0.6234718826405868,0.4892205638474295,0.6007206513367809,0.5669728910015328,298.0,305.0,603.0
victimization,2,0.0009153706940591852,0.038,target_met,255.0,255.0,50.0,43.0,0.8557046979865772,0.16393442622950818,0.5,0.5376344086021505,0.5098195621080427,0.6311881188118812,0.5058043117744611,0.6064033447023875,0.573098463175629,298.0,305.0,603.0
victimization,2,0.0009393479852870032,0.038,target_met,255.0,255.0,50.0,43.0,0.8557046979865772,0.16393442622950818,0.5,0.5376344086021505,0.5098195621080427,0.6311881188118812,0.5058043117744611,0.6076080977005172,0.5746574279923901,298.0,305.0,603.0
victimization,2,0.0009510568199646196,0.038,target_met,255.0,255.0,50.0,43.0,0.8557046979865772,0.16393442622950818,0.5,0.5376344086021505,0.5098195621080427,0.6311881188118812,0.5058043117744611,0.6098580701947408,0.5791083949533763,298.0,305.0,603.0
victimization,2,0.0009768954350148527,0.043000000000000003,target_met,255.0,254.0,51.0,43.0,0.8557046979865772,0.16721311475409836,0.5009823182711198,0.5425531914893617,0.5114589063703378,0.6319702602230484,0.5074626865671642,0.6118494883925625,0.5800717989851729,298.0,305.0,603.0
victimization,2,0.0010354886555596946,0.047,target_met,255.0,254.0,51.0,43.0,0.8557046979865772,0.16721311475409836,0.5009823182711198,0.5425531914893617,0.5114589063703378,0.6319702602230484,0.5074626865671642,0.6127956870942899,0.5775621277254169,298.0,305.0,603.0
victimization,2,0.0010512301936208095,0.047,target_met,255.0,255.0,50.0,43.0,0.8557046979865772,0.16393442622950818,0.5,0.5376344086021505,0.5098195621080427,0.6311881188118812,0.5058043117744611,0.6179392672461216,0.5843638917451847,298.0,305.0,603.0
victimization,2,0.001070921574121518,0.047,target_met,256.0,256.0,49.0,42.0,0.8590604026845637,0.16065573770491803,0.5,0.5384615384615384,0.5098580701947408,0.6320987654320988,0.5058043117744611,0.6191880294861921,0.5886953004376696,298.0,305.0,603.0
victimization,2,0.0010950529763300626,0.074,target_met,255.0,251.0,54.0,43.0,0.8557046979865772,0.17704918032786884,0.5039525691699605,0.5567010309278351,0.516376939157223,0.6343283582089552,0.5124378109452736,0.6111453405215095,0.5903287869925724,298.0,305.0,603.0
victimization,2,0.0011096672390599543,0.074,target_met,257.0,252.0,53.0,41.0,0.8624161073825504,0.1737704918032787,0.5049115913555993,0.5638297872340425,0.5180932995929145,0.6369268897149939,0.5140961857379768,0.6101111233359006,0.5891388162791892,298.0,305.0,603.0
