idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
1523,1,0.6705924272537231,1.0,0.0
1528,1,0.5224118828773499,4.0,0.0
1540,1,0.6120768189430237,1.0,0.0
1544,1,0.5219501256942749,6.0,1.0
1547,1,0.6572437286376953,5.0,0.0
1548,1,0.5668627619743347,1.0,1.0
1556,0,0.4757940769195556,12.0,11.0
1560,0,0.4808635711669922,1.0,1.0
1563,1,0.5661187171936035,12.0,0.0
1572,0,0.4166598618030548,0.0,0.0
1579,1,0.5100536346435547,0.0,0.0
1582,1,0.5557847023010254,0.0,0.0
1584,1,0.70717853307724,0.0,0.0
1585,1,0.5906144380569458,0.0,0.0
1587,0,0.4845804274082184,0.0,0.0
1588,1,0.7285093069076538,1.0,0.0
1589,1,0.6867699027061462,0.0,0.0
1595,0,0.4138725101947784,1.0,0.0
1598,1,0.6045210957527161,5.0,0.0
1603,1,0.6104391813278198,0.0,0.0
1610,0,0.4632870554924011,1.0,0.0
1612,1,0.5428354740142822,0.0,0.0
1616,0,0.4256519377231598,0.0,0.0
1622,1,0.6420012712478638,3.0,4.0
1625,1,0.5592467188835144,0.0,0.0
1627,1,0.5301682353019714,3.0,3.0
1628,1,0.7771323323249817,0.0,0.0
1631,1,0.6104139089584351,3.0,1.0
1634,1,0.5470395088195801,0.0,0.0
1635,0,0.4258659183979034,0.0,0.0
1642,1,0.564682126045227,0.0,0.0
1644,1,0.5862703919410706,0.0,0.0
1649,1,0.5735586881637573,5.0,0.0
1658,0,0.354733258485794,1.0,0.0
1665,1,0.5325533151626587,0.0,0.0
1676,1,0.5847045183181763,0.0,1.0
1677,0,0.4682607650756836,0.0,0.0
1680,0,0.4688064455986023,1.0,0.0
1681,1,0.7550893425941467,0.0,0.0
1684,1,0.540414035320282,4.0,4.0
1686,1,0.531499981880188,0.0,0.0
1689,0,0.4617331624031067,2.0,0.0
1695,1,0.6839907765388489,0.0,0.0
1702,0,0.4784638583660126,1.0,0.0
1715,1,0.5581973791122437,2.0,1.0
1718,1,0.5164397954940796,0.0,0.0
1720,0,0.4954650104045868,1.0,0.0
1722,1,0.6716398596763611,0.0,0.0
1724,0,0.4106211960315704,0.0,0.0
1728,1,0.5403724312782288,0.0,0.0
1743,0,0.4510618150234222,0.0,1.0
1745,0,0.4002696275711059,0.0,0.0
1746,1,0.5271946787834167,5.0,0.0
1752,0,0.4320974946022033,0.0,0.0
1753,1,0.539191722869873,0.0,0.0
1757,0,0.4547524154186249,13.0,21.0
1762,1,0.6705193519592285,0.0,0.0
1764,1,0.5413560271263123,0.0,0.0
1766,0,0.4659841358661651,5.0,0.0
1768,1,0.6393294334411621,0.0,4.0
1770,0,0.4349131882190704,0.0,0.0
1783,1,0.8045216798782349,1.0,0.0
1788,1,0.6522673964500427,0.0,0.0
1790,1,0.8003811836242676,3.0,0.0
1791,1,0.5799921154975891,3.0,1.0
1797,1,0.5450515747070312,6.0,2.0
1802,0,0.4912694096565246,0.0,0.0
1811,0,0.458870530128479,7.0,0.0
1813,0,0.4456033408641815,4.0,1.0
1819,1,0.7920786738395691,0.0,1.0
1820,1,0.6441994309425354,2.0,0.0
1836,1,0.6969117522239685,0.0,0.0
1842,1,0.7736390233039856,7.0,0.0
1847,1,0.5738217234611511,0.0,0.0
1848,1,0.5673355460166931,19.0,3.0
1849,1,0.6607856154441833,3.0,1.0
1859,1,0.5695870518684387,0.0,0.0
1861,0,0.4237388968467712,0.0,0.0
1863,1,0.5964243412017822,1.0,0.0
1879,1,0.6217793226242065,0.0,0.0
1892,0,0.4832470118999481,0.0,0.0
1893,0,0.4619030654430389,0.0,0.0
1896,1,0.5271605849266052,0.0,0.0
1899,1,0.54049152135849,5.0,0.0
1902,0,0.4031132161617279,0.0,0.0
1903,1,0.6643934845924377,0.0,0.0
1907,0,0.4543882310390472,6.0,0.0
1909,0,0.4292228817939758,7.0,1.0
1910,1,0.5945526361465454,3.0,0.0
1911,0,0.4873436689376831,0.0,0.0
1921,1,0.5184503197669983,0.0,0.0
1925,1,0.5294530987739563,5.0,0.0
1926,1,0.5201700925827026,0.0,0.0
1929,1,0.5918251872062683,0.0,0.0
1933,1,0.5632491707801819,0.0,0.0
1934,1,0.5619915723800659,2.0,0.0
1939,1,0.6295868158340454,1.0,0.0
1942,1,0.6546463966369629,2.0,0.0
1951,1,0.5099837779998779,1.0,1.0
1957,1,0.6854208707809448,3.0,2.0
1958,1,0.5879719853401184,0.0,0.0
1959,1,0.6940643787384033,4.0,0.0
1962,1,0.5951135158538818,0.0,0.0
1963,0,0.4951230883598327,0.0,0.0
1965,1,0.6759305000305176,3.0,0.0
1972,1,0.6980258822441101,5.0,0.0
