idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
1868,1,0.7207072990962324,0.0,1.0
1869,1,0.6538210927287237,0.0,0.0
1871,0,0.391117749205537,0.0,0.0
1873,1,0.7419100378616856,0.0,0.0
1877,0,0.4936840849201198,1.0,0.0
1878,0,0.3679339257024085,0.0,0.0
1879,1,0.6549823713135413,0.0,0.0
1881,0,0.3340029321704197,0.0,0.0
1886,1,0.7829644906162776,1.0,0.0
1894,0,0.3515655819205291,0.0,0.0
1896,0,0.4926553411136384,0.0,0.0
1903,1,0.6759671416836913,0.0,0.0
1904,1,0.5884833169414071,4.0,1.0
1910,1,0.6175337534676754,3.0,0.0
1917,1,0.7285667054830927,2.0,0.0
1927,1,0.6816990320545521,0.0,0.0
1928,0,0.2877447945693888,0.0,0.0
1929,1,0.6599925526484341,0.0,0.0
1931,1,0.9214397417558956,1.0,2.0
1932,0,0.3190340989112377,0.0,0.0
1933,1,0.5790558442415432,0.0,0.0
1934,1,0.5348536326712118,2.0,0.0
1935,1,0.787615771161546,0.0,0.0
1938,0,0.153211299883145,9.0,0.0
1944,0,0.3883615701570405,0.0,0.0
1948,0,0.177244147439168,1.0,0.0
1953,0,0.4108713053631419,0.0,0.0
1957,1,0.6582157203685188,3.0,2.0
1964,0,0.1907065240939459,0.0,0.0
1967,0,0.1770081422435463,0.0,0.0
1973,0,0.2229393088061857,0.0,1.0
1989,1,0.6274952429860398,0.0,0.0
1997,1,0.5610343962582751,1.0,0.0
2004,1,0.659342077489862,0.0,0.0
2005,1,0.7250532307036869,1.0,0.0
2007,1,0.5610908687499372,0.0,0.0
2008,1,0.8416790024854505,0.0,0.0
2009,0,0.4014794630922367,2.0,3.0
2010,1,0.6060540327031261,2.0,0.0
2012,1,0.612005916004505,0.0,0.0
2016,1,0.6596206955704585,1.0,1.0
2018,1,0.6126830813191898,0.0,0.0
2023,0,0.3942592794224333,1.0,0.0
2025,0,0.3482050172719929,0.0,0.0
2030,1,0.6459605545124846,0.0,0.0
2038,1,0.8480778276131312,0.0,1.0
2039,1,0.6264587350369186,0.0,0.0
2041,0,0.3745682790097816,1.0,1.0
2042,1,0.6497583757825133,1.0,0.0
2047,0,0.2304336948610932,1.0,2.0
2051,0,0.4398346965415375,1.0,1.0
2057,1,0.6926781767063311,0.0,0.0
2058,0,0.4074351116000831,4.0,3.0
2061,1,0.7465183205518192,0.0,0.0
2062,0,0.3221484617356213,1.0,1.0
2063,1,0.8505426770445472,1.0,0.0
2065,0,0.3756851744831516,0.0,1.0
2066,1,0.6826796681182457,1.0,1.0
2069,0,0.364805869408741,0.0,0.0
2071,0,0.4725577257302519,0.0,0.0
2072,0,0.4675324040257733,2.0,2.0
2078,0,0.1770721591525233,6.0,3.0
2081,1,0.7376363508104656,0.0,0.0
2082,0,0.3128714222861368,1.0,0.0
2084,1,0.5836465122091562,2.0,0.0
2085,0,0.3429517906886148,0.0,0.0
2090,0,0.4227590775002019,0.0,0.0
2091,0,0.1498601010308537,0.0,0.0
2093,0,0.2671837227147131,8.0,1.0
2094,1,0.7709107483917551,0.0,0.0
2103,0,0.2639145615412111,0.0,0.0
2108,0,0.4982556942136528,0.0,1.0
2111,1,0.8289413305333274,0.0,0.0
2122,0,0.3899859139499111,0.0,0.0
2123,0,0.3448958129149554,0.0,0.0
2131,1,0.8685213559811229,0.0,0.0
2144,1,0.6694777786091124,7.0,4.0
2146,0,0.4000968018359922,0.0,0.0
2152,0,0.2964225245588738,0.0,1.0
2153,0,0.3643522522050597,3.0,1.0
2154,0,0.3221310226673295,1.0,0.0
2159,0,0.3061049754699383,6.0,0.0
2166,0,0.4218409518101205,3.0,0.0
2171,0,0.4840788573912198,0.0,0.0
2180,1,0.623587943160887,0.0,0.0
2182,1,0.5462728801081965,6.0,2.0
2187,1,0.850346525165911,0.0,1.0
2190,0,0.2837264081050474,4.0,2.0
2191,0,0.2968037977605886,0.0,0.0
2198,0,0.4106694649913384,3.0,1.0
2200,0,0.4180482392119391,8.0,1.0
2204,0,0.4404338383003409,4.0,0.0
2207,0,0.2743923706045711,0.0,0.0
2210,1,0.7526784379293147,1.0,1.0
2212,0,0.4725955859859456,0.0,2.0
2216,0,0.3916219098185173,0.0,1.0
2221,1,0.8251810224479414,0.0,0.0
2225,0,0.4994597363682874,2.0,1.0
2228,0,0.3859747717497654,3.0,0.0
2230,1,0.9037682852747794,3.0,1.0
2232,1,0.7544778731928109,0.0,0.0
2233,1,0.7975146590996715,0.0,0.0
2236,0,0.4781508029023346,1.0,1.0
2244,1,0.548385970436972,0.0,0.0
2253,1,0.5532233548794432,0.0,0.0
2259,1,0.7725728112386396,0.0,0.0
2261,1,0.5162242037730271,3.0,3.0
2262,1,0.5593734703849398,1.0,1.0
