umap_1,umap_2,umap_3,cluster
16.658834,5.9820876,4.6993546,3
16.52813,5.7862954,5.1592345,3
14.239503,3.672444,2.5871832,3
17.271051,6.183154,4.5484686,3
25.794758,7.0046253,-15.221076,4
14.240246,3.6714406,2.5854843,3
16.857916,6.117236,4.998593,3
16.65039,6.279825,4.211612,3
10.0801325,-6.15591,-6.5787363,1
4.3285537,-4.1252985,18.681992,8
12.591357,15.000824,-9.152245,6
17.266008,6.10022,4.6006436,3
-8.216792,4.5913677,3.6350217,0
-8.211304,4.5916023,3.6607597,0
16.270256,6.4049826,3.7406344,3
12.599951,14.996087,-9.159148,6
17.511936,6.1293635,4.8628383,3
18.127184,0.038234003,22.790922,7
12.585106,15.004269,-9.142818,6
19.07847,0.004505078,24.126392,7
16.559254,5.459813,6.656199,3
-8.214362,4.607082,3.6324701,0
-8.219204,4.572182,3.6591053,0
17.79832,6.309581,4.7249665,3
-8.218275,4.585978,3.6441288,0
19.081917,0.008381532,24.123692,7
15.185554,7.8679094,5.5100718,3
-8.216902,4.589434,3.644613,0
-8.220002,4.573884,3.652959,0
-8.216515,4.5730286,3.6534877,0
18.966932,6.649456,4.5280614,3
-8.216195,4.567567,3.6575918,0
-8.214722,4.570901,3.6585255,0
-8.220432,4.534095,3.6795108,0
18.956045,6.638499,4.5378094,3
16.408428,6.3363433,4.0320306,3
18.185286,6.426818,4.6827626,3
14.885932,7.2573647,5.720345,3
12.584271,15.005246,-9.1414,6
-8.219722,4.5438557,3.6811175,0
-8.218337,4.530936,3.67997,0
-8.217412,4.5301676,3.6883328,0
12.584415,15.006099,-9.1405,6
23.137722,-13.768173,0.89366615,2
17.968122,6.2546616,4.8174806,3
25.734562,6.9446836,-15.205583,4
-8.216977,4.521645,3.6867526,0
-8.218743,4.5126247,3.6974068,0
17.195343,5.7338157,4.5771685,3
16.567553,5.76948,5.2105165,3
4.328628,-4.1255565,18.681799,8
17.345123,6.151632,4.9221864,3
-8.21434,4.5113883,3.6952965,0
15.256503,7.1841063,5.3957715,3
15.800728,6.58672,3.13593,3
16.474941,6.556665,3.816978,3
-8.21238,4.501822,3.7080743,0
-8.218773,4.4854164,3.7091143,0
16.293005,6.4079404,3.752341,3
-8.216233,4.4927125,3.7046492,0
-8.227325,4.4522214,3.7302647,0
-8.219016,4.472868,3.7136426,0
19.077913,0.0038120737,24.13002,7
-8.219112,4.470886,3.7157,0
15.980259,18.45774,7.5524144,5
17.02103,6.0981054,4.924416,3
-8.222377,4.457329,3.7275207,0
4.328684,-4.125989,18.681635,8
-8.225856,4.447566,3.728636,0
17.937216,6.243071,4.8151307,3
13.432317,-6.51758,0.737321,1
19.050468,-0.022800727,24.15343,7
18.129965,6.3745446,4.7285805,3
26.043701,7.2571983,-15.35381,4
12.583167,15.005262,-9.140888,6
-8.2172165,4.450395,3.7325659,0
16.523643,5.773387,5.164173,3
23.134855,-13.755361,0.89405733,2
18.194477,6.4954457,4.61232,3
16.396751,6.341385,4.01958,3
18.17475,6.37618,4.734022,3
-8.229241,4.4313145,3.7368443,0
-8.233313,4.4160957,3.7483132,0
18.178076,6.373275,4.7397766,3
