V.SUM.TOTAL,P.SUM.TOTAL,PAÍS,ETNIA.BN,EDAD,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2,INTERSECT,idx_original
0.0,0.0,2,0.0,15.0,1,0,1,0,0,2813
0.0,0.0,1,0.0,14.0,0,1,1,0,0,1625
7.0,0.0,1,1.0,14.0,0,1,1,0,0,3716
1.0,0.0,1,1.0,16.0,1,0,1,0,0,3505
15.0,12.0,1,0.0,17.0,1,0,1,0,1,370
0.0,0.0,1,0.0,16.0,0,1,1,0,0,1568
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2125
0.0,1.0,1,0.0,17.0,1,0,1,0,0,3247
1.0,0.0,1,0.0,15.0,0,1,1,0,0,2234
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1117
1.0,2.0,2,0.0,14.0,1,0,1,0,1,3703
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2220
0.0,0.0,1,0.0,14.0,0,1,1,0,0,3173
1.0,0.0,1,0.0,16.0,0,1,1,0,0,3392
0.0,1.0,1,0.0,16.0,0,1,1,0,0,1498
6.0,1.0,1,1.0,14.0,0,1,1,0,1,3243
8.0,1.0,1,0.0,15.0,0,1,0,1,1,2672
1.0,0.0,1,0.0,14.0,1,0,1,0,0,99
0.0,0.0,1,1.0,15.0,1,0,1,0,0,328
17.0,14.0,1,1.0,15.0,1,0,1,0,1,1447
0.0,0.0,1,0.0,16.0,1,0,1,0,0,205
1.0,0.0,1,0.0,14.0,0,1,1,0,0,3143
3.0,0.0,1,0.0,15.0,1,0,1,0,0,3075
0.0,0.0,1,1.0,14.0,0,1,1,0,0,1717
3.0,0.0,1,0.0,16.0,0,1,1,0,0,555
4.0,2.0,1,0.0,14.0,0,1,1,0,1,955
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2462
6.0,0.0,1,0.0,16.0,0,1,1,0,0,283
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2755
3.0,0.0,1,0.0,16.0,0,1,1,0,0,1562
1.0,16.0,1,0.0,16.0,1,0,1,0,1,242
2.0,2.0,1,0.0,17.0,0,1,1,0,1,3621
1.0,0.0,1,0.0,14.0,0,1,1,0,0,3017
1.0,1.0,2,1.0,14.0,0,1,1,0,1,354
0.0,0.0,1,1.0,16.0,1,0,1,0,0,3412
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1152
4.0,0.0,1,0.0,15.0,1,0,1,0,0,2868
1.0,0.0,1,1.0,15.0,0,1,1,0,0,2021
2.0,0.0,2,1.0,15.0,0,1,0,1,0,3220
0.0,1.0,1,0.0,15.0,1,0,1,0,0,1704
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2048
5.0,0.0,1,1.0,14.0,1,0,1,0,0,1849
0.0,0.0,2,1.0,15.0,0,1,1,0,0,3494
1.0,0.0,1,0.0,15.0,0,1,0,1,0,1974
6.0,2.0,1,0.0,17.0,0,1,1,0,1,1614
1.0,0.0,1,0.0,17.0,1,0,1,0,0,2513
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1238
0.0,0.0,1,0.0,16.0,0,1,1,0,0,1499
1.0,1.0,1,0.0,14.0,1,0,0,1,1,1196
3.0,1.0,1,0.0,15.0,1,0,1,0,1,1525
0.0,0.0,1,0.0,14.0,1,0,1,0,0,1830
1.0,0.0,1,1.0,16.0,1,0,1,0,0,2915
0.0,1.0,1,0.0,17.0,1,0,1,0,0,652
1.0,0.0,1,1.0,15.0,0,1,1,0,0,1214
2.0,1.0,2,1.0,15.0,0,1,1,0,1,1440
1.0,0.0,1,0.0,15.0,1,0,1,0,0,2863
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1114
0.0,0.0,1,0.0,16.0,0,1,1,0,0,3415
0.0,1.0,1,0.0,17.0,1,0,1,0,0,1940
1.0,2.0,1,0.0,15.0,0,1,1,0,1,262
0.0,0.0,2,1.0,15.0,1,0,1,0,0,2678
11.0,8.0,1,0.0,16.0,1,0,1,0,1,3515
9.0,0.0,1,0.0,16.0,0,1,0,1,0,744
0.0,0.0,1,0.0,16.0,1,0,1,0,0,285
0.0,1.0,1,1.0,15.0,1,0,1,0,0,2044
0.0,0.0,1,0.0,14.0,0,1,1,0,0,425
2.0,0.0,1,0.0,17.0,1,0,1,0,0,562
0.0,0.0,1,0.0,17.0,0,1,0,1,0,2361
0.0,0.0,1,1.0,17.0,1,0,1,0,0,2945
3.0,0.0,1,0.0,17.0,0,1,1,0,0,3422
3.0,1.0,1,1.0,16.0,1,0,1,0,1,2867
3.0,4.0,1,0.0,15.0,0,1,0,1,1,2650
6.0,0.0,1,0.0,14.0,0,1,1,0,0,94
1.0,0.0,1,0.0,15.0,0,1,1,0,0,1656
1.0,0.0,1,0.0,15.0,1,0,0,1,0,426
0.0,0.0,2,1.0,16.0,1,0,1,0,0,3452
1.0,0.0,1,0.0,15.0,0,1,1,0,0,1872
0.0,0.0,1,0.0,14.0,0,1,1,0,0,2725
0.0,0.0,2,1.0,16.0,0,1,1,0,0,2704
0.0,0.0,1,0.0,15.0,1,0,1,0,0,690
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2642
0.0,1.0,1,0.0,14.0,0,1,1,0,0,1911
6.0,0.0,1,0.0,16.0,1,0,0,1,0,738
0.0,0.0,1,0.0,16.0,1,0,1,0,0,629
0.0,0.0,1,0.0,16.0,1,0,1,0,0,39
11.0,0.0,1,1.0,14.0,1,0,1,0,0,1380
1.0,0.0,1,0.0,16.0,1,0,1,0,0,1623
1.0,0.0,2,1.0,15.0,1,0,1,0,0,381
0.0,0.0,1,0.0,14.0,0,1,1,0,0,1241
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2336
1.0,2.0,1,0.0,17.0,1,0,1,0,1,656
0.0,0.0,1,0.0,17.0,0,1,1,0,0,3470
0.0,0.0,1,0.0,14.0,1,0,1,0,0,3586
0.0,0.0,1,0.0,16.0,0,1,1,0,0,2367
4.0,1.0,1,0.0,17.0,1,0,1,0,1,3124
3.0,2.0,1,1.0,14.0,0,1,1,0,1,1292
2.0,0.0,1,0.0,17.0,1,0,1,0,0,1017
0.0,0.0,2,1.0,17.0,1,0,1,0,0,1784
1.0,0.0,1,0.0,15.0,0,1,1,0,0,2333
0.0,0.0,1,0.0,15.0,0,1,1,0,0,3117
0.0,0.0,2,1.0,16.0,1,0,1,0,0,2968
6.0,1.0,1,1.0,16.0,0,1,1,0,1,3531
0.0,0.0,1,0.0,16.0,0,1,1,0,0,1506
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2098
1.0,0.0,1,0.0,15.0,0,1,1,0,0,3026
1.0,0.0,1,0.0,17.0,0,1,1,0,0,2401
0.0,0.0,1,0.0,14.0,0,1,1,0,0,3636
0.0,0.0,1,0.0,17.0,0,1,1,0,0,672
1.0,1.0,1,0.0,17.0,1,0,1,0,1,109
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1043
0.0,0.0,1,0.0,14.0,1,0,1,0,0,3695
0.0,0.0,1,0.0,16.0,0,1,0,1,0,2904
3.0,0.0,1,1.0,16.0,0,1,1,0,0,750
1.0,0.0,1,0.0,15.0,1,0,1,0,0,2862
0.0,0.0,1,0.0,15.0,1,0,1,0,0,3696
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2376
0.0,0.0,1,0.0,14.0,0,1,1,0,0,860
2.0,2.0,1,1.0,15.0,0,1,1,0,1,2669
2.0,0.0,1,0.0,17.0,0,1,1,0,0,3318
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1976
6.0,1.0,1,0.0,15.0,0,1,0,1,1,3430
3.0,0.0,1,0.0,14.0,0,1,0,1,0,1843
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2076
0.0,0.0,1,0.0,14.0,1,0,1,0,0,3152
0.0,0.0,1,0.0,14.0,0,1,1,0,0,1209
1.0,0.0,1,0.0,17.0,0,1,1,0,0,2400
1.0,0.0,1,0.0,17.0,0,1,1,0,0,2558
0.0,0.0,1,0.0,15.0,1,0,1,0,0,3238
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1058
1.0,0.0,2,1.0,17.0,1,0,1,0,0,3399
2.0,0.0,1,0.0,15.0,0,1,1,0,0,1823
1.0,5.0,2,1.0,14.0,0,1,1,0,1,3740
1.0,0.0,1,0.0,17.0,1,0,1,0,0,2550
4.0,1.0,1,0.0,16.0,1,0,0,1,1,696
2.0,1.0,1,0.0,16.0,1,0,1,0,1,1016
0.0,0.0,1,0.0,17.0,0,1,1,0,0,1606
1.0,1.0,1,0.0,14.0,1,0,1,0,1,3739
1.0,1.0,1,1.0,14.0,0,1,1,0,1,1307
0.0,0.0,1,0.0,16.0,1,0,1,0,0,1587
7.0,0.0,2,1.0,17.0,0,1,1,0,0,1269
10.0,1.0,1,0.0,14.0,1,0,1,0,1,2733
0.0,0.0,1,1.0,15.0,1,0,1,0,0,992
2.0,0.0,1,0.0,17.0,0,1,0,1,0,800
2.0,2.0,1,1.0,15.0,1,0,1,0,1,2762
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2460
0.0,0.0,1,0.0,14.0,0,1,0,1,0,360
0.0,0.0,1,0.0,15.0,0,1,0,1,0,2306
0.0,0.0,1,0.0,14.0,1,0,1,0,0,1261
2.0,0.0,1,0.0,16.0,0,1,1,0,0,2369
3.0,0.0,1,0.0,15.0,0,1,0,1,0,2097
0.0,0.0,2,0.0,14.0,1,0,1,0,0,3711
7.0,0.0,1,0.0,15.0,0,1,1,0,0,2213
0.0,0.0,1,0.0,17.0,1,0,1,0,0,2380
1.0,0.0,1,0.0,16.0,0,1,1,0,0,1550
0.0,0.0,1,0.0,15.0,0,1,1,0,0,986
0.0,0.0,1,0.0,17.0,0,1,1,0,0,624
2.0,0.0,1,0.0,14.0,1,0,1,0,0,149
1.0,0.0,1,1.0,17.0,0,1,1,0,0,1379
0.0,0.0,1,1.0,15.0,0,1,1,0,0,3340
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2927
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2795
1.0,0.0,1,0.0,15.0,1,0,1,0,0,1691
1.0,1.0,1,0.0,14.0,1,0,1,0,1,91
0.0,0.0,1,0.0,15.0,0,1,1,0,0,661
0.0,0.0,1,0.0,17.0,0,1,1,0,0,3286
1.0,0.0,1,0.0,17.0,1,0,1,0,0,718
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1765
1.0,2.0,1,0.0,15.0,0,1,1,0,1,1136
8.0,3.0,1,0.0,16.0,1,0,1,0,1,3663
0.0,0.0,1,0.0,14.0,1,0,1,0,0,2826
3.0,0.0,1,0.0,15.0,0,1,0,1,0,48
4.0,0.0,1,1.0,15.0,1,0,0,1,0,1297
0.0,0.0,1,0.0,15.0,1,0,1,0,0,246
12.0,11.0,1,0.0,14.0,1,0,1,0,1,1457
3.0,2.0,1,0.0,16.0,1,0,1,0,1,1107
1.0,0.0,1,0.0,15.0,1,0,1,0,0,3522
2.0,0.0,1,0.0,16.0,1,0,0,1,0,1767
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2129
0.0,0.0,1,0.0,16.0,0,1,1,0,0,760
0.0,2.0,1,0.0,15.0,0,1,1,0,0,3107
0.0,0.0,1,0.0,16.0,0,1,0,1,0,767
0.0,0.0,1,0.0,17.0,0,1,1,0,0,3518
0.0,0.0,1,0.0,16.0,1,0,1,0,0,484
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1127
0.0,0.0,1,1.0,15.0,0,1,1,0,0,2476
0.0,0.0,1,0.0,16.0,0,1,0,1,0,3475
0.0,0.0,1,0.0,15.0,0,1,1,0,0,3552
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1995
2.0,2.0,1,0.0,15.0,0,1,1,0,1,1274
0.0,0.0,1,0.0,16.0,1,0,1,0,0,209
0.0,1.0,1,0.0,16.0,1,0,1,0,0,2612
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1139
6.0,0.0,1,1.0,16.0,0,1,1,0,0,3546
0.0,0.0,1,0.0,17.0,1,0,1,0,0,3281
1.0,0.0,1,0.0,15.0,1,0,1,0,0,2291
0.0,0.0,1,1.0,14.0,0,1,1,0,0,1937
4.0,6.0,1,0.0,16.0,0,1,1,0,1,3087
5.0,0.0,1,0.0,16.0,0,1,1,0,0,3108
0.0,0.0,1,0.0,16.0,0,1,1,0,0,1572
6.0,1.0,1,0.0,15.0,0,1,1,0,1,398
0.0,0.0,1,0.0,17.0,1,0,1,0,0,2096
0.0,0.0,1,0.0,16.0,0,1,1,0,0,2649
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2101
8.0,1.0,1,1.0,16.0,0,1,1,0,1,1966
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1232
6.0,4.0,2,1.0,16.0,0,1,1,0,1,2496
1.0,0.0,1,1.0,15.0,0,1,1,0,0,1266
10.0,3.0,1,0.0,15.0,1,0,1,0,1,374
2.0,1.0,1,1.0,15.0,0,1,1,0,1,1083
0.0,0.0,1,0.0,16.0,1,0,1,0,0,3567
2.0,0.0,1,0.0,14.0,0,1,1,0,0,1883
1.0,0.0,2,1.0,17.0,1,0,0,1,0,1341
7.0,5.0,1,0.0,16.0,0,1,0,1,1,1469
1.0,0.0,1,0.0,15.0,0,1,0,1,0,1050
1.0,0.0,1,0.0,17.0,0,1,1,0,0,1364
1.0,0.0,1,0.0,14.0,1,0,1,0,0,3720
