outcome,feature,domain,total_abs_loading,variance_weighted_abs_loading,max_abs_loading,normalized_variance_weighted_contribution
perpetration,MORAL.VAR,Moral domain,0.5381109373199209,0.017555484533887465,0.097087139679402,0.01366330522242467
perpetration,IMPULS.VAR,Impulsivity,0.5455071988841992,0.015439381684421718,0.1360572857920772,0.01201635785059439
perpetration,AUTOEFIC.VAR,Self-efficacy,0.5785484313260101,0.01530645456973757,0.0933016217685661,0.011912901649385027
perpetration,IMPULS.MEDIAN,Impulsivity,0.535350591719127,0.011361313093622667,0.092769649692319,0.008842426890926817
perpetration,CONVIVEN.4,Household composition,0.4271526631514227,0.011156082905029849,0.141047208546368,0.008682697736075716
perpetration,IMPULS.MEAN,Impulsivity,0.3499067513254762,0.007269142736003484,0.057749588495709,0.005657520629275012
overlap,GENERO.BN0,Sociodemographic indicators,0.7385707259776852,0.11994361769967497,0.4932451332962571,0.0938181822667256
overlap,GENERO.BN1,Sociodemographic indicators,0.7385707259776858,0.11994361769967497,0.4932451332962569,0.0938181822667256
overlap,CONVIVEN_H,Household composition,1.0867786461418272,0.09561430764296126,0.348004810786583,0.07478814391120724
overlap,PORNO.T,Other,0.9978255669281514,0.08291843568126334,0.2116208217491607,0.0648576144459382
overlap,CONVIVEN.2,Household composition,1.1404184750913873,0.08039694240078124,0.2791401541712492,0.06288533846569457
overlap,ETNIA.BN,Sociodemographic indicators,1.1405012656169087,0.07333552798242661,0.2762142008850706,0.05736200110379445
overlap,ORIENTSEX.BN0,Sociodemographic indicators,0.7485502361715487,0.07169183740649471,0.2958493395335323,0.056076329844244835
overlap,ORIENTSEX.BN1,Sociodemographic indicators,0.7485502361715488,0.07169183740649471,0.2958493395335323,0.056076329844244835
overlap,FUGAS.BN,Running away,1.0483820390855931,0.05730024690870705,0.1855395177364427,0.04481943359312253
overlap,EDAD,Sociodemographic indicators,1.0281590103807006,0.05278865059079771,0.1833741115381536,0.04129052748052448
overlap,PAÍS,Sociodemographic indicators,0.8079246703840358,0.042060007078528534,0.1987611744175408,0.03289873597204207
overlap,ABUSOSUBS1,Substance use,0.8112503885978314,0.041413340382952406,0.1861797586156217,0.03239292253173639
overlap,APOYO.MEDIAN,Social support,0.8967144774539688,0.04033777302927758,0.1459281989390951,0.03155162913103318
overlap,CONVIVEN.3,Household composition,0.9171015974953927,0.03917456816793082,0.140727751276675,0.030641786925267638
overlap,APOYO.VAR,Social support,0.87986152547647,0.03623759146748123,0.1229716070206897,0.02834452575639218
overlap,CONVIVEN.1,Household composition,0.7634852551078092,0.03182986954228124,0.187715577949514,0.024896868708104102
overlap,APOYO.MEAN,Social support,0.5759145165980746,0.030512352779157786,0.1230344431054562,0.023866325939820424
overlap,CONVIVEN_0,Household composition,0.6991975817810029,0.02970216475297718,0.2424836332340401,0.023232608453485702
overlap,ABUSOSUBS2,Substance use,0.6896866056828301,0.028866331962814743,0.1220061136848329,0.022578831999549562
overlap,AUTOEFIC.MEAN,Self-efficacy,0.6553092362503412,0.027325703830324906,0.095011424241284,0.021373774709205984
overlap,MORAL.MEAN,Moral domain,0.5949125063240333,0.024349017586678477,0.1364009820189043,0.019045453303589147
overlap,MORAL.VAR,Moral domain,0.5314616392471465,0.01660356966994917,0.1013928629250755,0.012987074722674382
overlap,AUTOEFIC.VAR,Self-efficacy,0.5871650554318805,0.01562028431582401,0.0954484944284813,0.012217962982152266
overlap,IMPULS.VAR,Impulsivity,0.5070200542559402,0.015318576783852901,0.1550305368147688,0.011981971665827429
overlap,IMPULS.MEDIAN,Impulsivity,0.569726601510509,0.012848849824519736,0.0950355017378889,0.010050186561596803
overlap,CONVIVEN.4,Household composition,0.45838395017989303,0.012619549168883937,0.1446245823181049,0.009870830868339458
overlap,IMPULS.MEAN,Impulsivity,0.3715157053742966,0.008024215435431139,0.0582109235044226,0.006276426546960752
