outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component,domain
victimization,PC7,7,ETNIA.BN,-0.0722853399954569,0.0722853399954569,0.0480912599184775,4.809125991847751,68.03361681658147,Sociodemographic indicators
victimization,PC7,7,PAÍS,0.0600412355921154,0.0600412355921154,0.0480912599184775,4.809125991847751,68.03361681658147,Sociodemographic indicators
victimization,PC7,7,AUTOEFIC.MEAN,-0.0500886792855095,0.0500886792855095,0.0480912599184775,4.809125991847751,68.03361681658147,Self-efficacy
victimization,PC8,8,APOYO.MEDIAN,0.1454473888237077,0.1454473888237077,0.0404048365385305,4.040483653853057,72.07410047043453,Social support
victimization,PC8,8,FUGAS.BN,0.1361880394532661,0.1361880394532661,0.0404048365385305,4.040483653853057,72.07410047043453,Running away
victimization,PC8,8,EDAD,-0.1355177999788946,0.1355177999788946,0.0404048365385305,4.040483653853057,72.07410047043453,Sociodemographic indicators
victimization,PC8,8,APOYO.MEAN,0.1214096333304365,0.1214096333304365,0.0404048365385305,4.040483653853057,72.07410047043453,Social support
victimization,PC8,8,APOYO.VAR,-0.1189160606439085,0.1189160606439085,0.0404048365385305,4.040483653853057,72.07410047043453,Social support
victimization,PC8,8,CONVIVEN_0,0.0787038298439998,0.0787038298439998,0.0404048365385305,4.040483653853057,72.07410047043453,Household composition
victimization,PC8,8,AUTOEFIC.MEAN,0.0430531626273497,0.0430531626273497,0.0404048365385305,4.040483653853057,72.07410047043453,Self-efficacy
victimization,PC8,8,PORNO.T,0.0334574886351305,0.0334574886351305,0.0404048365385305,4.040483653853057,72.07410047043453,Other
victimization,PC9,9,CONVIVEN_0,0.241635546286708,0.241635546286708,0.0334028381096086,3.340283810960861,75.4143842813954,Household composition
victimization,PC9,9,CONVIVEN.1,-0.0945774685854645,0.0945774685854645,0.0334028381096086,3.340283810960861,75.4143842813954,Household composition
victimization,PC9,9,FUGAS.BN,-0.0757246265327421,0.0757246265327421,0.0334028381096086,3.340283810960861,75.4143842813954,Running away
victimization,PC9,9,PORNO.T,0.0546587699089896,0.0546587699089896,0.0334028381096086,3.340283810960861,75.4143842813954,Other
victimization,PC9,9,CONVIVEN.2,0.0378332973842618,0.0378332973842618,0.0334028381096086,3.340283810960861,75.4143842813954,Household composition
victimization,PC9,9,APOYO.VAR,0.0322515512722405,0.0322515512722405,0.0334028381096086,3.340283810960861,75.4143842813954,Social support
victimization,PC9,9,ETNIA.BN,-0.0299682277439793,0.0299682277439793,0.0334028381096086,3.340283810960861,75.4143842813954,Sociodemographic indicators
