strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,victim_threshold,perp_threshold
Smart AND grid,942,178,764,64,79,685,114,0.3595505617977528,0.8965968586387435,0.44755244755244755,0.8573216520650814,0.6280737102182481,0.39875389408099693,0.7951167728237792,0.10340314136125654,0.6404494382022472,0.3996067080511836,0.7213291958350492,0.01,0.67
Smart AND grid,942,178,764,60,72,692,118,0.33707865168539325,0.9057591623036649,0.45454545454545453,0.854320987654321,0.6214189069945291,0.38709677419354843,0.7983014861995754,0.09424083769633508,0.6629213483146067,0.3996067080511836,0.7213291958350492,0.01,0.68
Smart AND grid,942,178,764,57,67,697,121,0.3202247191011236,0.912303664921466,0.4596774193548387,0.8520782396088019,0.6162641920112948,0.37748344370860926,0.8004246284501062,0.08769633507853403,0.6797752808988764,0.3996067080511836,0.7213291958350492,0.01,0.69
Smart AND grid,942,178,764,53,55,709,125,0.29775280898876405,0.9280104712041884,0.49074074074074076,0.8501199040767387,0.6128816400964763,0.3706293706293707,0.8089171974522293,0.07198952879581152,0.702247191011236,0.3996067080511836,0.7213291958350492,0.01,0.7
Smart AND grid,942,178,764,50,47,717,128,0.2808988764044944,0.9384816753926701,0.5154639175257731,0.8485207100591716,0.6096902758985823,0.36363636363636365,0.8142250530785563,0.061518324607329845,0.7191011235955056,0.3996067080511836,0.7213291958350492,0.01,0.71
Smart AND grid,942,178,764,48,40,724,130,0.2696629213483146,0.9476439790575916,0.5454545454545454,0.8477751756440282,0.608653450202953,0.3609022556390977,0.8195329087048833,0.05235602094240838,0.7303370786516854,0.3996067080511836,0.7213291958350492,0.01,0.72
Smart AND grid,942,178,764,46,33,731,132,0.25842696629213485,0.9568062827225131,0.5822784810126582,0.847045191193511,0.607616624507324,0.3579766536964981,0.8248407643312102,0.04319371727748691,0.7415730337078652,0.3996067080511836,0.7213291958350492,0.01,0.73
Smart AND grid,942,178,764,42,29,735,136,0.23595505617977527,0.9620418848167539,0.5915492957746479,0.8438576349024111,0.5989984704982646,0.3373493975903614,0.8248407643312102,0.03795811518324607,0.7640449438202247,0.3996067080511836,0.7213291958350492,0.01,0.74
Smart AND grid,942,178,764,36,24,740,142,0.20224719101123595,0.9685863874345549,0.6,0.8390022675736961,0.5854167892228954,0.3025210084033613,0.8237791932059448,0.031413612565445025,0.797752808988764,0.3996067080511836,0.7213291958350492,0.01,0.75
Smart AND grid,942,178,764,27,22,742,151,0.15168539325842698,0.9712041884816754,0.5510204081632653,0.8309070548712206,0.5614447908700512,0.2378854625550661,0.8163481953290871,0.028795811518324606,0.848314606741573,0.3996067080511836,0.7213291958350492,0.01,0.76
