strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,ccp_alpha,depth,n_leaves
victim_tree_candidate,942,465,477,263,193,284,202,0.5655913978494623,0.5953878406708596,0.5767543859649122,0.5843621399176955,0.580489619260161,0.5711183496199783,0.5806794055201698,0.40461215932914046,0.4344086021505376,0.5233119989435492,0.5564279434638534,0.0005663716814159291,26,387
victim_tree_candidate,942,465,477,261,192,285,204,0.5612903225806452,0.5974842767295597,0.5761589403973509,0.5828220858895705,0.5793872996551024,0.5686274509803922,0.5796178343949044,0.4025157232704403,0.43870967741935485,0.5217534240683408,0.5529068325781654,0.0005670370616807507,26,381
victim_tree_candidate,942,465,477,259,191,286,206,0.556989247311828,0.59958071278826,0.5755555555555556,0.5813008130081301,0.578284980050044,0.566120218579235,0.578556263269639,0.40041928721174,0.443010752688172,0.5212381946114415,0.5525393927098127,0.0005697429414243573,26,380
victim_tree_candidate,942,465,477,259,191,286,206,0.556989247311828,0.59958071278826,0.5755555555555556,0.5813008130081301,0.578284980050044,0.566120218579235,0.578556263269639,0.40041928721174,0.443010752688172,0.5247646827098313,0.5542683889001601,0.0005899705014749262,26,373
victim_tree_candidate,942,465,477,258,191,286,207,0.5548387096774193,0.59958071278826,0.5746102449888641,0.5801217038539553,0.5772097112328396,0.5645514223194749,0.5774946921443737,0.40041928721174,0.44516129032258067,0.5250466999431492,0.5551520479700639,0.0005899705014749264,26,371
victim_tree_candidate,942,465,477,258,191,286,207,0.5548387096774193,0.59958071278826,0.5746102449888641,0.5801217038539553,0.5772097112328396,0.5645514223194749,0.5774946921443737,0.40041928721174,0.44516129032258067,0.5252876517493018,0.5556569960100088,0.0005922841112846317,26,369
victim_tree_candidate,942,465,477,258,191,286,207,0.5548387096774193,0.59958071278826,0.5746102449888641,0.5801217038539553,0.5772097112328396,0.5645514223194749,0.5774946921443737,0.40041928721174,0.44516129032258067,0.5254007074586681,0.5558688938482,0.0006001815293850696,26,368
victim_tree_candidate,942,465,477,258,191,286,207,0.5548387096774193,0.59958071278826,0.5746102449888641,0.5801217038539553,0.5772097112328396,0.5645514223194749,0.5774946921443737,0.40041928721174,0.44516129032258067,0.5264033177508539,0.557014043867361,0.0006017699115044247,26,365
victim_tree_candidate,942,465,477,259,192,285,206,0.556989247311828,0.5974842767295597,0.5742793791574279,0.5804480651731161,0.5772367620206938,0.5655021834061135,0.5774946921443737,0.4025157232704403,0.443010752688172,0.5255530173361248,0.5567367732918553,0.0006068268015170671,26,361
victim_tree_candidate,942,465,477,260,192,285,205,0.5591397849462365,0.5974842767295597,0.5752212389380531,0.5816326530612245,0.5783120308378982,0.5670665212649945,0.578556263269639,0.4025157232704403,0.44086021505376344,0.5264657643840995,0.5585108541286266,0.0006109472304162572,26,358
victim_tree_candidate,942,465,477,261,192,285,204,0.5612903225806452,0.5974842767295597,0.5761589403973509,0.5828220858895705,0.5793872996551024,0.5686274509803922,0.5796178343949044,0.4025157232704403,0.43870967741935485,0.5268639454971032,0.5595816144811885,0.0006129563651687545,26,357
victim_tree_candidate,942,465,477,261,192,285,204,0.5612903225806452,0.5974842767295597,0.5761589403973509,0.5828220858895705,0.5793872996551024,0.5686274509803922,0.5796178343949044,0.4025157232704403,0.43870967741935485,0.5270282832780491,0.5596560041477874,0.0006135693215339234,26,355
victim_tree_candidate,942,465,477,261,192,285,204,0.5612903225806452,0.5974842767295597,0.5761589403973509,0.5828220858895705,0.5793872996551024,0.5686274509803922,0.5796178343949044,0.4025157232704403,0.43870967741935485,0.5268625178044742,0.5594350893803115,0.0006144197294639772,26,354
victim_tree_candidate,942,465,477,261,191,286,204,0.5612903225806452,0.59958071278826,0.577433628318584,0.5836734693877551,0.5804355176844526,0.569247546346783,0.5806794055201698,0.40041928721174,0.43870967741935485,0.5279672295195453,0.5605283920560853,0.0006167873424510596,26,352
victim_tree_candidate,942,465,477,258,190,287,207,0.5548387096774193,0.6016771488469602,0.5758928571428571,0.5809716599190283,0.5782579292621898,0.565169769989047,0.578556263269639,0.39832285115303984,0.44516129032258067,0.5283562727575315,0.5623114898221411,0.0006194690265486725,26,345
victim_tree_candidate,942,465,477,261,192,285,204,0.5612903225806452,0.5974842767295597,0.5761589403973509,0.5828220858895705,0.5793872996551024,0.5686274509803922,0.5796178343949044,0.4025157232704403,0.43870967741935485,0.532745974366196,0.566941683009851,0.00062467464862051,26,333
victim_tree_candidate,942,465,477,260,192,285,205,0.5591397849462365,0.5974842767295597,0.5752212389380531,0.5816326530612245,0.5783120308378982,0.5670665212649945,0.578556263269639,0.4025157232704403,0.44086021505376344,0.5335412706854488,0.5689840174928429,0.0006287843502561715,26,331
victim_tree_candidate,942,465,477,260,192,285,205,0.5591397849462365,0.5974842767295597,0.5752212389380531,0.5816326530612245,0.5783120308378982,0.5670665212649945,0.578556263269639,0.4025157232704403,0.44086021505376344,0.5315690968300392,0.5676202069385271,0.0006293018682399211,26,330
victim_tree_candidate,942,465,477,263,192,285,202,0.5655913978494623,0.5974842767295597,0.578021978021978,0.5852156057494866,0.581537837289511,0.5717391304347825,0.5817409766454352,0.4025157232704403,0.4344086021505376,0.5317052005365235,0.569317643876378,0.0006293018682399213,26,327
victim_tree_candidate,942,465,477,263,192,285,202,0.5655913978494623,0.5974842767295597,0.578021978021978,0.5852156057494866,0.581537837289511,0.5717391304347825,0.5817409766454352,0.4025157232704403,0.4344086021505376,0.5316565860768883,0.5692815761592389,0.0006303103648236388,26,326
victim_tree_candidate,942,465,477,262,190,287,203,0.5634408602150538,0.6016771488469602,0.5796460176991151,0.5857142857142857,0.582559004531007,0.5714285714285715,0.5828025477707006,0.39832285115303984,0.43655913978494626,0.533430653934506,0.5713825206825816,0.0006319745788772339,26,324
victim_tree_candidate,942,465,477,262,190,287,203,0.5634408602150538,0.6016771488469602,0.5796460176991151,0.5857142857142857,0.582559004531007,0.5714285714285715,0.5828025477707006,0.39832285115303984,0.43655913978494626,0.532934082466368,0.5713892833795451,0.0006334420121099207,26,322
victim_tree_candidate,942,465,477,263,191,286,202,0.5655913978494623,0.59958071278826,0.579295154185022,0.5860655737704918,0.5825860553188611,0.5723612622415668,0.5828025477707006,0.40041928721174,0.4344086021505376,0.53307608906767,0.5717116386014742,0.0006371681415929201,26,321
victim_tree_candidate,942,465,477,263,191,286,202,0.5655913978494623,0.59958071278826,0.579295154185022,0.5860655737704918,0.5825860553188611,0.5723612622415668,0.5828025477707006,0.40041928721174,0.4344086021505376,0.5335918945879349,0.5731475845900679,0.0006371681415929206,26,320
victim_tree_candidate,942,465,477,262,191,286,203,0.5634408602150538,0.59958071278826,0.5783664459161147,0.5848670756646217,0.5815107865016569,0.570806100217865,0.5817409766454352,0.40041928721174,0.43655913978494626,0.5347228083455887,0.576303509839724,0.0006385563074787438,24,318
victim_tree_candidate,942,465,477,262,191,286,203,0.5634408602150538,0.59958071278826,0.5783664459161147,0.5848670756646217,0.5815107865016569,0.570806100217865,0.5817409766454352,0.40041928721174,0.43655913978494626,0.5347568000810028,0.5763891706679289,0.0006423065943477024,24,317
victim_tree_candidate,942,465,477,261,191,286,204,0.5612903225806452,0.59958071278826,0.577433628318584,0.5836734693877551,0.5804355176844526,0.569247546346783,0.5806794055201698,0.40041928721174,0.43870967741935485,0.533448467889389,0.5746038186695521,0.0006425089976357674,24,315
victim_tree_candidate,942,465,477,261,191,286,204,0.5612903225806452,0.59958071278826,0.577433628318584,0.5836734693877551,0.5804355176844526,0.569247546346783,0.5806794055201698,0.40041928721174,0.43870967741935485,0.536690233249933,0.5773201686165776,0.0006436041834271924,24,309
victim_tree_candidate,942,465,477,262,191,286,203,0.5634408602150538,0.59958071278826,0.5783664459161147,0.5848670756646217,0.5815107865016569,0.570806100217865,0.5817409766454352,0.40041928721174,0.43655913978494626,0.5372743043683863,0.5786140979689366,0.0006461281214014174,24,308
victim_tree_candidate,942,465,477,262,190,287,203,0.5634408602150538,0.6016771488469602,0.5796460176991151,0.5857142857142857,0.582559004531007,0.5714285714285715,0.5828025477707006,0.39832285115303984,0.43655913978494626,0.5387239860593308,0.5801199251594868,0.000647876849854986,24,307
