[Iter 87] UMAP-Gower: n_n=15, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=100 (silhouette=0.628)
[Iter 88] UMAP-Gower: n_n=15, min_d=1, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.805)
[Iter 89] UMAP-Gower: n_n=15, min_d=1, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.814)
[Iter 90] UMAP-Gower: n_n=15, min_d=1, spread=5 -> DBSCAN eps=2, min_s=15 (silhouette=0.831)
[Iter 91] UMAP-Gower: n_n=15, min_d=1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.695)
[Iter 92] UMAP-Gower: n_n=15, min_d=2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.650)
[Iter 93] UMAP-Gower: n_n=15, min_d=2, spread=3 -> DBSCAN eps=2, min_s=3 (silhouette=0.775)
[Iter 94] UMAP-Gower: n_n=15, min_d=2, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.780)
[Iter 95] UMAP-Gower: n_n=15, min_d=2, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.654)
[Iter 96] UMAP-Gower: n_n=15, min_d=10, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.562)
[Iter 97] UMAP-Gower: n_n=50, min_d=0.01, spread=0.3 -> DBSCAN eps=1, min_s=3 (silhouette=0.902)
[Iter 98] UMAP-Gower: n_n=50, min_d=0.01, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.924)
[Iter 99] UMAP-Gower: n_n=50, min_d=0.01, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.911)
[Iter 100] UMAP-Gower: n_n=50, min_d=0.01, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.909)
[Iter 101] UMAP-Gower: n_n=50, min_d=0.01, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.860)
[Iter 102] UMAP-Gower: n_n=50, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=100 (silhouette=0.734)
[Iter 103] UMAP-Gower: n_n=50, min_d=0.1, spread=0.3 -> DBSCAN eps=1, min_s=100 (silhouette=0.820)
[Iter 104] UMAP-Gower: n_n=50, min_d=0.1, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.893)
[Iter 105] UMAP-Gower: n_n=50, min_d=0.1, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.885)
[Iter 106] UMAP-Gower: n_n=50, min_d=0.1, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.920)
[Iter 107] UMAP-Gower: n_n=50, min_d=0.1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.880)
[Iter 108] UMAP-Gower: n_n=50, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.721)
[Iter 109] UMAP-Gower: n_n=50, min_d=0.2, spread=0.3 -> DBSCAN eps=1, min_s=100 (silhouette=0.752)
[Iter 110] UMAP-Gower: n_n=50, min_d=0.2, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.887)
[Iter 111] UMAP-Gower: n_n=50, min_d=0.2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.910)
[Iter 112] UMAP-Gower: n_n=50, min_d=0.2, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.894)
[Iter 113] UMAP-Gower: n_n=50, min_d=0.2, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.878)
[Iter 114] UMAP-Gower: n_n=50, min_d=0.2, spread=15 -> DBSCAN eps=10, min_s=100 (silhouette=0.716)
[Iter 115] UMAP-Gower: n_n=50, min_d=0.5, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.904)
[Iter 116] UMAP-Gower: n_n=50, min_d=0.5, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.900)
[Iter 117] UMAP-Gower: n_n=50, min_d=0.5, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.897)
[Iter 118] UMAP-Gower: n_n=50, min_d=0.5, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.852)
[Iter 119] UMAP-Gower: n_n=50, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.726)
[Iter 120] UMAP-Gower: n_n=50, min_d=1, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.906)
[Iter 121] UMAP-Gower: n_n=50, min_d=1, spread=3 -> DBSCAN eps=10, min_s=50 (silhouette=0.876)
[Iter 122] UMAP-Gower: n_n=50, min_d=1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.880)
[Iter 123] UMAP-Gower: n_n=50, min_d=1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.754)
[Iter 124] UMAP-Gower: n_n=50, min_d=2, spread=2 -> DBSCAN eps=10, min_s=100 (silhouette=0.825)
[Iter 125] UMAP-Gower: n_n=50, min_d=2, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.829)
[Iter 126] UMAP-Gower: n_n=50, min_d=2, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.804)
[Iter 127] UMAP-Gower: n_n=50, min_d=2, spread=15 -> DBSCAN eps=10, min_s=100 (silhouette=0.694)
[Iter 128] UMAP-Gower: n_n=50, min_d=10, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.675)
[Iter 129] UMAP-Gower: n_n=100, min_d=0.01, spread=0.3 -> DBSCAN eps=1, min_s=100 (silhouette=0.894)
[Iter 130] UMAP-Gower: n_n=100, min_d=0.01, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.930)
[Iter 131] UMAP-Gower: n_n=100, min_d=0.01, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.930)
[Iter 132] UMAP-Gower: n_n=100, min_d=0.01, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.927)
[Iter 133] UMAP-Gower: n_n=100, min_d=0.01, spread=5 -> DBSCAN eps=2, min_s=15 (silhouette=0.903)
[Iter 134] UMAP-Gower: n_n=100, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.749)
[Iter 135] UMAP-Gower: n_n=100, min_d=0.1, spread=0.3 -> DBSCAN eps=1, min_s=100 (silhouette=0.825)
[Iter 136] UMAP-Gower: n_n=100, min_d=0.1, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.902)
[Iter 137] UMAP-Gower: n_n=100, min_d=0.1, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.926)
[Iter 138] UMAP-Gower: n_n=100, min_d=0.1, spread=3 -> DBSCAN eps=10, min_s=50 (silhouette=0.921)
[Iter 139] UMAP-Gower: n_n=100, min_d=0.1, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.904)
[Iter 140] UMAP-Gower: n_n=100, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.863)
[Iter 141] UMAP-Gower: n_n=100, min_d=0.2, spread=0.3 -> DBSCAN eps=1, min_s=100 (silhouette=0.744)
[Iter 142] UMAP-Gower: n_n=100, min_d=0.2, spread=0.5 -> DBSCAN eps=1, min_s=100 (silhouette=0.869)
[Iter 143] UMAP-Gower: n_n=100, min_d=0.2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.922)
[Iter 144] UMAP-Gower: n_n=100, min_d=0.2, spread=3 -> DBSCAN eps=10, min_s=3 (silhouette=0.924)
[Iter 145] UMAP-Gower: n_n=100, min_d=0.2, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.896)
[Iter 146] UMAP-Gower: n_n=100, min_d=0.2, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.818)
[Iter 147] UMAP-Gower: n_n=100, min_d=0.5, spread=0.5 -> DBSCAN eps=10, min_s=3 (silhouette=0.828)
[Iter 148] UMAP-Gower: n_n=100, min_d=0.5, spread=2 -> DBSCAN eps=10, min_s=50 (silhouette=0.919)
[Iter 149] UMAP-Gower: n_n=100, min_d=0.5, spread=3 -> DBSCAN eps=10, min_s=50 (silhouette=0.919)
[Iter 150] UMAP-Gower: n_n=100, min_d=0.5, spread=5 -> DBSCAN eps=10, min_s=50 (silhouette=0.906)
[Iter 151] UMAP-Gower: n_n=100, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.816)
[Iter 152] UMAP-Gower: n_n=100, min_d=1, spread=2 -> DBSCAN eps=2, min_s=3 (silhouette=0.859)
[Iter 153] UMAP-Gower: n_n=100, min_d=1, spread=3 -> DBSCAN eps=10, min_s=5 (silhouette=0.903)
[Iter 154] UMAP-Gower: n_n=100, min_d=1, spread=5 -> DBSCAN eps=10, min_s=3 (silhouette=0.831)
[Iter 155] UMAP-Gower: n_n=100, min_d=1, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.778)
[Iter 156] UMAP-Gower: n_n=100, min_d=2, spread=2 -> DBSCAN eps=10, min_s=3 (silhouette=0.800)
[Iter 157] UMAP-Gower: n_n=100, min_d=2, spread=3 -> DBSCAN eps=10, min_s=100 (silhouette=0.889)
[Iter 158] UMAP-Gower: n_n=100, min_d=2, spread=5 -> DBSCAN eps=2, min_s=5 (silhouette=0.889)
[Iter 159] UMAP-Gower: n_n=100, min_d=2, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.791)
[Iter 160] UMAP-Gower: n_n=100, min_d=10, spread=15 -> DBSCAN eps=10, min_s=50 (silhouette=0.655)
Total iteraciones: 160. Revisa 'umap_perpetrador_dbscan_html/'
