umap_1,umap_2,umap_3,cluster
16.384056,0.13704273,-1.06492,0
16.485716,0.07342825,-1.0016528,0
16.501749,0.0870206,-1.0332603,0
16.358225,0.11828561,-0.9842456,0
-11.771198,2.0961769,-8.678007,3
16.38033,0.2951448,-1.1377765,0
16.319492,0.15403228,-1.0457683,0
16.343462,0.16424073,-1.0732907,0
16.390368,0.09501921,-1.0412875,0
16.275354,0.12932739,-1.0311167,0
-3.129553,24.838717,0.72628206,1
16.349976,0.15238114,-1.0161608,0
16.33278,0.023250178,-0.95687026,0
16.342194,0.14968587,-0.9218392,0
16.331236,0.1961549,-1.0164227,0
16.314215,0.012502297,-0.9845398,0
16.330482,0.13750826,-0.9639978,0
16.309029,0.16800228,-1.0132009,0
16.233482,0.21117318,-0.9460804,0
16.256737,-0.08824246,-0.80637014,0
16.28724,0.07017369,-0.9598593,0
16.314117,0.112172626,-0.90225375,0
16.31652,0.05834033,-0.8942215,0
-12.270456,2.0006006,-9.34788,3
16.284739,0.11797355,-0.9785935,0
16.227253,0.10902386,-0.94843274,0
16.369728,0.082399026,-0.8707319,0
16.356398,0.046152163,-1.0078366,0
15.192977,-0.7416469,-0.7019842,0
-0.9319666,5.1702704,12.849731,4
16.217897,0.109047495,-0.89218235,0
16.30062,0.08415628,-0.8837316,0
16.332687,0.0067021316,-0.8836425,0
-3.1298614,24.838306,0.7269691,1
16.244764,0.061639186,-0.932793,0
16.304077,-0.033225074,-0.86474985,0
16.25526,0.013508667,-0.88321555,0
16.220804,0.16465992,-0.81606764,0
16.290936,0.022740332,-0.9062051,0
16.287338,0.02369426,-0.82737654,0
-1.0367372,5.207534,13.209575,4
16.373636,0.043177716,-0.83176196,0
-34.32722,-8.119777,-1.8231388,2
16.234081,0.054920774,-0.8939852,0
16.224892,0.072338745,-0.9218066,0
16.216242,0.026019737,-0.8994154,0
16.2895,0.061051797,-0.87413514,0
16.241087,0.07192428,-0.8418032,0
16.330723,-0.0017334502,-0.82959396,0
-34.32871,-8.120634,-1.8236376,2
16.28083,0.033524476,-0.79541457,0
16.288406,-0.009487052,-0.9047474,0
16.298662,0.083277196,-0.8068095,0
16.29502,0.06426232,-0.802528,0
16.161629,0.09386698,-0.8734827,0
16.355005,-0.0067103826,-0.8460792,0
16.306484,0.010746122,-0.82510084,0
-11.24309,2.4578004,-8.298793,3
16.336845,5.3539345e-05,-0.79312605,0
16.330143,0.0006607536,-0.83167315,0
16.22763,0.054834336,-0.7880132,0
16.33769,-0.0049580857,-0.8326171,0
-12.218107,2.054278,-9.418757,3
16.292984,0.031950384,-0.8134756,0
16.346113,0.051286124,-0.81450903,0
16.303122,-0.034008212,-0.8126039,0
16.342552,0.07473094,-0.7638845,0
16.345575,-0.000781345,-0.79445183,0
16.327694,0.0045994255,-0.81130904,0
-0.34688765,5.605723,11.392172,4
16.315012,0.08394827,-0.8109474,0
16.337759,0.038632445,-0.8017119,0
16.306717,0.05757761,-0.7744424,0
16.344997,0.10829187,-0.7379996,0
16.351002,0.033496138,-0.78096974,0
16.362406,0.016438887,-0.76607263,0
16.373087,0.087755784,-0.7688375,0
16.375309,0.044836484,-0.78403753,0
1.908631,8.659784,6.698921,4
16.430193,0.005802785,-0.7692794,0
16.400707,0.021987936,-0.7653905,0
16.385015,0.08953583,-0.748081,0
16.357481,0.060128503,-0.74255043,0
16.409214,0.006243431,-0.7429906,0
16.370237,0.023865478,-0.77956164,0
16.378036,0.06319206,-0.76586163,0
16.348635,0.09195499,-0.7328054,0
16.375023,0.060768727,-0.75435215,0
-3.1303425,24.837912,0.7283539,1
16.467447,-0.10850768,-0.76772887,0
16.398628,0.052706882,-0.74114233,0
16.4125,0.04562118,-0.7605405,0
16.410135,-0.003377975,-0.75419664,0
16.409365,0.07490021,-0.72300816,0
-3.1307645,24.837276,0.7296127,1
16.383924,0.10228087,-0.7198525,0
-11.078277,2.3603637,-8.126787,3
-13.313912,1.4361032,-10.147486,3
16.443727,0.009507221,-0.74782014,0
-34.32904,-8.119835,-1.8232282,2
16.421978,0.042280056,-0.72305954,0
16.43162,0.039263275,-0.7336544,0
16.469885,-0.07693733,-0.74234223,0
16.437927,0.027540954,-0.740508,0
16.434307,-0.010740347,-0.7481621,0
16.423227,0.057010602,-0.7200103,0
16.445875,-0.042060573,-0.7550043,0
16.41899,0.007251116,-0.7450676,0
16.466509,-0.056172274,-0.7525026,0
16.451849,0.02126734,-0.7192612,0
16.430975,0.08800225,-0.7404142,0
16.451704,0.027603,-0.72664875,0
16.454647,-0.010887999,-0.7305174,0
16.456688,-0.016686954,-0.72620785,0
-34.33208,-8.1195545,-1.823653,2
16.461067,-0.007525738,-0.7299905,0
16.473124,-0.06529988,-0.72665256,0
16.465425,-0.0070876684,-0.7220421,0
-0.52141196,5.4437943,11.672105,4
-12.304044,1.985939,-9.399724,3
16.482718,-0.0821439,-0.73505086,0
16.46521,0.029989779,-0.67211413,0
-11.522391,2.6176682,-8.9535055,3
16.48567,-0.045280594,-0.7270619,0
-34.332222,-8.119839,-1.8234513,2
-1.0367844,5.207199,13.209438,4
16.485214,-0.06683957,-0.72937185,0
16.484707,-0.049813516,-0.7252098,0
1.9086099,8.663731,6.6949425,4
16.48074,-0.05296304,-0.72560066,0
16.471203,0.02172605,-0.72789484,0
16.489634,-0.06502901,-0.72848696,0
16.491873,-0.07304733,-0.72834903,0
-3.1310267,24.836763,0.73109424,1
16.48565,-0.057920113,-0.7281486,0
16.49521,-0.080947,-0.73001784,0
16.501753,-0.07679196,-0.7277356,0
16.497248,-0.05571519,-0.7233576,0
16.501045,-0.049528964,-0.7196936,0
-11.078702,2.3606281,-8.127048,3
-33.664936,-7.859879,-2.14433,2
-12.2206745,2.0529003,-9.425635,3
16.513603,-0.0512566,-0.7053565,0
-1.0363002,5.207534,13.210044,4
16.504023,-0.073974684,-0.722398,0
-33.912605,-7.9291553,-1.9751139,2
16.503195,-0.067297414,-0.7211839,0
16.502985,-0.07754715,-0.7236835,0
-34.333397,-8.117934,-1.8243575,2
-3.1322849,24.836199,0.7316585,1
1.9109303,8.667131,6.691476,4
16.509958,-0.059812333,-0.71620035,0
16.505894,-0.071108334,-0.7208279,0
16.5121,-0.055564698,-0.71819687,0
16.50957,-0.06999164,-0.71914536,0
-1.0363172,5.2075996,13.210014,4
15.969484,-0.40775532,-0.35769114,0
16.51358,-0.067343265,-0.7196718,0
16.51404,-0.06945481,-0.71896076,0
16.51608,-0.068528965,-0.7164083,0
16.516909,-0.06899439,-0.7164041,0
16.520586,-0.06765338,-0.7133783,0
-12.234745,2.0404305,-9.410394,3
16.52315,-0.06923298,-0.7143645,0
1.9107339,8.667654,6.690923,4
16.525629,-0.07144955,-0.71372896,0
16.530508,-0.06996288,-0.7104252,0
-13.265282,1.4520283,-10.107121,3
16.531652,-0.06892418,-0.7100665,0
-12.279257,2.002929,-9.3927965,3
16.533796,-0.06835909,-0.71013474,0
16.535145,-0.06787463,-0.70866674,0
-11.079031,2.3609483,-8.127254,3
16.53885,-0.0657167,-0.7070752,0
16.539917,-0.063282125,-0.70578283,0
16.54441,-0.06380848,-0.7056616,0
