,feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
10,CONVIVEN.5,-0.05519520840981268,0.6374780562796162,0.257547123115659,0.6152320247117663,0.3002627360791935,-0.18581731916556585,0.009238674348644622,0.009850607155855777,0.04650172597866917,-0.039008202548279906,-0.02787732239480469,-0.02812222546339043,-0.05104449816198174,-0.10875373179962858,0.013595091802379127,0.017868911597622578,-0.012704588259905985,-0.011512231564187939,0.0019653810920232163,-0.000631484278821991,-0.018969788297627452,-0.00026194573478755586,-0.0028048268673596297,-0.0012732055418866986,-0.0030616754643782913,2.6283377410531013e-16,1.7018842824092752e-16
11,CONVIVEN.6,0.0014659458403356608,-0.10670223415972274,-0.01849079697572959,0.10027412428745404,-0.0008865899343440336,-0.03409814421766256,-0.023598447724257204,0.18304556701096927,0.8586260846876252,-0.1711250205913792,0.2788365457787108,0.07771632529267944,0.018790063748348976,0.2954183922631123,-0.018115426753062363,0.04949840643234143,0.02467930110259029,-0.005685753025744138,-0.019772425784574135,0.016032609865317123,0.02258571310053913,0.009406023838432236,-0.019259276366816704,0.0038991726745491004,-0.00011128456182747018,4.740160371414379e-17,1.2065793293451765e-16
12,AUTOEFIC.MEAN,0.05904795996836486,0.054498052998208694,-0.061988298994912996,-0.02492591300549167,-0.01249278347528123,-0.0008115696235430897,-0.14302086173139036,0.14225843928858697,-0.033912688738276804,-0.04255429900723488,-0.029820422603358824,-0.00141934598274338,-0.03009966626219726,-0.024066416452789348,0.12469165319369196,0.1970630347414742,0.4594461410164325,0.3002585448131878,0.39551384936277456,0.01620767424915876,-0.07397430751129026,0.6397969850555382,-0.10042058969260469,-0.07193443150636843,0.022359981057355236,-3.4248789496712067e-15,9.015282000397623e-16
13,AUTOEFIC.VAR,-0.014360297571194251,-0.04547159216566788,0.005905964255121555,0.02609336834356921,0.0031714369271081204,-0.010170535240451584,0.03630124228197073,-0.03730254013252895,0.00926159789587209,0.0378898612651287,-0.00016459056833504913,-0.025971948078131954,0.013167227325126037,0.028430111934801765,0.3025048087908185,-0.1860137242808051,-0.43445986242523477,-0.3615275420371494,-0.2834079160364081,0.10029588014299141,-0.0825942871280366,0.6312060190227952,-0.21818952622303933,-0.04561716401769793,0.01150732126741183,-2.2133912779767623e-15,3.523993152116221e-18
14,IMPULS.MEAN,0.0022612999417076984,-1.8447960497044508e-05,0.01148501485732268,-0.0001533099171771114,-0.0018900705138509492,-0.01107760386898966,0.028534281877642932,-0.0543947795283692,0.03669028996567452,-0.018269482264708498,0.01900807949543973,-0.023663482263143742,-0.001467566304920512,-0.018370275565069587,-0.1993483465935429,-0.28297945467588165,-0.2213159393659536,0.12936741203531002,0.27769204960596894,-0.004778613337394753,0.0037034500843834035,0.04108571778803699,0.011992820011857742,-0.037655795363010974,0.8526955958632467,-7.273926074248382e-14,-6.780201422484414e-15
15,IMPULS.MEDIAN,0.002752486970547073,0.0013887605132564009,0.014301826821305734,-0.009122872993073171,0.0021576544837845274,-0.01979966396595295,0.04006788359647102,-0.08262797599657168,0.055855957516249284,-0.027537138506802956,0.031526197151651655,-0.0454479837415234,-0.0075533555708875814,-0.022637227720173635,-0.3459817327564484,-0.4630427711534859,-0.354873905527453,0.3012937414108318,0.3762375345954075,-0.003204316484047838,-0.01376471757008257,0.14962166402626642,0.05547170648575738,0.03798542175952925,-0.5136922128255788,4.483125689774185e-14,4.501894901463345e-15
16,IMPULS.VAR,-0.03152771215171989,-0.012453228571168339,-0.0036959442707616475,0.0023765950528256015,-0.049479179365885737,-0.027692128407503253,-0.012688259487796538,0.006358495190289721,0.009012429286745349,-0.04749845319449271,0.0012809923513916474,-0.06660320276973158,0.06190729127103277,0.00504126618381911,0.3762366512444392,0.06893823361418698,-0.11942242489650107,-0.49247307452371625,0.7164580399156576,-0.009143171779036804,0.023433613476806208,-0.23233216703707793,-0.09400931030088916,-0.010175227285841228,-0.06942583329038614,6.282266800008891e-15,2.8676765195324685e-15
17,APOYO.MEAN,0.012327777857375653,0.10221288671424254,-0.08395404839446664,-0.11062407694441209,0.04041423986129411,-0.06244044771908167,-0.2867164909440451,0.3848962232002086,-0.06011625264896899,-0.016133285949008955,0.011485111811483883,-0.023195470802913613,-0.004669212417577357,-0.023666950478652353,0.09114468537277753,-0.07840896055817573,-0.09184259022327489,0.0327034030915534,-0.027113878502214778,-0.002424431011204588,0.000663202258569097,-0.00931916582733016,0.0025679545330589497,0.8378554698007624,0.048044782114841075,1.7525995150737177e-14,4.472065715442966e-15
18,APOYO.MEDIAN,0.016794545606784426,0.12061629181101158,-0.10473213723568765,-0.12346019432326606,0.051407629467407005,-0.07271021854678711,-0.3420686769517973,0.4604177195426861,-0.068943413943533,0.009991791842804321,0.028431234027630564,-0.03188858948431054,0.0005738794556653035,0.01418567790104135,0.3524580900575248,-0.12170145852334574,-0.25966262461294515,0.34112844900807626,-0.08043299769972174,0.021286253752477263,0.0537077513930174,-0.21919341790034522,-0.06756014301547753,-0.4791682629275044,-0.017404973034345714,-1.070944644428364e-14,-1.3267739512022212e-15
19,APOYO.VAR,-0.006246574608668232,-0.10027514030267591,0.06876166460737607,0.12137724117540864,-0.04049923851453585,0.07413129352551243,0.2839896481686805,-0.3816895884494466,0.0760848285577228,0.057286656689679874,-0.01876073774854199,0.025135660519374107,0.05287452351962335,0.04807516365058963,0.5633431005632233,0.13310917624378282,-0.17852915091494767,0.539993615894161,0.016176304422001898,0.006370407693025158,0.039004249916847845,-0.07913480654779279,-0.01524364477645763,0.23330379417224073,0.02286947455561597,3.974164510242024e-15,3.6222250966007356e-16
